Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	207	179
OG0000001	111	98
OG0000002	69	63
OG0000003	113	82
OG0000004	108	92
OG0000005	127	123
OG0000006	95	84
OG0000007	72	58
OG0000008	66	65
OG0000009	85	25
OG0000010	58	57
OG0000011	60	54
OG0000012	51	22
OG0000013	52	49
OG0000014	60	57
OG0000015	53	50
OG0000016	47	45
OG0000017	45	10
OG0000018	58	45
OG0000019	75	70
OG0000020	59	52
OG0000021	14	9
OG0000022	63	57
OG0000023	42	36
OG0000024	28	26
OG0000025	67	52
OG0000026	20	16
OG0000027	42	41
OG0000028	58	48
OG0000029	74	74
OG0000030	56	48
OG0000031	59	53
OG0000032	52	36
OG0000033	32	29
OG0000034	23	14
OG0000035	41	35
OG0000036	42	38
OG0000037	37	33
OG0000038	55	46
OG0000039	27	24
OG0000040	20	17
OG0000041	19	17
OG0000042	31	24
OG0000043	40	34
OG0000044	58	58
OG0000045	40	35
OG0000046	35	28
OG0000047	54	54
OG0000048	31	27
OG0000049	18	14
OG0000050	47	45
OG0000051	38	32
OG0000052	34	32
OG0000053	27	26
OG0000054	47	41
OG0000055	25	22
OG0000056	48	38
OG0000057	34	32
OG0000058	16	16
OG0000059	20	19
OG0000060	22	21
OG0000061	13	10
OG0000062	28	25
OG0000063	20	12
OG0000064	17	15
OG0000065	43	39
OG0000066	46	43
OG0000067	10	10
OG0000068	10	9
OG0000069	12	10
OG0000070	47	47
OG0000071	10	9
OG0000072	11	6
OG0000073	24	23
OG0000074	13	11
OG0000075	24	24
OG0000076	28	27
OG0000077	9	9
OG0000078	25	15
OG0000079	17	15
OG0000080	9	9
OG0000081	15	14
OG0000082	34	33
OG0000083	37	36
OG0000084	39	34
OG0000085	14	14
OG0000086	10	9
OG0000087	41	41
OG0000088	13	13
OG0000089	9	9
OG0000090	14	12
OG0000091	26	26
OG0000092	34	31
OG0000093	19	14
OG0000094	41	41
OG0000095	41	41
OG0000096	5	3
OG0000097	11	7
OG0000098	25	20
OG0000099	39	39
OG0000100	35	24
OG0000101	34	31
OG0000102	36	34
OG0000103	26	21
OG0000104	18	18
OG0000105	32	30
OG0000106	38	38
OG0000107	21	21
OG0000108	26	24
OG0000109	8	7
OG0000110	26	26
OG0000111	26	26
OG0000112	38	38
OG0000113	37	37
OG0000114	18	17
OG0000115	21	21
OG0000116	10	7
OG0000117	25	20
OG0000118	36	36
OG0000119	13	13
OG0000120	10	10
OG0000121	29	26
OG0000122	34	34
OG0000123	22	21
OG0000124	18	16
OG0000125	33	33
OG0000126	36	36
OG0000127	18	17
OG0000128	7	6
OG0000129	13	11
OG0000130	11	10
OG0000131	4	3
OG0000132	7	4
OG0000133	13	11
OG0000134	7	5
OG0000135	11	4
OG0000136	12	12
OG0000137	31	31
OG0000138	34	34
OG0000139	34	34
OG0000140	33	33
OG0000141	15	15
OG0000142	5	5
OG0000143	15	11
OG0000144	24	19
OG0000145	22	22
OG0000146	15	13
OG0000147	13	13
OG0000148	10	6
OG0000149	6	5
OG0000150	24	24
OG0000151	24	23
OG0000152	8	4
OG0000153	20	20
OG0000154	16	15
OG0000155	18	18
OG0000156	25	24
OG0000157	13	12
OG0000158	26	23
OG0000159	19	19
OG0000160	17	15
OG0000161	9	4
OG0000162	5	4
OG0000163	9	9
OG0000164	4	4
OG0000165	5	4
OG0000166	10	9
OG0000167	29	29
OG0000168	27	27
OG0000169	32	32
OG0000170	28	28
OG0000171	16	16
OG0000172	5	3
OG0000173	12	9
OG0000174	10	6
OG0000175	28	28
OG0000176	20	14
OG0000177	29	29
OG0000178	31	31
OG0000179	31	31
OG0000180	23	23
OG0000181	12	9
OG0000182	6	5
OG0000183	10	10
OG0000184	8	7
OG0000185	13	11
OG0000186	26	24
OG0000187	20	20
OG0000188	17	14
OG0000189	6	6
OG0000190	3	2
OG0000191	10	10
OG0000192	2	2
OG0000193	14	14
OG0000194	10	8
OG0000195	28	28
OG0000196	16	16
OG0000197	22	21
OG0000198	29	29
OG0000199	29	29
OG0000200	3	2
OG0000201	7	7
OG0000202	5	5
OG0000203	9	8
OG0000204	7	6
OG0000205	11	8
OG0000206	9	8
OG0000207	13	13
OG0000208	10	9
OG0000209	13	11
OG0000210	15	15
OG0000211	23	23
OG0000212	23	22
OG0000213	28	28
OG0000214	26	26
OG0000215	24	19
OG0000216	17	13
OG0000217	2	2
OG0000218	4	2
OG0000219	10	10
OG0000220	4	3
OG0000221	10	10
OG0000222	6	5
OG0000223	4	3
OG0000224	16	16
OG0000225	7	7
OG0000226	11	8
OG0000227	27	27
OG0000228	15	14
OG0000229	4	4
OG0000230	15	15
OG0000231	8	8
OG0000232	11	10
OG0000233	10	10
OG0000234	3	3
OG0000235	13	13
OG0000236	12	11
OG0000237	14	13
OG0000238	23	23
OG0000239	26	26
OG0000240	26	26
OG0000241	23	23
OG0000242	26	26
OG0000243	25	25
OG0000244	8	6
OG0000245	7	7
OG0000246	8	8
OG0000247	3	3
OG0000248	5	5
OG0000249	8	8
OG0000250	2	2
OG0000251	8	7
