Orthogroup	AfunestusAfunGA1	Aalbopictus_AalbF5
OG0000000	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807	LOC134290702, LOC134289888, LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052, LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251, LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351, LOC134287243, LOC134288326, LOC134288903, LOC134289839, LOC134284630, LOC134286840
OG0000000	AFUN2_011806, AFUN2_014699	LOC134290208
OG0000000	AFUN2_012339	LOC134286913, LOC134288635, LOC134289602, LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357, LOC134290581, LOC134291857, LOC134286222, LOC134291820, LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869, LOC134291901, LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227
OG0000000	AFUN2_013786	LOC134285298, LOC134291997, LOC134290106, LOC134292183, LOC134286694, LOC134284036, LOC134284840
OG0000001	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348	LOC109404300
OG0000001	AFUN2_012926	LOC109399492
OG0000001	AFUN2_010913	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138
OG0000001	AFUN2_006480	LOC115270371
OG0000002	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070	LOC109623203
OG0000002	AFUN2_009636	LOC115269310, LOC109623208, LOC115269311
OG0000002	AFUN2_009035, AFUN2_002132, AFUN2_005303	LOC109421559
OG0000002	AFUN2_006796	LOC109409168
OG0000002	AFUN2_005756	LOC109398259, LOC109398237
OG0000002	AFUN2_002248	LOC109421551, LOC109409211, LOC109409210
OG0000002	AFUN2_003508	LOC109425972
OG0000003	AFUN2_013652	LOC134290234, LOC115259186, LOC109401733
OG0000003	AFUN2_004469	LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827
OG0000003	AFUN2_009844	LOC115259988
OG0000004	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103
OG0000006	AFUN2_007708, AFUN2_009331	LOC134285105
OG0000006	AFUN2_001908, AFUN2_009118, AFUN2_013138	LOC134288141, LOC134291130
OG0000006	AFUN2_004254	LOC134291131
OG0000008	AFUN2_011626, AFUN2_014353, AFUN2_012060	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419
OG0000008	AFUN2_001736	LOC109403786
OG0000008	AFUN2_010492	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000009	AFUN2_002572	LOC109405821
OG0000009	AFUN2_007461	LOC115270076, LOC109404534, LOC109431220
OG0000009	AFUN2_009063	LOC134284430
OG0000009	AFUN2_009447	LOC134284416, LOC115254131, LOC115255182
OG0000009	AFUN2_014561	LOC109397481
OG0000010	AFUN2_008829	LOC109432023
OG0000010	AFUN2_000320	LOC115265384, LOC109409744
OG0000010	AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091	LOC109432002, LOC109431992, LOC115265379, LOC109432055
OG0000011	AFUN2_000890	LOC109411313
OG0000011	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	AFUN2_005969	LOC109413799
OG0000012	AFUN2_008516	LOC109409461, LOC109409491
OG0000012	AFUN2_006798	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054
OG0000013	AFUN2_008231, AFUN2_000667	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044
OG0000013	AFUN2_002726	LOC109429135
OG0000013	AFUN2_011275	LOC109409015
OG0000013	AFUN2_004549, AFUN2_003503, AFUN2_006795	LOC109409017, LOC109429134
OG0000014	AFUN2_006975	LOC109621611, LOC109400072, LOC109426996, LOC109419319
OG0000014	AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396	LOC109401312
OG0000016	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316
OG0000016	AFUN2_004982	LOC109411296, LOC109622023
OG0000017	AFUN2_007093	LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071
OG0000017	AFUN2_008822	LOC109431229, LOC109404554
OG0000017	AFUN2_002118	LOC115264622
OG0000017	AFUN2_005588	LOC109431205
OG0000017	AFUN2_008959	LOC109407174
OG0000017	AFUN2_000914	LOC109420100
OG0000017	AFUN2_003468	LOC109397470
OG0000018	AFUN2_013059	LOC134287442
OG0000018	AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911	LOC115256715
OG0000018	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	LOC115260339
OG0000019	AFUN2_003589	LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903
OG0000019	AFUN2_002117	LOC134289481, LOC134288699, LOC134288992, LOC134286273, LOC134289517
OG0000019	AFUN2_003893	LOC134290831, LOC134291988
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	LOC109406040
OG0000021	AFUN2_013453	LOC109404004
OG0000021	AFUN2_010217	LOC115267287
OG0000021	AFUN2_001683	LOC115253654
OG0000021	AFUN2_001836	LOC109432057
OG0000021	AFUN2_002771	LOC109432714
OG0000021	AFUN2_007302	LOC109412625
OG0000021	AFUN2_014571	LOC109401551
OG0000021	AFUN2_010167	LOC109412623
OG0000022	AFUN2_003020	LOC134286212, LOC134286359, LOC134285118, LOC134286958
OG0000022	AFUN2_006596	LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725
OG0000022	AFUN2_002978	LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923, LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655
OG0000023	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	LOC109400700, LOC109399437, LOC115266810, LOC115266791
OG0000024	AFUN2_008754	LOC109408695, LOC109408675
