Orthogroup	Aalbopictus_AalbF5	CquinquefasciatusJHB2020
OG0000000	LOC134290702, LOC134289888	CQUJHB014876, CQUJHB006110
OG0000000	LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052	CQUJHB012282
OG0000000	LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351	CQUJHB016039
OG0000000	LOC134287243, LOC134288326, LOC134288903, LOC134289839	CQUJHB007707
OG0000000	LOC134286840	CQUJHB002677, CQUJHB018190, CQUJHB013695
OG0000000	LOC134284524, LOC115259209, LOC134287985, LOC134285168, LOC134284874, LOC134284353, LOC134285603, LOC134286070, LOC134285057, LOC134288518, LOC115255407, LOC134287374, LOC134287773, LOC134289500, LOC134284881, LOC134286476	CQUJHB010235, CQUJHB006331, CQUJHB004612
OG0000000	LOC134292199, LOC134290223, LOC134284282, LOC134289799, LOC134284961, LOC134287069, LOC134286496, LOC134289794	CQUJHB006784, CQUJHB000853
OG0000000	LOC134288183, LOC134285625, LOC134285738, LOC134291735, LOC134287906, LOC134291387, LOC134291193	CQUJHB011901
OG0000000	LOC134290208	CQUJHB008409, CQUJHB003477, CQUJHB009777
OG0000000	LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357	CQUJHB007641, CQUJHB010283
OG0000000	LOC134290581	CQUJHB009412
OG0000000	LOC134291857, LOC134286222, LOC134291820	CQUJHB007171, CQUJHB010481
OG0000000	LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869	CQUJHB004515, CQUJHB009739
OG0000000	LOC134291901	CQUJHB012441, CQUJHB000255
OG0000000	LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227	CQUJHB015940, CQUJHB007839, CQUJHB015977
OG0000001	LOC109404300	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000001	LOC109404315	CQUJHB015924, CQUJHB001661
OG0000001	LOC109403110	CQUJHB010167, CQUJHB001086
OG0000001	LOC109404321, LOC109403117, LOC109404330, LOC115270372	CQUJHB018360, CQUJHB009369
OG0000001	LOC109403106, LOC109399495, LOC109399494	CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242
OG0000001	LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353	CQUJHB005142
OG0000001	LOC109425906	CQUJHB015301
OG0000001	LOC109433067	CQUJHB001923
OG0000001	LOC109403138	CQUJHB017126
OG0000001	LOC115270371	CQUJHB011703
