Orthogroup	AfunestusAfunGA1	AminimusMINIMUS1
OG0000001	AFUN2_002447	AMIN007636
OG0000001	AFUN2_012926	AMIN007637
OG0000001	AFUN2_004608	AMIN014601
OG0000002	AFUN2_014359	AMIN016107
OG0000002	AFUN2_014054	AMIN016112
OG0000002	AFUN2_008570	AMIN016106
OG0000002	AFUN2_013651	AMIN016109
OG0000002	AFUN2_013390, AFUN2_014070	AMIN016110, AMIN016108
OG0000002	AFUN2_009636	AMIN016111
OG0000002	AFUN2_009035	AMIN006066
OG0000002	AFUN2_005756	AMIN006068
OG0000002	AFUN2_003508	AMIN004360
OG0000003	AFUN2_013652, AFUN2_002660, AFUN2_012891, AFUN2_004364, AFUN2_004469, AFUN2_009844	AMIN006496
OG0000004	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887	AMIN006962
OG0000005	AFUN2_007230, AFUN2_004842	AMIN005016
OG0000006	AFUN2_007708, AFUN2_009331	AMIN006479
OG0000006	AFUN2_004254	AMIN000978
OG0000006	AFUN2_010056	AMIN009886
OG0000006	AFUN2_013718, AFUN2_006489	AMIN005876
OG0000006	AFUN2_011427	AMIN004546
OG0000006	AFUN2_014532	AMIN005875
OG0000007	AFUN2_001709	AMIN008968
OG0000007	AFUN2_009778	AMIN005434
OG0000007	AFUN2_001920	AMIN008211
OG0000007	AFUN2_011937	AMIN009331, AMIN009333, AMIN009332, AMIN009885
OG0000007	AFUN2_005862, AFUN2_011780	AMIN009330
OG0000007	AFUN2_007690, AFUN2_003406	AMIN008957
OG0000007	AFUN2_006859	AMIN016006
OG0000007	AFUN2_003170	AMIN008959
OG0000008	AFUN2_005813	AMIN005546
OG0000008	AFUN2_014353, AFUN2_012060	AMIN006880, AMIN006881
OG0000008	AFUN2_001736, AFUN2_010492	AMIN006884
OG0000009	AFUN2_002572	AMIN008550
OG0000009	AFUN2_012897, AFUN2_008888, AFUN2_001196, AFUN2_004806, AFUN2_007216, AFUN2_007461, AFUN2_001821, AFUN2_009063, AFUN2_011932, AFUN2_009447, AFUN2_014561	AMIN015675
OG0000010	AFUN2_014109	AMIN016052
OG0000010	AFUN2_009560	AMIN016057
OG0000010	AFUN2_009244	AMIN016053
OG0000011	AFUN2_011181	AMIN001659
OG0000011	AFUN2_008927	AMIN004643
OG0000011	AFUN2_000890	AMIN001662
OG0000011	AFUN2_006226, AFUN2_002927	AMIN009342
OG0000012	AFUN2_005969, AFUN2_008516	AMIN000411
OG0000012	AFUN2_006798	AMIN004080
OG0000013	AFUN2_008231	AMIN003474, AMIN003475
OG0000013	AFUN2_000667	AMIN003476
OG0000013	AFUN2_004549, AFUN2_003503, AFUN2_006795	AMIN003883
OG0000014	AFUN2_006975	AMIN009469
OG0000014	AFUN2_010356	AMIN011187
OG0000014	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	AMIN011445
OG0000015	AFUN2_012161	AMIN010186
OG0000015	AFUN2_000980	AMIN015544
OG0000015	AFUN2_004072	AMIN015543
OG0000015	AFUN2_012163	AMIN015541
OG0000015	AFUN2_005101	AMIN015542
OG0000015	AFUN2_004396	AMIN010826
OG0000016	AFUN2_009580	AMIN008109
OG0000016	AFUN2_004982	AMIN006761
OG0000017	AFUN2_008822	AMIN004079
OG0000017	AFUN2_002118	AMIN009236
OG0000017	AFUN2_000914	AMIN011507
OG0000018	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843	AMIN006661
OG0000018	AFUN2_001911	AMIN009874
OG0000018	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	AMIN006478
OG0000019	AFUN2_003589, AFUN2_002117, AFUN2_003893	AMIN009371
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055	AMIN008653, AMIN008654
OG0000020	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335	AMIN000732
OG0000020	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	AMIN009924
OG0000021	AFUN2_013453	AMIN015466
OG0000021	AFUN2_010217	AMIN015467
OG0000021	AFUN2_001683	AMIN015464
OG0000021	AFUN2_001836	AMIN015465
OG0000021	AFUN2_007302	AMIN015484
OG0000021	AFUN2_014571	AMIN015482
OG0000022	AFUN2_003020	AMIN001285
OG0000022	AFUN2_006596	AMIN001286
OG0000023	AFUN2_002757	AMIN008079
OG0000023	AFUN2_008581	AMIN002713, AMIN003921, AMIN002716
OG0000024	AFUN2_008754	AMIN007573
OG0000024	AFUN2_004514	AMIN007572
OG0000024	AFUN2_001856	AMIN011339
OG0000026	AFUN2_007391	AMIN015477
OG0000026	AFUN2_003253	AMIN015475
OG0000026	AFUN2_006722	AMIN015479
OG0000026	AFUN2_005978	AMIN015731
OG0000027	AFUN2_002065	AMIN006557
OG0000027	AFUN2_004791	AMIN006558
OG0000028	AFUN2_010476, AFUN2_002523	AMIN009876
OG0000028	AFUN2_012132, AFUN2_006865, AFUN2_005132, AFUN2_002353, AFUN2_001256, AFUN2_004185, AFUN2_006876, AFUN2_003118, AFUN2_003598, AFUN2_008286, AFUN2_011015, AFUN2_003325	AMIN001236
OG0000030	AFUN2_012733	AMIN007001
OG0000030	AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328	AMIN002000
OG0000030	AFUN2_006386, AFUN2_012770	AMIN006991, AMIN007005, AMIN007004
OG0000031	AFUN2_002494, AFUN2_002498	AMIN006442, AMIN004950
OG0000032	AFUN2_000937, AFUN2_012237, AFUN2_010461, AFUN2_010191, AFUN2_004368, AFUN2_010173, AFUN2_002261, AFUN2_003899, AFUN2_006152, AFUN2_003826	AMIN001332
OG0000033	AFUN2_014039	AMIN000381
OG0000033	AFUN2_008977	AMIN014039
