Orthogroup	AstephensiUCISS2018	AdirusWRAIR2
OG0000000	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783	ADIR014747
OG0000000	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497	ADIR009835
OG0000001	ASTEI20_046161	ADIR014366
OG0000002	ASTEI20_038121	ADIR003458
OG0000002	ASTEI20_032133, ASTEI20_045226	ADIR016077
OG0000002	ASTEI20_045592, ASTEI20_043030	ADIR016078
OG0000002	ASTEI20_031161, ASTEI20_041459	ADIR016076
OG0000002	ASTEI20_036351, ASTEI20_044520	ADIR016100, ADIR016102
OG0000002	ASTEI20_034857, ASTEI20_036438	ADIR016074
OG0000002	ASTEI20_036203	ADIR002023
OG0000002	ASTEI20_040919	ADIR006361
OG0000003	ASTEI20_037049, ASTEI20_034440, ASTEI20_032078, ASTEI20_031811	ADIR011510
OG0000006	ASTEI20_037125	ADIR004457
OG0000007	ASTEI20_031643	ADIR009607
OG0000007	ASTEI20_035663, ASTEI20_033805	ADIR009608
OG0000007	ASTEI20_036392	ADIR000815
OG0000007	ASTEI20_044422	ADIR009669
OG0000007	ASTEI20_038493	ADIR009588
OG0000007	ASTEI20_041560, ASTEI20_045006, ASTEI20_033378	ADIR009595, ADIR009594
OG0000007	ASTEI20_043388	ADIR015954
OG0000007	ASTEI20_040387	ADIR009597
OG0000008	ASTEI20_031614	ADIR003918
OG0000008	ASTEI20_045188	ADIR000457
OG0000008	ASTEI20_044670, ASTEI20_031005	ADIR000455
OG0000009	ASTEI20_040741	ADIR002344
OG0000009	ASTEI20_044827	ADIR001877
OG0000010	ASTEI20_038323	ADIR016002
OG0000010	ASTEI20_041896	ADIR016004
OG0000010	ASTEI20_032085	ADIR016001
OG0000010	ASTEI20_034511	ADIR014645
OG0000011	ASTEI20_036542	ADIR006800
OG0000011	ASTEI20_039975	ADIR010578
OG0000011	ASTEI20_040335	ADIR006803
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899	ADIR000515
OG0000011	ASTEI20_032335, ASTEI20_044907	ADIR000517
OG0000012	ASTEI20_044217	ADIR002719
OG0000012	ASTEI20_044655	ADIR001583
OG0000012	ASTEI20_038389	ADIR015597
OG0000013	ASTEI20_042237, ASTEI20_043320	ADIR003492
