Orthogroup	LlongipalpisASM	AsinensisChina
OG0000001	LOC129791522	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761, ASIC013744
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ASIC003137, ASIC003139, ASIC003135, ASIC003136, ASIC003140
OG0000002	LOC129791036	ASIC004047, ASIC004049, ASIC004048, ASIC010653, ASIC004044, ASIC006840, ASIC006841, ASIC014765, ASIC014766, ASIC006839, ASIC004039, ASIC004046
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ASIC018314
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ASIC000906, ASIC015100, ASIC002536, ASIC012877, ASIC006098, ASIC022014
OG0000008	LOC129796114, LOC129787731, LOC129786793	ASIC020436
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814, ASIC017825, ASIC017824
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	ASIC018178, ASIC018203
OG0000010	LOC129793217, LOC129791616	ASIC007845, ASIC007831, ASIC007832, ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978
OG0000011	LOC129797415	ASIC010773, ASIC010781, ASIC004939, ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469, ASIC004928
OG0000012	LOC129796964	ASIC006970
OG0000012	LOC129789481, LOC129788898, LOC129789147, LOC129785913	ASIC017981, ASIC018092
OG0000013	LOC129797413	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	LOC129797312	ASIC011345, ASIC011343, ASIC011344
OG0000014	LOC129792111	ASIC005617, ASIC022136, ASIC016031, ASIC016164, ASIC016877, ASIC016850, ASIC016176, ASIC016175, ASIC016177, ASIC016174, ASIC016178
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	ASIC018932, ASIC018930, ASIC018931, ASIC012465, ASIC012464, ASIC012462, ASIC012461
OG0000016	LOC129794929, LOC129788356	ASIC010724
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871, ASIC002621
OG0000018	LOC129786868	ASIC015096
OG0000021	LOC129797244	ASIC006150, ASIC012218
OG0000021	LOC129788422	ASIC007587
OG0000021	LOC129795630, LOC129795629	ASIC015692, ASIC010311, ASIC010313, ASIC010312
OG0000023	LOC129786633	ASIC003003, ASIC013723, ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721, ASIC019569, ASIC002406
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	ASIC018921, ASIC018920, ASIC018905
OG0000026	LOC129792737, LOC129792738	ASIC016558, ASIC016557, ASIC016559, ASIC016561, ASIC016560, ASIC016118
OG0000026	LOC129794486, LOC129789610	ASIC014095
OG0000030	LOC129790527	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383
OG0000033	LOC129794355, LOC129787784	ASIC021804, ASIC009220, ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222
OG0000034	LOC129791586	ASIC012442, ASIC012440, ASIC012445, ASIC012446, ASIC021981
OG0000037	LOC129794681, LOC129790942	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	ASIC005058, ASIC005063, ASIC005062, ASIC005064, ASIC005684, ASIC005059, ASIC005061
OG0000046	LOC129797654	ASIC005431, ASIC001384, ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814
OG0000049	LOC129794518	ASIC018403, ASIC018371, ASIC018370, ASIC018401, ASIC018400, ASIC001190, ASIC017764, ASIC018404
OG0000051	LOC129786156	ASIC010146, ASIC010154, ASIC010151, ASIC010148
OG0000052	LOC129794482	ASIC018088
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	ASIC018082
OG0000055	LOC129797106	ASIC000721
OG0000055	LOC129792602	ASIC016078
OG0000055	LOC129793457, LOC129787314	ASIC014234
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	ASIC007323
OG0000058	LOC129790199	ASIC007325, ASIC007324, ASIC002529
OG0000059	LOC129794147	ASIC019011, ASIC019000, ASIC019170, ASIC016660
OG0000061	LOC129795031	ASIC015402
OG0000061	LOC129795029, LOC129795028	ASIC016621
OG0000061	LOC129795034	ASIC008790, ASIC008789, ASIC008791
OG0000064	LOC129790088, LOC129790085	ASIC014147, ASIC002653, ASIC002651, ASIC001146, ASIC002656, ASIC002652
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	ASIC018220, ASIC018219
OG0000068	LOC129794030	ASIC011681, ASIC011682
OG0000068	LOC129794029, LOC129794026, LOC129794027	ASIC011687, ASIC011679
OG0000069	LOC129797773, LOC129786174, LOC129792812	ASIC005652, ASIC002404, ASIC005650, ASIC005651, ASIC000407
OG0000071	LOC129797006	ASIC008283, ASIC013586
OG0000072	LOC129787850, LOC129787849	ASIC019961
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	ASIC014115
OG0000077	LOC129789368, LOC129791094	ASIC002587
OG0000077	LOC129793367	ASIC002588, ASIC002586
OG0000078	LOC129795036	ASIC022286
OG0000079	LOC129796831	ASIC011457, ASIC011456, ASIC011455, ASIC011459
OG0000080	LOC129790108	ASIC016601, ASIC016602, ASIC019812, ASIC019334, ASIC019335
OG0000086	LOC129787729, LOC129787734	ASIC009153, ASIC008317
OG0000088	LOC129795927, LOC129794489, LOC129796007	ASIC008371, ASIC008372, ASIC008376
OG0000090	LOC129793252	ASIC019694, ASIC019695
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	ASIC002280, ASIC002279
OG0000093	LOC129786127	ASIC022154, ASIC014826, ASIC001437
OG0000096	LOC129794915	ASIC015638
OG0000096	LOC129794914	ASIC010647, ASIC010609, ASIC010449, ASIC015635
OG0000097	LOC129797700, LOC129797734	ASIC021951, ASIC021949, ASIC021947, ASIC021950
OG0000106	LOC129790838	ASIC004134, ASIC019308, ASIC008730, ASIC008745, ASIC004561, ASIC009531, ASIC002122, ASIC009798, ASIC015530, ASIC012831, ASIC004133, ASIC012126, ASIC015538, ASIC015534, ASIC015536, ASIC015579, ASIC010579, ASIC020066, ASIC020065, ASIC020067, ASIC020064, ASIC015583, ASIC015580, ASIC015584, ASIC015533, ASIC015535, ASIC015531, ASIC010577, ASIC008267, ASIC004270, ASIC015528, ASIC020068, ASIC012828, ASIC002718, ASIC002717, ASIC007187, ASIC012827, ASIC015529, ASIC004135
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	ASIC013421, ASIC013593
OG0000109	LOC129796958	ASIC002584
OG0000109	LOC129787301	ASIC014258
OG0000109	LOC129787299, LOC129787302	ASIC014260
OG0000114	LOC129791409	ASIC012081
