Orthogroup	AaegyptiLVP_AGWG	AfunestusAfunGA1
OG0000000	AAEL027377, AAEL028099	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	AAEL023571	AFUN2_012339
OG0000001	AAEL009009	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348
OG0000001	AAEL008994	AFUN2_012926
OG0000001	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990	AFUN2_010913
OG0000001	AAEL025577	AFUN2_006480
OG0000002	AAEL014891	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070
OG0000002	AAEL014893, AAEL014890	AFUN2_009636
OG0000002	AAEL009127	AFUN2_009035, AFUN2_002132, AFUN2_005303
OG0000002	AAEL009128, AAEL017297, AAEL009117, AAEL009125	AFUN2_006796
OG0000002	AAEL010151, AAEL010158	AFUN2_005756
OG0000002	AAEL009137, AAEL009133, AAEL009122	AFUN2_002248
OG0000002	AAEL017539	AFUN2_003508
OG0000004	AAEL015682	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657
OG0000005	AAEL020343, AAEL026864	AFUN2_007230, AFUN2_004842
OG0000005	AAEL027063	AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443
OG0000006	AAEL026752	AFUN2_004254
OG0000008	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603	AFUN2_011626, AFUN2_014353, AFUN2_012060
OG0000008	AAEL006795	AFUN2_001736
OG0000008	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	AFUN2_010492
OG0000009	AAEL012499	AFUN2_002572
OG0000009	AAEL022062, AAEL021518, AAEL022584, AAEL020050	AFUN2_007461
OG0000009	AAEL022197	AFUN2_011932
OG0000009	AAEL021347, AAEL021778, AAEL021459	AFUN2_009447
OG0000010	AAEL008218	AFUN2_008829
OG0000010	AAEL008217	AFUN2_000320
OG0000010	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091
OG0000011	AAEL021195	AFUN2_000890
OG0000011	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952
OG0000012	AAEL027861	AFUN2_005969
OG0000012	AAEL009284, AAEL009296	AFUN2_008516
OG0000012	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754	AFUN2_006798
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	AFUN2_008231, AFUN2_000667
OG0000013	AAEL023763, AAEL002110	AFUN2_002726
OG0000013	AAEL002099	AFUN2_011275
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000014	AAEL003156, AAEL007942, AAEL020192	AFUN2_006975
OG0000014	AAEL011007	AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	AAEL010677	AFUN2_012161
OG0000015	AAEL010671	AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396
OG0000016	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177
OG0000016	AAEL007818, AAEL004996	AFUN2_004982
OG0000017	AAEL003846	AFUN2_003556, AFUN2_007093
OG0000017	AAEL003689	AFUN2_006574
OG0000017	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	AFUN2_008822
OG0000017	AAEL020914	AFUN2_002118
OG0000017	AAEL021516	AFUN2_001925
OG0000017	AAEL021604	AFUN2_006866
OG0000017	AAEL020032	AFUN2_003468
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911
OG0000018	AAEL020762, AAEL026324	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851
OG0000020	AAEL008681	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	AAEL004631	AFUN2_013453
OG0000021	AAEL001673	AFUN2_010217
OG0000021	AAEL011197	AFUN2_001683
OG0000021	AAEL004616	AFUN2_001836
OG0000021	AAEL009451	AFUN2_002771
OG0000021	AAEL001951	AFUN2_007302
OG0000021	AAEL005964	AFUN2_014571
OG0000021	AAEL005961	AFUN2_010167
OG0000023	AAEL000351, AAEL029065	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616
OG0000024	AAEL010380, AAEL017311	AFUN2_008754
OG0000024	AAEL010367, AAEL024680	AFUN2_004514
OG0000024	AAEL010384	AFUN2_001856
OG0000024	AAEL010370, AAEL010382	AFUN2_009727
OG0000024	AAEL026787	AFUN2_006932, AFUN2_001526, AFUN2_012131
OG0000026	AAEL013496, AAEL013501	AFUN2_007391
OG0000026	AAEL013492	AFUN2_003253, AFUN2_004905
OG0000026	AAEL011763, AAEL011764, AAEL020579	AFUN2_006722
OG0000026	AAEL014544	AFUN2_005978
OG0000027	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252	AFUN2_012022
OG0000027	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	AFUN2_002065, AFUN2_004791
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352
OG0000033	AAEL000038	AFUN2_014039
OG0000033	AAEL000074	AFUN2_008608
OG0000033	AAEL000037, AAEL000028, AAEL000099	AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576
OG0000034	AAEL013562	AFUN2_010024
OG0000034	AAEL002279	AFUN2_014222
OG0000035	AAEL009610, AAEL025842, AAEL013024	AFUN2_006151, AFUN2_012246, AFUN2_011399, AFUN2_012567, AFUN2_008339, AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479, AFUN2_000582, AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222, AFUN2_006146, AFUN2_006683
OG0000037	AAEL008895	AFUN2_013181
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845
OG0000040	AAEL008368, AAEL022663	AFUN2_012034, AFUN2_000621
OG0000040	AAEL020825, AAEL008448	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686
OG0000041	AAEL007044	AFUN2_000732
OG0000041	AAEL007060	AFUN2_014438
OG0000041	AAEL007063	AFUN2_001049
OG0000041	AAEL007051, AAEL007070	AFUN2_010115
OG0000041	AAEL023132	AFUN2_014544
OG0000042	AAEL018347	AFUN2_004081, AFUN2_014693
OG0000045	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311	AFUN2_006680
OG0000046	AAEL005753	AFUN2_006305, AFUN2_003082, AFUN2_013805
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025
OG0000049	AAEL002595	AFUN2_008624
OG0000049	AAEL002590	AFUN2_012748
OG0000049	AAEL002600	AFUN2_002192, AFUN2_013459
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	AFUN2_013880
OG0000053	AAEL010055	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	AAEL019403	AFUN2_003795
OG0000055	AAEL026446	AFUN2_007989
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	AFUN2_008318, AFUN2_006014, AFUN2_000600
OG0000058	AAEL026976, AAEL008624	AFUN2_011854, AFUN2_008788
OG0000058	AAEL008625	AFUN2_002438
OG0000058	AAEL008628	AFUN2_002842
OG0000059	AAEL022646	AFUN2_006267
OG0000059	AAEL002360	AFUN2_010578, AFUN2_006502, AFUN2_012387
OG0000059	AAEL002347, AAEL024934	AFUN2_014242, AFUN2_009466
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	AFUN2_014460
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	AFUN2_011607
OG0000061	AAEL026011, AAEL007673	AFUN2_000988
OG0000061	AAEL006719	AFUN2_001934
OG0000061	AAEL013421, AAEL008451	AFUN2_001889
OG0000062	AAEL015533	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711
OG0000063	AAEL005771, AAEL005788	AFUN2_005096
OG0000063	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338	AFUN2_009682
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	AFUN2_002334, AFUN2_013676
OG0000064	AAEL017501	AFUN2_011232
OG0000067	AAEL003434	AFUN2_003888
OG0000067	AAEL000678, AAEL000647	AFUN2_012011
OG0000067	AAEL000642	AFUN2_003045
OG0000067	AAEL009524	AFUN2_008039
OG0000067	AAEL000667	AFUN2_008602
OG0000068	AAEL024556	AFUN2_012196
OG0000068	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	AFUN2_006617
OG0000068	AAEL011444	AFUN2_013302
OG0000068	AAEL013515	AFUN2_009586
OG0000069	AAEL015136	AFUN2_014241
