Orthogroup	AminimusMINIMUS1	AaegyptiLVP_AGWG
OG0000001	AMIN007636	AAEL009009
OG0000001	AMIN007637	AAEL008994
OG0000002	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108	AAEL014891
OG0000002	AMIN016111	AAEL014893, AAEL014890
OG0000002	AMIN006066	AAEL009127
OG0000002	AMIN006068	AAEL010151, AAEL010158
OG0000002	AMIN004360	AAEL017539
OG0000002	AMIN006067	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126
OG0000004	AMIN006962	AAEL015682
OG0000005	AMIN005016	AAEL020343, AAEL026864
OG0000006	AMIN002115	AAEL019665
OG0000006	AMIN000978	AAEL026752
OG0000008	AMIN006880, AMIN006881	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	AMIN006884	AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	AMIN008550	AAEL012499, AAEL003706, AAEL003687
OG0000009	AMIN015675	AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005
OG0000010	AMIN016052, AMIN016057, AMIN016054, AMIN016053	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	AMIN001662	AAEL021195
OG0000011	AMIN009342	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	AMIN000411	AAEL027861, AAEL009284, AAEL009296
OG0000012	AMIN004080	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754
OG0000012	AMIN015676	AAEL011424
OG0000013	AMIN003474, AMIN003475, AMIN003476	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	AMIN003883	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	AMIN009469	AAEL003156, AAEL007942, AAEL020192
OG0000014	AMIN011187, AMIN011445	AAEL011007
OG0000015	AMIN010186	AAEL010677
OG0000015	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826	AAEL010671
OG0000016	AMIN006761	AAEL007818, AAEL004996
OG0000017	AMIN004079	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216
OG0000017	AMIN009236	AAEL020914
OG0000018	AMIN004545, AMIN006661, AMIN009874	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	AMIN006478	AAEL020762, AAEL026324
OG0000020	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393	AAEL008681
OG0000021	AMIN015466	AAEL004631
OG0000021	AMIN015467	AAEL001673
OG0000021	AMIN015464	AAEL011197
OG0000021	AMIN015465	AAEL004616
OG0000021	AMIN015484	AAEL001951
OG0000021	AMIN015482, AMIN015483	AAEL005964
OG0000023	AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646	AAEL000351, AAEL029065
OG0000023	AMIN007806	AAEL000323, AAEL024983
OG0000024	AMIN007573	AAEL010380, AAEL017311
OG0000024	AMIN007572	AAEL010367, AAEL024680
OG0000024	AMIN011339	AAEL010384
OG0000026	AMIN015477, AMIN015478	AAEL013496, AAEL013501
OG0000026	AMIN015473, AMIN015476	AAEL013493
OG0000026	AMIN015474	AAEL015116, AAEL015113
OG0000026	AMIN015475	AAEL013492
OG0000026	AMIN015479	AAEL011763, AAEL011764, AAEL020579
OG0000026	AMIN015731	AAEL014544
OG0000027	AMIN006557, AMIN006558	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647
OG0000030	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	AMIN015509	AAEL005064
OG0000033	AMIN000381	AAEL000038
OG0000033	AMIN014039	AAEL000037, AAEL000028, AAEL000099
OG0000034	AMIN004938	AAEL013562
OG0000034	AMIN010991	AAEL002279
