Orthogroup	LlongipalpisASM	Aalbopictus_AalbF5
OG0000000	LOC129794284, LOC129791988	LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351
OG0000000	LOC129788552, LOC129785947, LOC129789206	LOC134291857, LOC134286222, LOC134291820
OG0000000	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869
OG0000001	LOC129785915	LOC109403110
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	LOC109623203, LOC115269310, LOC109623208, LOC115269311
OG0000002	LOC129791036	LOC109421559, LOC109409168, LOC109398259, LOC109398237, LOC109421551, LOC109409211, LOC109409210, LOC109425972, LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553
OG0000003	LOC129791047	LOC134283927, LOC134285071, LOC134291347, LOC134291564, LOC134287398, LOC109420339
OG0000003	LOC129789093	LOC134288869, LOC134290846, LOC134288099, LOC134288468
OG0000003	LOC129794319	LOC134291714, LOC115258749, LOC134287556, LOC115256440
OG0000003	LOC129792880, LOC129786961, LOC129789185, LOC129791397	LOC115260714, LOC134284100
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	LOC134284773, LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103, LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487
OG0000005	LOC129793054	LOC134284592
OG0000005	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	LOC134287667, LOC134284060, LOC134287526, LOC134285602, LOC134287214, LOC134285105, LOC134288141, LOC134291130, LOC134291131
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419, LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330, LOC109404502, LOC109405821, LOC115264628, LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592
OG0000010	LOC129793217, LOC129791616	LOC109432023, LOC115265384, LOC109409744, LOC109432002, LOC109431992, LOC115265379, LOC109432055, LOC109432112, LOC109432077
OG0000011	LOC129797415	LOC109411313, LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	LOC129789249	LOC109413799
OG0000012	LOC129796964	LOC109409461, LOC109409491
OG0000012	LOC129788898	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054
OG0000013	LOC129797413	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044
OG0000013	LOC129797312	LOC109429135, LOC109409015, LOC109409017, LOC109429134
OG0000014	LOC129792111	LOC109621611, LOC109400072, LOC109426996, LOC109419319, LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	LOC109428787, LOC109401312, LOC109399647, LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782, LOC109399572, LOC109400780, LOC109400781, LOC109399573, LOC115265241, LOC109403546, LOC109422912, LOC109399576, LOC115267834
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316, LOC109411296, LOC109622023
OG0000017	LOC129788896	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071
OG0000017	LOC129789495	LOC109431229, LOC109404554
OG0000017	LOC129786736	LOC115264629
OG0000018	LOC129786868	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637, LOC109621615, LOC109414562, LOC134287442, LOC115256715, LOC115260339
OG0000021	LOC129797244	LOC109404004, LOC115267287
OG0000021	LOC129788422	LOC115253654
OG0000021	LOC129795630, LOC129795629	LOC109412626, LOC109432714, LOC109412625, LOC109401551, LOC109412623
OG0000022	LOC129786910, LOC129791792	LOC134286901, LOC134286797
OG0000022	LOC129792077	LOC134286212, LOC134286359, LOC134285118, LOC134286958, LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725, LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923, LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655
OG0000023	LOC129786633	LOC109400700, LOC109399437, LOC115266810, LOC115266791, LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	LOC109421858, LOC109413809, LOC109408695, LOC109408675, LOC109403004, LOC109408692, LOC109408663, LOC134284686, LOC109408662, LOC109408659
OG0000026	LOC129792737, LOC129792738	LOC109423856, LOC115270199, LOC115269863, LOC109423857, LOC109431713, LOC115267476, LOC115260125
OG0000026	LOC129794486, LOC129789610	LOC109622447
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555, LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616
OG0000028	LOC129791254, LOC129794054	LOC109426869, LOC109433030, LOC109424566, LOC134286544, LOC134291545, LOC134289483, LOC134288560, LOC109406081, LOC134288791, LOC134290864, LOC134290502, LOC134288289, LOC109430877
OG0000028	LOC129790109	LOC134288004, LOC134286665, LOC134285471, LOC134285390, LOC134290734
OG0000028	LOC129788162, LOC129791752	LOC134288151, LOC134286380
OG0000030	LOC129790527	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023
OG0000033	LOC129794355, LOC129787784	LOC109424827, LOC134290105, LOC109416028, LOC109414923, LOC109416027, LOC109414897, LOC109416024, LOC109416023
OG0000034	LOC129791586	LOC109623143, LOC109623114, LOC109623111, LOC109623152, LOC109426767
OG0000036	LOC129795821	LOC109621427, LOC115268191, LOC115258235, LOC109399223, LOC109422845, LOC115258435, LOC134291920, LOC115268349, LOC134284838, LOC109402623, LOC115258436, LOC115267974, LOC115258437, LOC109400424, LOC115259586, LOC109420761, LOC109622304, LOC109401604, LOC109411420, LOC109426308, LOC109402129, LOC109426305, LOC109420276, LOC109397320, LOC109402127, LOC109622701, LOC109622702
OG0000037	LOC129794681, LOC129790942	LOC115267800
OG0000038	LOC129790825, LOC129795201	LOC115253873, LOC134286455, LOC115256724, LOC134291657, LOC115260242, LOC109417429, LOC115259439, LOC134288068, LOC109419746, LOC109400588, LOC115260744, LOC115259348, LOC134290519, LOC134286869, LOC109422881, LOC115259427, LOC109425613, LOC115254467, LOC134291489, LOC134286894, LOC134284506, LOC134290693, LOC115264715, LOC134289928, LOC134290374, LOC115258095, LOC115267548, LOC134290908, LOC115268122, LOC115268172, LOC134292200, LOC115262237, LOC134290699, LOC115256768, LOC134290986, LOC134291655, LOC134290148, LOC115256797, LOC134288491, LOC134284505, LOC134288413, LOC115254397, LOC115260107, LOC109407650, LOC134288173, LOC109406651, LOC115255698, LOC134286446, LOC134290525
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	LOC109426885, LOC109623326, LOC109623385, LOC109623384, LOC109623325, LOC109623324, LOC109426866
OG0000046	LOC129797654	LOC115265556, LOC115265451, LOC109432544, LOC109432546, LOC115265520, LOC115254964, LOC109416204, LOC109431805, LOC115255534, LOC109622330, LOC109621357, LOC109622339
OG0000049	LOC129794518	LOC115257883, LOC115257642, LOC115253560, LOC109403394
OG0000051	LOC129786156	LOC134286745, LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000052	LOC129794482	LOC109418812
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960
OG0000054	LOC129787390, LOC129791396, LOC129786884, LOC129789254, LOC129795833, LOC129796022, LOC129789287, LOC129794539, LOC129786352, LOC129788362, LOC129786894, LOC129789562, LOC129790105, LOC129789246	LOC134290204, LOC115258504, LOC134289739, LOC115269400, LOC134286513, LOC134289473, LOC134289311, LOC134288398, LOC134290873, LOC134288372, LOC134286361, LOC115262999, LOC134285690, LOC115261734, LOC134291384, LOC115269273, LOC134290803, LOC134290827, LOC109622039, LOC134286473, LOC134288562, LOC109405551, LOC134290547, LOC134288944, LOC134291391, LOC134285095, LOC134286514
OG0000055	LOC129797106	LOC109425568
OG0000055	LOC129792602	LOC109430791
OG0000055	LOC129791974	LOC115269375
OG0000055	LOC129793457, LOC129787314	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509, LOC115268774
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	LOC109429974, LOC109429556, LOC109429973
OG0000058	LOC129790199	LOC109429562, LOC109429976
OG0000059	LOC129794147	LOC115263209, LOC109397955, LOC109398113
OG0000061	LOC129795031	LOC115262216, LOC109407552
OG0000061	LOC129795029, LOC129795028	LOC109426588
OG0000061	LOC129795034	LOC115260060, LOC115253465, LOC109412270, LOC109397255
OG0000064	LOC129790088, LOC129790085	LOC109424200, LOC109424199, LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929, LOC134285928, LOC109424208, LOC109433412
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	LOC109399585, LOC109426033, LOC109426036, LOC109426037
OG0000067	LOC129796552	LOC109410996, LOC109410901, LOC109426035
OG0000068	LOC129794030	LOC109622389, LOC109399171, LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969
OG0000068	LOC129794029, LOC129794026, LOC129794027	LOC109399209, LOC109414002
OG0000069	LOC129797773, LOC129786174, LOC129792812	LOC134287961, LOC134287966, LOC109420427, LOC115257481, LOC115257619
OG0000071	LOC129797006	LOC109401104, LOC109417603, LOC109402034, LOC109419909
OG0000072	LOC129787850, LOC129787849	LOC109418556
OG0000072	LOC129787717	LOC109413231
