Orthogroup	AdirusWRAIR2	AsinensisChina
OG0000001	ADIR004308	ASIC013762
OG0000001	ADIR014366	ASIC013748, ASIC013742, ASIC013743
OG0000001	ADIR014365, ADIR014363	ASIC013740
OG0000002	ADIR003458	ASIC003135
OG0000002	ADIR016077	ASIC004047
OG0000002	ADIR016078	ASIC004049
OG0000002	ADIR016076	ASIC004048
OG0000002	ADIR016098	ASIC010653
OG0000002	ADIR016100, ADIR016102	ASIC004044
OG0000002	ADIR016074	ASIC006840
OG0000002	ADIR016075	ASIC006841
OG0000002	ADIR002023	ASIC014765, ASIC014766
OG0000002	ADIR016072	ASIC006839
OG0000002	ADIR006361	ASIC004039, ASIC004046
OG0000006	ADIR004457	ASIC012877
OG0000008	ADIR003918	ASIC020436
OG0000008	ADIR000457	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	ADIR000455	ASIC017825, ASIC017824
OG0000009	ADIR001877	ASIC018203
OG0000010	ADIR016002	ASIC007846, ASIC015160
OG0000010	ADIR016004	ASIC015159
OG0000010	ADIR016001	ASIC015158, ASIC015157
OG0000010	ADIR014645	ASIC015156
OG0000011	ADIR006800	ASIC010773
OG0000011	ADIR006803	ASIC010781
OG0000011	ADIR000515	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469
OG0000011	ADIR000517	ASIC004928
OG0000012	ADIR001583	ASIC017981, ASIC018092
OG0000013	ADIR010434, ADIR010435	ASIC015707
OG0000013	ADIR003492	ASIC011343
OG0000014	ADIR005075	ASIC022136
OG0000014	ADIR007771	ASIC016031, ASIC016164, ASIC016877, ASIC016850
OG0000014	ADIR003639	ASIC016176, ASIC016175, ASIC016177
OG0000014	ADIR001674, ADIR001675	ASIC016174, ASIC016178
OG0000015	ADIR006886	ASIC018932, ASIC018930, ASIC018931
OG0000015	ADIR008681	ASIC012465
OG0000015	ADIR008680	ASIC012461
OG0000016	ADIR009722	ASIC010724
