Orthogroup	AgambiaePEST	AstephensiUCISS2018
OG0000000	AGAP029842	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586, ASTEI20_043863, ASTEI20_036508, ASTEI20_036954, ASTEI20_045336, ASTEI20_039783, ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305
OG0000001	AGAP006847, AGAP006843	ASTEI20_045927, ASTEI20_033127
OG0000001	AGAP006860, AGAP006863	ASTEI20_039515
OG0000001	AGAP006858, AGAP006859	ASTEI20_046161
OG0000001	AGAP006856, AGAP006857, AGAP006862	ASTEI20_035195
OG0000001	AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851	ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698
OG0000002	AGAP002868	ASTEI20_040013
OG0000002	AGAP002869	ASTEI20_036300
OG0000002	AGAP002865	ASTEI20_038121
OG0000002	AGAP002866	ASTEI20_035875
OG0000002	AGAP002867	ASTEI20_036499
OG0000002	AGAP002870	ASTEI20_043191
OG0000002	AGAP008212	ASTEI20_032133, ASTEI20_045226
OG0000002	AGAP008214	ASTEI20_045592, ASTEI20_043030
OG0000002	AGAP008213	ASTEI20_031161, ASTEI20_041459
OG0000002	AGAP008209	ASTEI20_036351, ASTEI20_044520
OG0000002	AGAP008206	ASTEI20_034857, ASTEI20_036438
OG0000002	AGAP011028, AGAP011029	ASTEI20_036203
OG0000004	AGAP012710	ASTEI20_032191
OG0000004	AGAP012199	ASTEI20_042075
OG0000005	AGAP028034, AGAP028149	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103
OG0000005	AGAP011193, AGAP005264, AGAP005266, AGAP005265	ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804
OG0000006	AGAP002950	ASTEI20_037125
