Orthogroup	AdirusWRAIR2	AfunestusAfunGA1
OG0000000	ADIR014747	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	ADIR009835	AFUN2_011806, AFUN2_014699, AFUN2_014431
OG0000001	ADIR004308	AFUN2_012926
OG0000001	ADIR014366	AFUN2_010913
OG0000001	ADIR014365, ADIR014363	AFUN2_006480
OG0000002	ADIR003458	AFUN2_008570
OG0000002	ADIR016077	AFUN2_009035
OG0000002	ADIR016078	AFUN2_002132
OG0000002	ADIR016076	AFUN2_005303
OG0000002	ADIR016100, ADIR016102	AFUN2_006796
OG0000002	ADIR016074	AFUN2_005756
OG0000002	ADIR016075	AFUN2_002248
OG0000002	ADIR002023	AFUN2_003508
OG0000003	ADIR011510	AFUN2_013652, AFUN2_002660, AFUN2_012891, AFUN2_004364, AFUN2_004469, AFUN2_009844
OG0000006	ADIR004457	AFUN2_004254
OG0000006	ADIR002576	AFUN2_012202
OG0000007	ADIR009607	AFUN2_004043, AFUN2_006670
OG0000007	ADIR009608	AFUN2_001709, AFUN2_014614
OG0000007	ADIR000815	AFUN2_009778
OG0000007	ADIR009669	AFUN2_001920
OG0000007	ADIR009595, ADIR009594	AFUN2_011937, AFUN2_005862, AFUN2_011780
OG0000007	ADIR015954	AFUN2_006859
OG0000007	ADIR009597	AFUN2_003170
OG0000008	ADIR003918	AFUN2_005813
OG0000008	ADIR000457	AFUN2_014353, AFUN2_012060
OG0000008	ADIR000455	AFUN2_001736, AFUN2_010492
OG0000009	ADIR002344	AFUN2_002572
OG0000009	ADIR001877	AFUN2_007461
OG0000010	ADIR016002	AFUN2_014109
OG0000010	ADIR016004	AFUN2_009560
OG0000010	ADIR014645	AFUN2_009244
OG0000011	ADIR006800	AFUN2_011181
OG0000011	ADIR010578	AFUN2_008927
OG0000011	ADIR006803	AFUN2_000890
OG0000011	ADIR000515	AFUN2_006226, AFUN2_002927
OG0000011	ADIR000517	AFUN2_002952
OG0000012	ADIR001583	AFUN2_006798
OG0000013	ADIR010434, ADIR010435	AFUN2_008231
OG0000013	ADIR003492	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000014	ADIR005075	AFUN2_006975
OG0000014	ADIR007771	AFUN2_010356
OG0000014	ADIR003639	AFUN2_013192, AFUN2_003737
OG0000014	ADIR001674, ADIR001675	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	ADIR006886	AFUN2_012161
OG0000015	ADIR014733	AFUN2_000980
OG0000015	ADIR014730	AFUN2_005101
OG0000015	ADIR008680	AFUN2_004396
OG0000016	ADIR009722	AFUN2_008470
OG0000016	ADIR009355	AFUN2_004982
OG0000017	ADIR001584	AFUN2_003556, AFUN2_007093
OG0000018	ADIR007530, ADIR010830, ADIR011706	AFUN2_002966, AFUN2_011150
OG0000018	ADIR011724	AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864
OG0000018	ADIR011745, ADIR010868	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843
OG0000018	ADIR009844	AFUN2_001215
OG0000018	ADIR002364	AFUN2_001911
OG0000018	ADIR006748	AFUN2_000851
OG0000019	ADIR011725	AFUN2_003589
OG0000020	ADIR001887	AFUN2_010799, AFUN2_008522, AFUN2_009055
OG0000020	ADIR001888	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335
OG0000020	ADIR009510, ADIR009512	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	ADIR003865	AFUN2_010217
OG0000021	ADIR001186	AFUN2_001683
OG0000021	ADIR000303	AFUN2_011639
OG0000021	ADIR010427	AFUN2_002771
OG0000021	ADIR015616	AFUN2_007302
OG0000021	ADIR015615	AFUN2_014571
OG0000022	ADIR009686	AFUN2_003020
OG0000022	ADIR005598	AFUN2_002978
OG0000023	ADIR006953	AFUN2_002757
OG0000024	ADIR006878	AFUN2_008754
OG0000024	ADIR006877	AFUN2_004514
OG0000024	ADIR015850	AFUN2_001856
OG0000024	ADIR015848	AFUN2_009727
OG0000024	ADIR015846	AFUN2_006932
OG0000024	ADIR015844	AFUN2_001526
OG0000024	ADIR015845	AFUN2_012131
OG0000026	ADIR015755	AFUN2_007391
OG0000026	ADIR015754	AFUN2_003253
OG0000026	ADIR006960	AFUN2_006722
OG0000026	ADIR003488	AFUN2_005978
OG0000027	ADIR009739	AFUN2_002065, AFUN2_004791
OG0000032	ADIR010744	AFUN2_000937, AFUN2_012237, AFUN2_010461, AFUN2_010191, AFUN2_004368, AFUN2_010173, AFUN2_002261, AFUN2_003899, AFUN2_006152, AFUN2_003826
OG0000033	ADIR016018	AFUN2_014039
OG0000033	ADIR016019, ADIR002300	AFUN2_008608
OG0000033	ADIR016025	AFUN2_002394
OG0000033	ADIR016020	AFUN2_008977
OG0000033	ADIR002841, ADIR016023	AFUN2_005452, AFUN2_008949, AFUN2_011104
OG0000033	ADIR016021	AFUN2_007576
OG0000034	ADIR008769	AFUN2_002152
OG0000034	ADIR008767	AFUN2_005553
OG0000034	ADIR004404	AFUN2_010024
OG0000034	ADIR007516	AFUN2_014222
OG0000035	ADIR014329	AFUN2_012567, AFUN2_008339, AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479, AFUN2_000582, AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222
OG0000035	ADIR014313	AFUN2_006146
OG0000035	ADIR003862	AFUN2_006683
OG0000037	ADIR003228, ADIR003227	AFUN2_013181
OG0000039	ADIR015925	AFUN2_009923
OG0000039	ADIR015923	AFUN2_010939
OG0000039	ADIR008758	AFUN2_002356
OG0000039	ADIR007693	AFUN2_001872
OG0000039	ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	AFUN2_008523, AFUN2_002845
OG0000040	ADIR015602	AFUN2_012034
OG0000040	ADIR015601	AFUN2_000621
OG0000040	ADIR015539	AFUN2_012970
OG0000040	ADIR015541	AFUN2_011961
OG0000040	ADIR015540	AFUN2_013533
OG0000040	ADIR006103, ADIR015562	AFUN2_004686
OG0000041	ADIR001834	AFUN2_014438
OG0000041	ADIR001833	AFUN2_001049
OG0000041	ADIR001835	AFUN2_010115
OG0000041	ADIR003420	AFUN2_014544
OG0000042	ADIR000587, ADIR011155	AFUN2_004081
OG0000042	ADIR000580	AFUN2_014693
OG0000042	ADIR000370	AFUN2_009173, AFUN2_004521
OG0000043	ADIR014481	AFUN2_001254, AFUN2_009245
OG0000043	ADIR000018	AFUN2_000632
OG0000043	ADIR011538, ADIR014178, ADIR005614	AFUN2_005903, AFUN2_014695, AFUN2_008709, AFUN2_002764, AFUN2_009048
OG0000043	ADIR014148	AFUN2_005543, AFUN2_009900, AFUN2_010698
OG0000046	ADIR003197	AFUN2_006305
OG0000048	ADIR016188, ADIR007974	AFUN2_003419
OG0000048	ADIR016182, ADIR016183	AFUN2_007098, AFUN2_011966
OG0000048	ADIR016186	AFUN2_007180
OG0000048	ADIR016187, ADIR016181, ADIR016189	AFUN2_001025
OG0000049	ADIR016124	AFUN2_008624
OG0000049	ADIR016128	AFUN2_012748
OG0000049	ADIR015765	AFUN2_002192, AFUN2_013459
OG0000050	ADIR005587	AFUN2_004424
OG0000050	ADIR011737	AFUN2_000519, AFUN2_007709
OG0000051	ADIR009276	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000053	ADIR009846, ADIR011408	AFUN2_014363, AFUN2_010396, AFUN2_010923
OG0000053	ADIR011407, ADIR009847	AFUN2_007355
OG0000053	ADIR009845	AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	ADIR003019	AFUN2_003795
OG0000057	ADIR009281, ADIR014808	AFUN2_008318, AFUN2_006014
OG0000057	ADIR009282	AFUN2_000600
OG0000058	ADIR006057	AFUN2_008788
OG0000058	ADIR011421	AFUN2_001688
OG0000059	ADIR001566	AFUN2_006267
OG0000059	ADIR003672, ADIR003674	AFUN2_010578
OG0000059	ADIR016197	AFUN2_014242, AFUN2_009466
OG0000060	ADIR014811	AFUN2_000444
OG0000060	ADIR014810	AFUN2_013952
OG0000061	ADIR009531	AFUN2_000988
OG0000061	ADIR007445	AFUN2_001934
OG0000061	ADIR015570	AFUN2_011828
OG0000061	ADIR015571	AFUN2_001889
OG0000063	ADIR010309	AFUN2_005096
OG0000063	ADIR008969	AFUN2_009682
OG0000064	ADIR004674	AFUN2_002334
OG0000064	ADIR005809	AFUN2_011232
OG0000064	ADIR004675	AFUN2_012759
OG0000064	ADIR004673	AFUN2_002312
OG0000067	ADIR001930	AFUN2_003888
OG0000067	ADIR000539	AFUN2_012011
OG0000067	ADIR000540	AFUN2_003045
OG0000068	ADIR007458	AFUN2_012196
OG0000068	ADIR007459	AFUN2_006617
OG0000068	ADIR007460	AFUN2_013302
OG0000069	ADIR003464	AFUN2_014241
OG0000069	ADIR007962	AFUN2_004523
OG0000069	ADIR007263	AFUN2_006118
OG0000069	ADIR003511	AFUN2_012252
OG0000071	ADIR001093	AFUN2_009753
OG0000071	ADIR002693	AFUN2_014078
OG0000071	ADIR011119	AFUN2_008604
OG0000071	ADIR011120	AFUN2_008424
OG0000071	ADIR011116	AFUN2_006008
OG0000072	ADIR001900	AFUN2_010362
OG0000072	ADIR003546	AFUN2_008401
OG0000072	ADIR008039	AFUN2_008209
OG0000073	ADIR010953	AFUN2_012208
OG0000074	ADIR003703	AFUN2_001362
OG0000074	ADIR003702	AFUN2_001014
OG0000074	ADIR003701	AFUN2_003460, AFUN2_012551
OG0000074	ADIR007318	AFUN2_006428
OG0000075	ADIR008604	AFUN2_007975
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068	AFUN2_000390, AFUN2_002799
OG0000076	ADIR002334	AFUN2_012586
OG0000077	ADIR007690	AFUN2_000688, AFUN2_006649
