	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	0.0	9826.0	7765.0	8448.0	8231.0	7775.0	7291.0	8113.0	8931.0	6996.0
Aalbopictus_AalbF5	9826.0	0.0	7555.0	8173.0	7938.0	7548.0	7074.0	7858.0	8626.0	6731.0
AdirusWRAIR2	7765.0	7555.0	0.0	9304.0	9193.0	10043.0	8462.0	8946.0	7842.0	6865.0
AfunestusAfunGA1	8448.0	8173.0	9304.0	0.0	10016.0	9507.0	8630.0	10025.0	8557.0	7427.0
AgambiaePEST	8231.0	7938.0	9193.0	10016.0	0.0	9326.0	8557.0	9680.0	8337.0	7199.0
AminimusMINIMUS1	7775.0	7548.0	10043.0	9507.0	9326.0	0.0	8469.0	9112.0	7872.0	6846.0
AsinensisChina	7291.0	7074.0	8462.0	8630.0	8557.0	8469.0	0.0	8303.0	7411.0	6392.0
AstephensiUCISS2018	8113.0	7858.0	8946.0	10025.0	9680.0	9112.0	8303.0	0.0	8252.0	7140.0
CquinquefasciatusJHB2020	8931.0	8626.0	7842.0	8557.0	8337.0	7872.0	7411.0	8252.0	0.0	7115.0
LlongipalpisASM	6996.0	6731.0	6865.0	7427.0	7199.0	6846.0	6392.0	7140.0	7115.0	0.0
