Orthogroup	Aalbopictus_AalbF5	AgambiaePEST
OG0000000	LOC134290702, LOC134289888, LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052, LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251, LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351, LOC134287243, LOC134288326, LOC134288903, LOC134289839, LOC134284630, LOC134286840	AGAP029842
OG0000001	LOC109404300	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843
OG0000001	LOC109399492	AGAP006848
OG0000001	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138	AGAP006858, AGAP006859
OG0000001	LOC115270371	AGAP006864, AGAP006597
OG0000002	LOC109623203	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867
OG0000002	LOC115269310, LOC109623208, LOC115269311	AGAP002870
OG0000002	LOC109421559	AGAP008212, AGAP008214, AGAP008213
OG0000002	LOC109409168	AGAP008209
OG0000002	LOC109398259, LOC109398237	AGAP008206
OG0000002	LOC109421551, LOC109409211, LOC109409210	AGAP008205
OG0000002	LOC109425972	AGAP011028, AGAP011029
OG0000003	LOC134284661	AGAP010309
OG0000004	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894
OG0000006	LOC134291131	AGAP002950
