Orthogroup	AdirusWRAIR2	AminimusMINIMUS1
OG0000001	ADIR004308	AMIN007637
OG0000002	ADIR003458	AMIN016106
OG0000002	ADIR016077	AMIN006066
OG0000002	ADIR016074	AMIN006068
OG0000002	ADIR002023	AMIN004360
OG0000002	ADIR006361	AMIN006067
OG0000003	ADIR011510	AMIN006496
OG0000006	ADIR004457	AMIN000978
OG0000007	ADIR009667	AMIN016007
OG0000007	ADIR009608	AMIN008968
OG0000007	ADIR000815	AMIN005434
OG0000007	ADIR009669	AMIN008211
OG0000007	ADIR009595, ADIR009594	AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330
OG0000007	ADIR015954	AMIN016006
OG0000007	ADIR009598	AMIN008960
OG0000007	ADIR009597	AMIN008959
OG0000008	ADIR003918	AMIN005546
OG0000008	ADIR000457	AMIN006880, AMIN006881
OG0000008	ADIR000455	AMIN006884
OG0000009	ADIR002344	AMIN008550
OG0000009	ADIR001877	AMIN015675
OG0000010	ADIR016002	AMIN016052
OG0000010	ADIR016004	AMIN016057
OG0000010	ADIR016001	AMIN016054
OG0000010	ADIR014645	AMIN016053
OG0000011	ADIR006800	AMIN001659
OG0000011	ADIR010578	AMIN004643
OG0000011	ADIR006803	AMIN001662
OG0000011	ADIR000515	AMIN009342
OG0000012	ADIR001583	AMIN004080
OG0000012	ADIR001876	AMIN015674
OG0000013	ADIR010434, ADIR010435	AMIN003475
OG0000013	ADIR003492	AMIN003883
OG0000014	ADIR005075	AMIN009469
OG0000014	ADIR007771	AMIN011187
OG0000014	ADIR001674, ADIR001675	AMIN011445
OG0000015	ADIR006886	AMIN010186
OG0000015	ADIR014733	AMIN015544
OG0000015	ADIR014730	AMIN015542
OG0000015	ADIR008680	AMIN010826
OG0000016	ADIR009355	AMIN006761
OG0000018	ADIR011745, ADIR010868	AMIN006661
OG0000018	ADIR002364	AMIN009874
OG0000018	ADIR006748	AMIN006478
OG0000019	ADIR011725	AMIN009371
OG0000020	ADIR001887	AMIN008653, AMIN008654
OG0000020	ADIR001888	AMIN000732
OG0000020	ADIR009510, ADIR009512	AMIN009924, AMIN007524, AMIN008655, AMIN008393
OG0000021	ADIR003865	AMIN015467
OG0000021	ADIR001186	AMIN015464
OG0000021	ADIR015616	AMIN015484
OG0000021	ADIR015615	AMIN015482
OG0000021	ADIR015614, ADIR002969	AMIN015483
OG0000022	ADIR009686	AMIN001285
OG0000023	ADIR006953	AMIN008079
OG0000023	ADIR004298	AMIN007646
OG0000023	ADIR007551, ADIR007550	AMIN007806
OG0000024	ADIR006878	AMIN007573
OG0000024	ADIR006877	AMIN007572
OG0000024	ADIR015850	AMIN011339
OG0000026	ADIR015755	AMIN015477
OG0000026	ADIR015752	AMIN015478
OG0000026	ADIR015756	AMIN015473
OG0000026	ADIR015753	AMIN015476
OG0000026	ADIR015759	AMIN015474
OG0000026	ADIR015754	AMIN015475
OG0000026	ADIR006960	AMIN015479
OG0000026	ADIR003488	AMIN015731
OG0000027	ADIR009739	AMIN006557, AMIN006558
OG0000031	ADIR011748	AMIN005862, AMIN007507
OG0000032	ADIR010744	AMIN001332
OG0000033	ADIR016018	AMIN000381
OG0000033	ADIR016020	AMIN014039
OG0000034	ADIR008769	AMIN010809
OG0000034	ADIR008768	AMIN015563
OG0000034	ADIR008767	AMIN015564, AMIN015562
OG0000034	ADIR004404	AMIN004938
OG0000034	ADIR007516	AMIN010991
OG0000035	ADIR014329	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814
OG0000035	ADIR014313	AMIN010135
OG0000035	ADIR003862	AMIN007574
OG0000037	ADIR003228, ADIR003227	AMIN002827
OG0000037	ADIR010210	AMIN003922
OG0000037	ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211	AMIN003923, AMIN003925, AMIN003924, AMIN000003
OG0000037	ADIR010203, ADIR010204	AMIN004539
OG0000039	ADIR015925	AMIN015958
OG0000039	ADIR015923	AMIN015957
OG0000039	ADIR008758	AMIN010824
OG0000039	ADIR007693	AMIN007947
OG0000039	ADIR007692, ADIR015926	AMIN007946
OG0000040	ADIR015602	AMIN015663
OG0000040	ADIR015601	AMIN015662
OG0000040	ADIR015541	AMIN015574
OG0000040	ADIR015540	AMIN015575
OG0000040	ADIR006103, ADIR015562	AMIN015590
OG0000040	ADIR006102	AMIN015591
OG0000041	ADIR001834	AMIN008776
OG0000041	ADIR001833	AMIN008777
OG0000041	ADIR003420	AMIN003187
OG0000042	ADIR000587, ADIR011155	AMIN005907
OG0000042	ADIR000580	AMIN001699
OG0000042	ADIR000370	AMIN015669, AMIN015668
OG0000043	ADIR005615	AMIN014336
OG0000046	ADIR003197	AMIN002797
