Orthogroup	AsinensisChina	AdirusWRAIR2
OG0000001	ASIC013762	ADIR004308
OG0000001	ASIC013748, ASIC013742, ASIC013743	ADIR014366
OG0000001	ASIC013740	ADIR014365, ADIR014363
OG0000002	ASIC003135	ADIR003458
OG0000002	ASIC004047	ADIR016077
OG0000002	ASIC004049	ADIR016078
OG0000002	ASIC004048	ADIR016076
OG0000002	ASIC010653	ADIR016098
OG0000002	ASIC004044	ADIR016100, ADIR016102
OG0000002	ASIC006840	ADIR016074
OG0000002	ASIC006841	ADIR016075
OG0000002	ASIC014765, ASIC014766	ADIR002023
OG0000002	ASIC006839	ADIR016072
OG0000002	ASIC004039, ASIC004046	ADIR006361
OG0000006	ASIC012877	ADIR004457
OG0000008	ASIC020436	ADIR003918
OG0000008	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	ADIR000457
OG0000008	ASIC017825, ASIC017824	ADIR000455
OG0000009	ASIC018203	ADIR001877
OG0000010	ASIC007846, ASIC015160	ADIR016002
OG0000010	ASIC015159	ADIR016004
OG0000010	ASIC015158, ASIC015157	ADIR016001
OG0000010	ASIC015156	ADIR014645
OG0000011	ASIC010773	ADIR006800
OG0000011	ASIC010781	ADIR006803
OG0000011	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	ADIR000515
OG0000011	ASIC004928	ADIR000517
OG0000012	ASIC017981, ASIC018092	ADIR001583
OG0000013	ASIC015707	ADIR010434, ADIR010435
OG0000013	ASIC011343	ADIR003492
OG0000014	ASIC022136	ADIR005075
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850	ADIR007771
OG0000014	ASIC016176, ASIC016175, ASIC016177	ADIR003639
OG0000014	ASIC016174, ASIC016178	ADIR001674, ADIR001675
OG0000015	ASIC018932, ASIC018930, ASIC018931	ADIR006886
OG0000015	ASIC012465	ADIR008681
OG0000015	ASIC012461	ADIR008680
OG0000016	ASIC010724	ADIR009722
OG0000016	ASIC002621	ADIR009355
OG0000018	ASIC015096	ADIR010827, ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364, ADIR006748
OG0000020	ASIC010160	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512
OG0000021	ASIC012218	ADIR003865
OG0000021	ASIC007587	ADIR001186
OG0000021	ASIC010309	ADIR002970
OG0000021	ASIC015692	ADIR010427
OG0000021	ASIC010311	ADIR015616
OG0000021	ASIC010313	ADIR015615, ADIR015614, ADIR002969
OG0000023	ASIC003003	ADIR006953
OG0000023	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	ADIR004298
OG0000023	ASIC019569, ASIC002406	ADIR007551, ADIR007550
OG0000024	ASIC018921	ADIR006878
OG0000024	ASIC018920	ADIR006877
OG0000024	ASIC018905	ADIR015850
OG0000026	ASIC016558	ADIR015755
OG0000026	ASIC016557	ADIR015752
OG0000026	ASIC016559	ADIR015756, ADIR015753
OG0000026	ASIC016561	ADIR015757, ADIR015758, ADIR015759
OG0000026	ASIC016560	ADIR015754
OG0000026	ASIC016118	ADIR006960
OG0000026	ASIC014095	ADIR003488
OG0000033	ASIC009220	ADIR016018
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221	ADIR016020, ADIR002841, ADIR016023
OG0000033	ASIC009222	ADIR016024, ADIR016022
OG0000034	ASIC012442, ASIC012440	ADIR008767
OG0000034	ASIC021981	ADIR004404
OG0000035	ASIC012439	ADIR014329
OG0000037	ASIC013351, ASIC013352, ASIC013353	ADIR003228, ADIR003227
OG0000037	ASIC022219	ADIR010210
OG0000037	ASIC014023	ADIR010203, ADIR010204
OG0000039	ASIC002581	ADIR015925
OG0000039	ASIC000445	ADIR015923
OG0000039	ASIC012458	ADIR008758
OG0000039	ASIC010050	ADIR007693
