Orthogroup	Aalbopictus_AalbF5	AdirusWRAIR2
OG0000000	LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351	ADIR014747
OG0000000	LOC134290208	ADIR009835
OG0000001	LOC109399492	ADIR004308
OG0000001	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138	ADIR014366
OG0000001	LOC115270371	ADIR014365, ADIR014363
OG0000002	LOC109623203	ADIR003458
OG0000002	LOC109421559	ADIR016077, ADIR016078, ADIR016076, ADIR016098
OG0000002	LOC109409168	ADIR016100, ADIR016102
OG0000002	LOC109398259, LOC109398237	ADIR016074
OG0000002	LOC109421551, LOC109409211, LOC109409210	ADIR016075
OG0000002	LOC109425972	ADIR002023
OG0000002	LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553	ADIR006361
OG0000003	LOC134288869	ADIR014450
OG0000003	LOC115263674, LOC134288397, LOC134284661, LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733, LOC134287668, LOC134290869, LOC134286416, LOC134290695, LOC134287787, LOC134284039, LOC134284958, LOC109398612, LOC134287950, LOC134284742, LOC134288900, LOC134286312, LOC134290579, LOC134287532, LOC134286006, LOC134291858, LOC134290045, LOC134285622, LOC134286328, LOC134290508, LOC115268916, LOC134287570, LOC134286687, LOC134290952, LOC134285216, LOC134285947, LOC134287672, LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827, LOC134288203, LOC115259988	ADIR011510
OG0000006	LOC134291131	ADIR004457
OG0000008	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419	ADIR000457
OG0000008	LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	ADIR000455
OG0000009	LOC109405821	ADIR002344
OG0000009	LOC115264628	ADIR005579
OG0000009	LOC109431220	ADIR001877
OG0000010	LOC109432002, LOC109431992, LOC115265379, LOC109432055	ADIR016002, ADIR016004, ADIR016001, ADIR014645
OG0000011	LOC109411313	ADIR006803
OG0000011	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	ADIR000515, ADIR000517
OG0000012	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054	ADIR001583
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	ADIR010434, ADIR010435
OG0000013	LOC109409017, LOC109429134	ADIR003492
OG0000014	LOC109621611, LOC109400072, LOC109426996, LOC109419319	ADIR005075
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	ADIR007771, ADIR003639, ADIR001674, ADIR001675
OG0000015	LOC109401312	ADIR014733, ADIR008681, ADIR014730, ADIR008680
OG0000016	LOC109411296, LOC109622023	ADIR009355
OG0000017	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071	ADIR001584
OG0000018	LOC115256715	ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364
OG0000018	LOC115260339	ADIR006748
OG0000019	LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903, LOC134290461, LOC134290048, LOC134286534, LOC134290052, LOC134290129, LOC134291041, LOC134290401	ADIR011725
OG0000020	LOC109406040	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512
OG0000021	LOC115267287	ADIR003865
OG0000021	LOC115253654	ADIR001186
OG0000021	LOC109432057	ADIR002970
OG0000021	LOC109432714	ADIR010427
OG0000021	LOC109412625	ADIR015616
OG0000021	LOC109401551	ADIR015615, ADIR015614, ADIR002969
OG0000022	LOC134286212, LOC134286359, LOC134285118, LOC134286958	ADIR009686
OG0000022	LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923	ADIR005598
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	ADIR004298
OG0000023	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	ADIR007551, ADIR007550
OG0000024	LOC109408695, LOC109408675	ADIR006878
OG0000024	LOC109403004, LOC109408692	ADIR006877
OG0000024	LOC109408663	ADIR015850
OG0000024	LOC134284686, LOC109408662	ADIR015848, ADIR015847
OG0000024	LOC109408659	ADIR015846, ADIR015844, ADIR015845
OG0000026	LOC109423856	ADIR015756, ADIR015753
OG0000026	LOC115270199	ADIR015757, ADIR015758, ADIR015759
OG0000026	LOC115269863	ADIR015754
OG0000026	LOC109431713, LOC115267476, LOC115260125	ADIR006960
OG0000026	LOC109622447	ADIR003488
OG0000027	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	ADIR009739
OG0000031	LOC134289257	ADIR011748
