Orthogroup	AaegyptiLVP_AGWG	Aalbopictus_AalbF5
OG0000000	AAEL027377	LOC134290702, LOC134289888
OG0000000	AAEL028099	LOC134287243, LOC134288326, LOC134288903, LOC134289839
OG0000000	AAEL023571	LOC134286913, LOC134288635, LOC134289602, LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357, LOC134290581, LOC134291857, LOC134286222, LOC134291820, LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869, LOC134291901, LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227
OG0000001	AAEL009009	LOC109404300
OG0000001	AAEL008994	LOC109399492
OG0000001	AAEL008982	LOC115265056
OG0000001	AAEL009013	LOC109404277
OG0000001	AAEL008969	LOC109404315
OG0000001	AAEL015424	LOC109403110
OG0000001	AAEL009004	LOC109404321
OG0000001	AAEL008989	LOC109403117
OG0000001	AAEL029076	LOC109404330
OG0000001	AAEL008993	LOC115270372
OG0000001	AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971	LOC109403106, LOC109399495, LOC109399494
OG0000001	AAEL029080	LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363
OG0000001	AAEL029123, AAEL008975, AAEL015280	LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245
OG0000001	AAEL009007, AAEL009000, AAEL027622, AAEL008984	LOC109404353
OG0000001	AAEL000665	LOC109425906
OG0000001	AAEL015503	LOC109433067
OG0000001	AAEL014977	LOC109403100
OG0000001	AAEL008990	LOC109403138
OG0000001	AAEL025577	LOC115270371
OG0000002	AAEL014891	LOC109623203
OG0000002	AAEL014893	LOC115269310, LOC109623208
OG0000002	AAEL014890	LOC115269311
OG0000002	AAEL009127	LOC109421559
OG0000002	AAEL009128	LOC109409168
OG0000002	AAEL010151	LOC109398259
OG0000002	AAEL010158	LOC109398237
OG0000002	AAEL009137	LOC109421551
OG0000002	AAEL009133	LOC109409211
OG0000002	AAEL009122	LOC109409210
OG0000002	AAEL017539	LOC109425972
OG0000002	AAEL017556	LOC109421555
OG0000002	AAEL009138	LOC109421477
OG0000002	AAEL009121	LOC109421549
OG0000002	AAEL009124	LOC109409164
OG0000002	AAEL009126	LOC109421553
OG0000004	AAEL015682	LOC109398605, LOC109398661
OG0000004	AAEL022390	LOC134290285, LOC134284595
OG0000004	AAEL021983	LOC109404521
OG0000004	AAEL021223	LOC115255202
OG0000004	AAEL021358, AAEL023016, AAEL023479, AAEL023589	LOC134284571
OG0000004	AAEL023305	LOC109397482
OG0000004	AAEL023817, AAEL024024	LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417
OG0000004	AAEL021297, AAEL022550	LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256
OG0000004	AAEL020030	LOC115255183
OG0000004	AAEL020426	LOC109397487
OG0000005	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599	LOC134284592
OG0000005	AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475
OG0000005	AAEL026631	LOC109621646
OG0000006	AAEL025985, AAEL013375	LOC134287667, LOC134284060
OG0000006	AAEL024806, AAEL022442	LOC134287526, LOC134285602, LOC134287214
OG0000006	AAEL026752	LOC134291131
OG0000008	AAEL014617, AAEL014613	LOC109426418, LOC134289744
OG0000008	AAEL014615	LOC109426424
OG0000008	AAEL014603, AAEL014610	LOC134291978
OG0000008	AAEL029064, AAEL014609, AAEL017366	LOC134291018, LOC109403845, LOC109426416
OG0000008	AAEL002638	LOC109433244
OG0000008	AAEL002633	LOC109424185, LOC115258886
OG0000008	AAEL014619	LOC109403897, LOC109426422
OG0000008	AAEL019603	LOC115254008
OG0000008	AAEL006795	LOC109403786
OG0000008	AAEL014605	LOC109403754
OG0000008	AAEL014614	LOC109426407
OG0000008	AAEL006815	LOC109426413
OG0000008	AAEL006784	LOC109426414
OG0000008	AAEL006805	LOC109403795, LOC109426411
OG0000008	AAEL028635	LOC109426410
OG0000008	AAEL014618	LOC109426408
OG0000008	AAEL014604	LOC109426420
OG0000008	AAEL019504	LOC134283913
OG0000009	AAEL012499	LOC109405821
OG0000009	AAEL022584, AAEL020050	LOC109431220
OG0000009	AAEL020348	LOC134284429
OG0000009	AAEL021459	LOC134284416, LOC115254131, LOC115255182
OG0000009	AAEL007005	LOC109404592
OG0000010	AAEL008218	LOC109432023
OG0000010	AAEL008217	LOC115265384
OG0000010	AAEL008208, AAEL008207	LOC109432002, LOC109431992
OG0000010	AAEL023597, AAEL008221	LOC115265379
OG0000010	AAEL008206	LOC109432055
OG0000010	AAEL008212	LOC109432112, LOC109432077
OG0000011	AAEL021195	LOC109411313
OG0000011	AAEL021283	LOC109397937
OG0000011	AAEL010552	LOC109429729
OG0000011	AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610	LOC109429746, LOC115266488, LOC109397936
OG0000011	AAEL023218, AAEL028146, AAEL023858	LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	AAEL027861	LOC109413799
OG0000012	AAEL009284	LOC109409461
OG0000012	AAEL009296	LOC109409491
OG0000012	AAEL020629, AAEL020985, AAEL020370	LOC134292035
OG0000012	AAEL021821	LOC134288780
