Orthogroup	AminimusMINIMUS1	LlongipalpisASM
OG0000002	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108, AMIN016111	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570
OG0000002	AMIN006066, AMIN006068, AMIN004360, AMIN006067	LOC129791036
OG0000004	AMIN006962	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490
OG0000005	AMIN005016	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898
OG0000006	AMIN002115, AMIN006479, AMIN000978, AMIN009886, AMIN005876, AMIN004546, AMIN005875	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384
OG0000007	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959	LOC129792965
OG0000008	AMIN005546	LOC129796114, LOC129787731, LOC129786793
OG0000008	AMIN006880, AMIN006881, AMIN006884	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727
OG0000009	AMIN008550, AMIN015675	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899
OG0000010	AMIN016052, AMIN016057, AMIN016054, AMIN016053	LOC129793217, LOC129791616
OG0000011	AMIN001659, AMIN004643, AMIN001662, AMIN009342	LOC129797415
OG0000012	AMIN000411	LOC129789783, LOC129789249, LOC129796964
OG0000012	AMIN004080	LOC129788898
OG0000013	AMIN003474, AMIN003475, AMIN003476	LOC129797413
OG0000013	AMIN003883	LOC129797312
OG0000014	AMIN009469, AMIN011187, AMIN011445	LOC129792111
OG0000015	AMIN010186, AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048
OG0000016	AMIN006761	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701
OG0000017	AMIN004079	LOC129789495
OG0000018	AMIN004545, AMIN006661, AMIN009874, AMIN006478	LOC129786868
OG0000021	AMIN015466, AMIN015467	LOC129797244
OG0000021	AMIN015464	LOC129788422
OG0000021	AMIN015484, AMIN015482, AMIN015483	LOC129795630, LOC129795629
OG0000022	AMIN001285, AMIN001286, AMIN008873, AMIN003189	LOC129792077
OG0000023	AMIN008079, AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646, AMIN007806	LOC129786633
OG0000024	AMIN007573, AMIN007572, AMIN011339	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	AMIN015477, AMIN015478, AMIN015473, AMIN015476, AMIN015474, AMIN015475, AMIN015479	LOC129792737, LOC129792738
OG0000026	AMIN015731	LOC129794486, LOC129789610
OG0000027	AMIN006557, AMIN006558	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462
OG0000028	AMIN001236	LOC129788162, LOC129791752
OG0000030	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994	LOC129790527
OG0000033	AMIN015509, AMIN000381, AMIN014039	LOC129794355, LOC129787784
OG0000034	AMIN015565, AMIN000196, AMIN010809, AMIN015563, AMIN015564, AMIN015562, AMIN015508, AMIN004938, AMIN010991	LOC129791586
OG0000037	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539	LOC129794681, LOC129790942
OG0000041	AMIN008776, AMIN008777, AMIN003187	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	AMIN002797	LOC129797654
OG0000049	AMIN015888, AMIN015886, AMIN015889, AMIN015891, AMIN015890	LOC129794518
OG0000051	AMIN006620, AMIN014521	LOC129786156
OG0000052	AMIN015582	LOC129794482
OG0000052	AMIN015585, AMIN015584	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000055	AMIN002458	LOC129797106
OG0000058	AMIN001846	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	AMIN009389	LOC129790199
