	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	0.0	1261.0	426.0	250.0	520.0	421.0	617.0	577.0	540.0	282.0
Aalbopictus_AalbF5	752.0	0.0	414.0	240.0	499.0	402.0	595.0	542.0	528.0	278.0
AdirusWRAIR2	876.0	1110.0	0.0	242.0	531.0	186.0	520.0	599.0	537.0	336.0
AfunestusAfunGA1	903.0	1189.0	241.0	0.0	480.0	178.0	507.0	515.0	556.0	318.0
AgambiaePEST	867.0	1118.0	287.0	119.0	0.0	247.0	536.0	495.0	514.0	304.0
AminimusMINIMUS1	890.0	1139.0	209.0	217.0	532.0	0.0	525.0	579.0	559.0	322.0
AsinensisChina	809.0	1031.0	280.0	197.0	470.0	274.0	0.0	515.0	491.0	295.0
AstephensiUCISS2018	899.0	1139.0	277.0	147.0	488.0	239.0	540.0	0.0	526.0	302.0
CquinquefasciatusJHB2020	910.0	1293.0	443.0	251.0	528.0	423.0	635.0	571.0	0.0	292.0
LlongipalpisASM	865.0	1108.0	532.0	331.0	567.0	509.0	691.0	620.0	504.0	0.0
