	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	11059	10737	8942	9410	9421	8961	8591	9427	9905	8187
Aalbopictus_AalbF5	10737	11728	8965	9413	9397	8990	8599	9430	10016	8176
AdirusWRAIR2	8942	8965	10364	9386	9527	9818	8847	9424	8702	7740
AfunestusAfunGA1	9410	9413	9386	10271	9907	9453	8951	10011	9184	8095
AgambiaePEST	9421	9397	9527	9907	10409	9588	9096	9972	9188	8093
AminimusMINIMUS1	8961	8990	9818	9453	9588	10439	8861	9501	8743	7708
AsinensisChina	8591	8599	8847	8951	9096	8861	9808	8990	8393	7387
AstephensiUCISS2018	9427	9430	9424	10011	9972	9501	8990	10354	9199	8095
CquinquefasciatusJHB2020	9905	10016	8702	9184	9188	8743	8393	9199	10634	7946
LlongipalpisASM	8187	8176	7740	8095	8093	7708	7387	8095	7946	8594
