Orthogroup	AgambiaePEST	AaegyptiLVP_AGWG
OG0000000	AGAP029842	AAEL027377, AAEL028099
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843	AAEL009009
OG0000001	AGAP006848	AAEL008994
OG0000001	AGAP006858, AGAP006859	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990
OG0000001	AGAP006864, AGAP006597	AAEL025577
OG0000002	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867	AAEL014891
OG0000002	AGAP002870	AAEL014893, AAEL014890
OG0000002	AGAP008212, AGAP008214, AGAP008213	AAEL009127
OG0000002	AGAP008209	AAEL009128, AAEL017297, AAEL009117, AAEL009125
OG0000002	AGAP008206	AAEL010151, AAEL010158
OG0000002	AGAP008205	AAEL009137, AAEL009133, AAEL009122
OG0000002	AGAP011028, AGAP011029	AAEL017539
OG0000004	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	AAEL015682
OG0000004	AGAP012555	AAEL022865, AAEL024711, AAEL026969
OG0000005	AGAP028034, AGAP028149	AAEL020343, AAEL026864
OG0000005	AGAP011193, AGAP005264, AGAP005266, AGAP005265	AAEL027063
OG0000006	AGAP002950	AAEL026752
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	AGAP012291	AAEL006795
OG0000008	AGAP012292	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	AGAP011845	AAEL003706, AAEL003687
OG0000009	AGAP012895	AAEL020348
OG0000009	AGAP003913	AAEL021347, AAEL021778, AAEL021459
OG0000010	AGAP007252	AAEL008218
OG0000010	AGAP002432, AGAP007262	AAEL008217
OG0000010	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	AGAP008893	AAEL021195
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	AGAP001813	AAEL027861
OG0000012	AGAP007508	AAEL009284, AAEL009296
OG0000012	AGAP012559	AAEL020629, AAEL020985, AAEL020370, AAEL021821
OG0000012	AGAP012709	AAEL022066, AAEL021946, AAEL021903
OG0000012	AGAP012196	AAEL011424
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	AGAP003378	AAEL023763, AAEL002110
OG0000013	AGAP003384	AAEL002099
OG0000013	AGAP003385, AGAP003379	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	AGAP009728	AAEL003156, AAEL007942, AAEL020192
OG0000014	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916	AAEL011007
OG0000015	AGAP005645	AAEL010677
OG0000015	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499	AAEL010671
OG0000016	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425
OG0000016	AGAP009966	AAEL007818, AAEL004996
OG0000017	AGAP012558	AAEL003846
OG0000017	AGAP010724	AAEL021540
OG0000017	AGAP012574	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216
OG0000017	AGAP003909	AAEL000517
OG0000017	AGAP012586	AAEL021350
OG0000018	AGAP028579, AGAP013250	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	AGAP029431	AAEL020762, AAEL026324
OG0000020	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708	AAEL008681
OG0000021	AGAP005095	AAEL004631, AAEL001673
OG0000021	AGAP000651	AAEL011197
OG0000021	AGAP011514	AAEL004616
OG0000021	AGAP001676	AAEL009451
OG0000021	AGAP011515	AAEL001951
OG0000023	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	AAEL000351, AAEL029065
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	AAEL000323, AAEL024983
OG0000024	AGAP012569, AGAP005636, AGAP005638	AAEL010380, AAEL017311
OG0000024	AGAP005637	AAEL010367, AAEL024680
OG0000024	AGAP006226	AAEL010384
OG0000024	AGAP006224, AGAP006225	AAEL010370, AAEL010382
OG0000024	AGAP006221, AGAP006220	AAEL026787
OG0000026	AGAP004981, AGAP012617, AGAP012616	AAEL013496, AAEL013501
OG0000026	AGAP004976, AGAP004980	AAEL013493
OG0000026	AGAP004975, AGAP004977	AAEL015116, AAEL015113
OG0000026	AGAP004978	AAEL013492
OG0000026	AGAP006258	AAEL011763, AAEL011764, AAEL020579
OG0000026	AGAP002825	AAEL014544
OG0000027	AGAP029283	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252
OG0000027	AGAP010363, AGAP010364	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647
OG0000030	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	AGAP004148	AAEL005064
OG0000033	AGAP003252	AAEL000038
OG0000033	AGAP003251	AAEL000074
OG0000033	AGAP003246, AGAP003250, AGAP003249, AGAP013487, AGAP003245, AGAP003247, AGAP003248	AAEL000037, AAEL000028, AAEL000099
OG0000034	AGAP004575	AAEL013562
OG0000034	AGAP005938	AAEL002279
OG0000035	AGAP012715, AGAP012588, AGAP012450, AGAP001067, AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475, AGAP006696, AGAP005307	AAEL009610, AAEL025842, AAEL013024
OG0000037	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113	AAEL008895
OG0000039	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	AGAP006666, AGAP006667	AAEL008368, AAEL022663
OG0000040	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397	AAEL020825, AAEL008448
OG0000041	AGAP029305, AGAP029267	AAEL007044
OG0000041	AGAP028600	AAEL007060
OG0000041	AGAP029755	AAEL007063
OG0000041	AGAP029753	AAEL007051, AAEL007070
OG0000041	AGAP001764, AGAP029756	AAEL023132
OG0000042	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126	AAEL018347
OG0000046	AGAP013221	AAEL005753
OG0000048	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	AGAP011788	AAEL002595
OG0000049	AGAP011781	AAEL002590
OG0000049	AGAP011792, AGAP011794, AGAP011793	AAEL002600
