Orthogroup	LlongipalpisASM	AdirusWRAIR2
OG0000000	LOC129794284, LOC129791988	ADIR014747
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ADIR003458
OG0000002	LOC129797569, LOC129797571	ADIR016070
OG0000002	LOC129791036	ADIR016077, ADIR016078, ADIR016076, ADIR016098, ADIR016100, ADIR016102, ADIR016074, ADIR016075, ADIR002023, ADIR016072, ADIR006361
OG0000003	LOC129789093	ADIR014450
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ADIR001878
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ADIR004457, ADIR002576
OG0000007	LOC129792965	ADIR014622, ADIR009668, ADIR009667, ADIR009607, ADIR009608, ADIR014842, ADIR000815, ADIR009669, ADIR009588, ADIR009595, ADIR009594, ADIR009596, ADIR015954, ADIR015955, ADIR009593, ADIR009598, ADIR009597
OG0000008	LOC129796114, LOC129787731, LOC129786793	ADIR003918
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ADIR000457, ADIR000455
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	ADIR002344, ADIR005579, ADIR001877
OG0000010	LOC129793217, LOC129791616	ADIR016002, ADIR016004, ADIR016001, ADIR014645
OG0000011	LOC129797415	ADIR006800, ADIR010578, ADIR006803, ADIR000515, ADIR000517
OG0000012	LOC129792999	ADIR002719
OG0000012	LOC129788898	ADIR001583
OG0000013	LOC129797413	ADIR010434, ADIR010435
OG0000013	LOC129797312	ADIR003492
OG0000014	LOC129792111	ADIR005075, ADIR007771, ADIR003639, ADIR001674, ADIR001675
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	ADIR006886, ADIR014733, ADIR008681, ADIR014730, ADIR008680
OG0000016	LOC129794929, LOC129788356	ADIR009722
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	ADIR009355
OG0000017	LOC129788896	ADIR001584
OG0000018	LOC129786868	ADIR010827, ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364, ADIR006748
OG0000021	LOC129797244	ADIR003865
OG0000021	LOC129788422	ADIR001186
OG0000021	LOC129795630, LOC129795629	ADIR000303, ADIR010427, ADIR015616, ADIR015615, ADIR015614, ADIR002969
OG0000022	LOC129792077	ADIR009686, ADIR005598
OG0000023	LOC129786633	ADIR006953, ADIR004298, ADIR007551, ADIR007550
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	ADIR006878, ADIR006877, ADIR015850, ADIR015848, ADIR015847, ADIR015846, ADIR015844, ADIR015845
OG0000026	LOC129792737, LOC129792738	ADIR015755, ADIR015752, ADIR015756, ADIR015753, ADIR015757, ADIR015758, ADIR015759, ADIR015754, ADIR006960
OG0000026	LOC129794486, LOC129789610	ADIR003488
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	ADIR009739
OG0000033	LOC129794355, LOC129787784	ADIR016018, ADIR016019, ADIR002300, ADIR016025, ADIR016020, ADIR002841, ADIR016023, ADIR016021, ADIR016024, ADIR016022
OG0000034	LOC129791586	ADIR008766, ADIR008769, ADIR008768, ADIR008767, ADIR004404, ADIR007516
OG0000037	LOC129794681, LOC129790942	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	ADIR001834, ADIR001833, ADIR001835, ADIR003420
OG0000046	LOC129797654	ADIR003197
OG0000049	LOC129794518	ADIR016124, ADIR016125, ADIR016128, ADIR015764, ADIR015763, ADIR015765, ADIR015762, ADIR016123
OG0000051	LOC129786156	ADIR009276
OG0000055	LOC129797106	ADIR003019
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	ADIR006057
OG0000058	LOC129790199	ADIR011421
OG0000059	LOC129794147	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568, ADIR003672, ADIR003674, ADIR016197
OG0000061	LOC129795031	ADIR009531
OG0000061	LOC129795029, LOC129795028	ADIR007445
OG0000061	LOC129795034	ADIR015570, ADIR015571
OG0000064	LOC129790088, LOC129790085	ADIR004674, ADIR005809, ADIR004675, ADIR004673
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	ADIR001930, ADIR000539, ADIR000540
OG0000068	LOC129794030	ADIR007458, ADIR007459
OG0000068	LOC129794029, LOC129794026, LOC129794027	ADIR007460
OG0000069	LOC129797773, LOC129786174, LOC129792812	ADIR003464, ADIR007962, ADIR007263, ADIR007262, ADIR003511
OG0000071	LOC129797006	ADIR001093, ADIR002693, ADIR011119, ADIR011120, ADIR011116
OG0000072	LOC129787850, LOC129787849	ADIR001900
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	ADIR010953
OG0000077	LOC129793367	ADIR007690
OG0000078	LOC129795036	ADIR003319, ADIR005222, ADIR002699, ADIR005603, ADIR003863, ADIR014322, ADIR014246
OG0000079	LOC129796831	ADIR010062
OG0000080	LOC129790108	ADIR007435, ADIR007208, ADIR000033
