Orthogroup	AstephensiUCISS2018	AsinensisChina
OG0000001	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127	ASIC013765, ASIC013764
OG0000001	ASTEI20_046161	ASIC013748, ASIC013742, ASIC013743
OG0000001	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761
OG0000001	ASTEI20_041050, ASTEI20_039571	ASIC013744
OG0000002	ASTEI20_040013	ASIC003137
OG0000002	ASTEI20_036300	ASIC003139
OG0000002	ASTEI20_038121	ASIC003135
OG0000002	ASTEI20_036499	ASIC003136
OG0000002	ASTEI20_043191	ASIC003140
OG0000002	ASTEI20_032133, ASTEI20_045226	ASIC004047
OG0000002	ASTEI20_045592, ASTEI20_043030	ASIC004049
OG0000002	ASTEI20_031161, ASTEI20_041459	ASIC004048
OG0000002	ASTEI20_036351, ASTEI20_044520	ASIC004044
OG0000002	ASTEI20_034857, ASTEI20_036438	ASIC006840
OG0000002	ASTEI20_036203	ASIC014765, ASIC014766
OG0000002	ASTEI20_040919	ASIC004039, ASIC004046
OG0000004	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097	ASIC018314
OG0000006	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144	ASIC000906
OG0000006	ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568	ASIC015100
OG0000006	ASTEI20_037125	ASIC012877
OG0000008	ASTEI20_031614	ASIC020436
OG0000008	ASTEI20_045981	ASIC017821, ASIC017823, ASIC017822
OG0000008	ASTEI20_045188	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	ASTEI20_044670	ASIC017825
OG0000008	ASTEI20_031005	ASIC017824
OG0000009	ASTEI20_044827	ASIC018203
OG0000010	ASTEI20_038744	ASIC007831, ASIC007832
OG0000010	ASTEI20_038323	ASIC007846, ASIC015160
OG0000010	ASTEI20_041896	ASIC015159
OG0000010	ASTEI20_032085	ASIC015158, ASIC015157
OG0000010	ASTEI20_034511	ASIC015156
OG0000010	ASTEI20_045103, ASTEI20_045045	ASIC012971, ASIC012972, ASIC012980, ASIC012979
OG0000010	ASTEI20_037148, ASTEI20_039539	ASIC012975, ASIC012976, ASIC012973, ASIC012978
OG0000011	ASTEI20_036542	ASIC010773
OG0000011	ASTEI20_040335	ASIC010781
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469
OG0000011	ASTEI20_032335	ASIC004928
OG0000012	ASTEI20_035093	ASIC006970
OG0000012	ASTEI20_044655	ASIC017981, ASIC018092
OG0000013	ASTEI20_044393	ASIC015707
OG0000013	ASTEI20_036070, ASTEI20_034401	ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	ASTEI20_033404	ASIC011345
OG0000013	ASTEI20_042237, ASTEI20_043320	ASIC011343
OG0000014	ASTEI20_035937	ASIC022136
OG0000014	ASTEI20_030803	ASIC016031, ASIC016164, ASIC016877, ASIC016850
OG0000014	ASTEI20_045732, ASTEI20_043799, ASTEI20_033207	ASIC016176, ASIC016175, ASIC016177
