Orthogroup	AstephensiUCISS2018	AaegyptiLVP_AGWG
OG0000000	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586	AAEL027377
OG0000000	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783	AAEL028099
OG0000001	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127	AAEL009009
OG0000001	ASTEI20_046161	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990
OG0000002	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499	AAEL014891
OG0000002	ASTEI20_043191	AAEL014893, AAEL014890
OG0000002	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459	AAEL009127
OG0000002	ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828	AAEL009128, AAEL017297, AAEL009117, AAEL009125
OG0000002	ASTEI20_034857, ASTEI20_036438	AAEL010151, AAEL010158
OG0000002	ASTEI20_036203	AAEL017539
OG0000002	ASTEI20_040919	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126
OG0000004	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097	AAEL015682
OG0000005	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103	AAEL020343, AAEL026864
OG0000005	ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804	AAEL027063
OG0000006	ASTEI20_037125	AAEL026752
OG0000008	ASTEI20_045981, ASTEI20_045188	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	ASTEI20_044670	AAEL006795
OG0000008	ASTEI20_031005	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	ASTEI20_040741	AAEL012499, AAEL003706, AAEL003687
OG0000009	ASTEI20_044827	AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005
OG0000010	ASTEI20_038744	AAEL008217
OG0000010	ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	ASTEI20_040335	AAEL021195
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205, ASTEI20_032335, ASTEI20_044907	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	ASTEI20_044217	AAEL006158
OG0000012	ASTEI20_035093	AAEL009284, AAEL009296
OG0000012	ASTEI20_044655	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754
OG0000013	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	ASTEI20_042039	AAEL023763, AAEL002110
OG0000013	ASTEI20_033404	AAEL002099
OG0000013	ASTEI20_042237, ASTEI20_043320	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	ASTEI20_035937	AAEL003156, AAEL007942, AAEL020192
OG0000014	ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	AAEL011007
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	AAEL010677
OG0000015	ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188	AAEL010671
OG0000016	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425
OG0000016	ASTEI20_033956	AAEL007818, AAEL004996
OG0000017	ASTEI20_041579	AAEL003846
OG0000017	ASTEI20_039449	AAEL021922, AAEL021577, AAEL021058, AAEL020565, AAEL020145, AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216, AAEL020914, AAEL021529, AAEL021405, AAEL000517, AAEL003673, AAEL021516, AAEL021956, AAEL021604, AAEL013709, AAEL020831, AAEL021350, AAEL020032
OG0000018	ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	AAEL020762, AAEL026324
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201	AAEL008681
OG0000021	ASTEI20_031602	AAEL004631
