Orthogroup	AstephensiUCISS2018	AminimusMINIMUS1
OG0000001	ASTEI20_045927	AMIN007636
OG0000001	ASTEI20_039515	AMIN014601
OG0000002	ASTEI20_040013	AMIN016107
OG0000002	ASTEI20_036300	AMIN016112
OG0000002	ASTEI20_038121	AMIN016106
OG0000002	ASTEI20_035875	AMIN016109
OG0000002	ASTEI20_036499	AMIN016110, AMIN016108
OG0000002	ASTEI20_043191	AMIN016111
OG0000002	ASTEI20_032133, ASTEI20_045226	AMIN006066
OG0000002	ASTEI20_034857, ASTEI20_036438	AMIN006068
OG0000002	ASTEI20_036203	AMIN004360
OG0000002	ASTEI20_040919	AMIN006067
OG0000003	ASTEI20_037049, ASTEI20_034440, ASTEI20_032078, ASTEI20_031811	AMIN006496
OG0000004	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387	AMIN006962
OG0000005	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103	AMIN005016
OG0000006	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144	AMIN006479
OG0000006	ASTEI20_037125	AMIN000978
OG0000006	ASTEI20_034128	AMIN005876
OG0000006	ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451	AMIN005875
OG0000007	ASTEI20_035663	AMIN008968
OG0000007	ASTEI20_036392	AMIN005434
OG0000007	ASTEI20_044422	AMIN008211
OG0000007	ASTEI20_041560	AMIN009331, AMIN009333, AMIN009332, AMIN009885
OG0000007	ASTEI20_045006, ASTEI20_033378	AMIN009330
OG0000007	ASTEI20_039161	AMIN008957
OG0000007	ASTEI20_043388	AMIN016006
OG0000007	ASTEI20_040387	AMIN008959
OG0000008	ASTEI20_031614	AMIN005546
OG0000008	ASTEI20_045188	AMIN006880, AMIN006881
OG0000008	ASTEI20_044670, ASTEI20_031005	AMIN006884
OG0000009	ASTEI20_040741	AMIN008550
OG0000009	ASTEI20_044827	AMIN015675
OG0000010	ASTEI20_038323	AMIN016052
OG0000010	ASTEI20_041896	AMIN016057
OG0000010	ASTEI20_032085	AMIN016054
OG0000010	ASTEI20_034511	AMIN016053
OG0000011	ASTEI20_036542	AMIN001659
OG0000011	ASTEI20_039975	AMIN004643
OG0000011	ASTEI20_040335	AMIN001662
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899	AMIN009342
OG0000012	ASTEI20_043553, ASTEI20_035093	AMIN000411
OG0000012	ASTEI20_044655	AMIN004080
OG0000013	ASTEI20_044393	AMIN003474
OG0000013	ASTEI20_036070, ASTEI20_034401	AMIN003476
OG0000013	ASTEI20_042237, ASTEI20_043320	AMIN003883
OG0000014	ASTEI20_035937	AMIN009469
OG0000014	ASTEI20_030803	AMIN011187
OG0000014	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	AMIN011445
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	AMIN010186
OG0000015	ASTEI20_044899	AMIN015544
OG0000015	ASTEI20_031600	AMIN015543
OG0000015	ASTEI20_037282	AMIN015541
OG0000015	ASTEI20_034188	AMIN010826
OG0000016	ASTEI20_033956	AMIN006761
OG0000017	ASTEI20_039449	AMIN004079, AMIN009236, AMIN011507
OG0000018	ASTEI20_045349	AMIN004545
OG0000018	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491	AMIN006661
OG0000018	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	AMIN006478
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417	AMIN008653, AMIN008654
OG0000020	ASTEI20_041247	AMIN008394
OG0000020	ASTEI20_044090, ASTEI20_042722	AMIN000732
OG0000020	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843	AMIN009924
OG0000020	ASTEI20_038201	AMIN008393
OG0000021	ASTEI20_031602	AMIN015466
OG0000021	ASTEI20_042507	AMIN015467
OG0000021	ASTEI20_033844	AMIN015464
OG0000021	ASTEI20_036164	AMIN015465
OG0000021	ASTEI20_044345	AMIN015484
OG0000021	ASTEI20_032692	AMIN015482
OG0000022	ASTEI20_044612, ASTEI20_045722	AMIN001285, AMIN001286, AMIN008873, AMIN003189
OG0000023	ASTEI20_036442	AMIN008079
OG0000023	ASTEI20_033419	AMIN002713
OG0000023	ASTEI20_034207	AMIN007647
OG0000023	ASTEI20_038660	AMIN007646
OG0000023	ASTEI20_035807	AMIN007806
OG0000024	ASTEI20_036317	AMIN007573
OG0000024	ASTEI20_030796	AMIN007572
OG0000024	ASTEI20_042294	AMIN011339
OG0000026	ASTEI20_034431	AMIN015477
OG0000026	ASTEI20_045957	AMIN015478
OG0000026	ASTEI20_037139	AMIN015474
OG0000026	ASTEI20_036805	AMIN015475
OG0000026	ASTEI20_033037	AMIN015479
OG0000026	ASTEI20_038151	AMIN015731
