Orthogroup	LlongipalpisASM	AminimusMINIMUS1
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108, AMIN016111
OG0000002	LOC129791036	AMIN006066, AMIN006068, AMIN004360, AMIN006067
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AMIN006962
OG0000005	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AMIN005016
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AMIN002115, AMIN006479, AMIN000978, AMIN009886, AMIN005876, AMIN004546, AMIN005875
OG0000007	LOC129792965	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959
OG0000008	LOC129796114, LOC129787731, LOC129786793	AMIN005546
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AMIN006880, AMIN006881, AMIN006884
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	AMIN008550, AMIN015675
OG0000010	LOC129793217, LOC129791616	AMIN016052, AMIN016057, AMIN016054, AMIN016053
OG0000011	LOC129797415	AMIN001659, AMIN004643, AMIN001662, AMIN009342
OG0000012	LOC129789783, LOC129789249, LOC129796964	AMIN000411
OG0000012	LOC129788898	AMIN004080
OG0000013	LOC129797413	AMIN003474, AMIN003475, AMIN003476
OG0000013	LOC129797312	AMIN003883
OG0000014	LOC129792111	AMIN009469, AMIN011187, AMIN011445
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	AMIN010186, AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	AMIN006761
OG0000017	LOC129789495	AMIN004079
OG0000018	LOC129786868	AMIN004545, AMIN006661, AMIN009874, AMIN006478
OG0000021	LOC129797244	AMIN015466, AMIN015467
OG0000021	LOC129788422	AMIN015464
OG0000021	LOC129795630, LOC129795629	AMIN015484, AMIN015482, AMIN015483
OG0000022	LOC129792077	AMIN001285, AMIN001286, AMIN008873, AMIN003189
OG0000023	LOC129786633	AMIN008079, AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646, AMIN007806
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	AMIN007573, AMIN007572, AMIN011339
OG0000026	LOC129792737, LOC129792738	AMIN015477, AMIN015478, AMIN015473, AMIN015476, AMIN015474, AMIN015475, AMIN015479
OG0000026	LOC129794486, LOC129789610	AMIN015731
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	AMIN006557, AMIN006558
OG0000028	LOC129788162, LOC129791752	AMIN001236
OG0000030	LOC129790527	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994
OG0000033	LOC129794355, LOC129787784	AMIN015509, AMIN000381, AMIN014039
OG0000034	LOC129791586	AMIN015565, AMIN000196, AMIN010809, AMIN015563, AMIN015564, AMIN015562, AMIN015508, AMIN004938, AMIN010991
OG0000037	LOC129794681, LOC129790942	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	AMIN008776, AMIN008777, AMIN003187
OG0000046	LOC129797654	AMIN002797
OG0000049	LOC129794518	AMIN015888, AMIN015886, AMIN015889, AMIN015891, AMIN015890
OG0000051	LOC129786156	AMIN006620, AMIN014521
OG0000052	LOC129794482	AMIN015582
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	AMIN015585, AMIN015584
OG0000055	LOC129797106	AMIN002458
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	AMIN001846
OG0000058	LOC129790199	AMIN009389
OG0000059	LOC129794147	AMIN016229, AMIN016293, AMIN010123
OG0000061	LOC129795031	AMIN006938
OG0000061	LOC129795029, LOC129795028	AMIN007997
OG0000061	LOC129795034	AMIN004599
OG0000064	LOC129790088, LOC129790085	AMIN001329, AMIN001327, AMIN003132, AMIN001330, AMIN001328
