Orthogroup	Aalbopictus_AalbF5	AstephensiUCISS2018
OG0000000	LOC134290702, LOC134289888	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586
OG0000000	LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052	ASTEI20_043863, ASTEI20_036508
OG0000000	LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251, LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351, LOC134287243, LOC134288326, LOC134288903, LOC134289839, LOC134284630, LOC134286840	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783
OG0000000	LOC134284524, LOC115259209, LOC134287985, LOC134285168, LOC134284874, LOC134284353, LOC134285603, LOC134286070, LOC134285057, LOC134288518, LOC115255407, LOC134287374, LOC134287773, LOC134289500, LOC134284881, LOC134286476, LOC134292199, LOC134290223, LOC134284282, LOC134289799, LOC134284961, LOC134287069, LOC134286496, LOC134289794, LOC134288183, LOC134285625, LOC134285738, LOC134291735, LOC134287906, LOC134291387, LOC134291193	ASTEI20_043567, ASTEI20_031704, ASTEI20_043535
OG0000000	LOC134290208	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948
OG0000001	LOC109404300	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127
OG0000001	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138	ASTEI20_046161
OG0000002	LOC109623203	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499
OG0000002	LOC115269310, LOC109623208, LOC115269311	ASTEI20_043191
OG0000002	LOC109421559	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459
OG0000002	LOC109409168	ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828
OG0000002	LOC109398259, LOC109398237	ASTEI20_034857, ASTEI20_036438
OG0000002	LOC109425972	ASTEI20_036203
OG0000002	LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553	ASTEI20_040919
OG0000003	LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733	ASTEI20_037049
OG0000003	LOC134287672	ASTEI20_034440
OG0000003	LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827	ASTEI20_032078, ASTEI20_031811
