Orthogroup	AstephensiUCISS2018	CquinquefasciatusJHB2020
OG0000000	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586	CQUJHB014876, CQUJHB006110
OG0000000	ASTEI20_043863, ASTEI20_036508	CQUJHB012282
OG0000000	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783	CQUJHB013622, CQUJHB016039, CQUJHB007707, CQUJHB002677, CQUJHB018190, CQUJHB013695
OG0000000	ASTEI20_043567, ASTEI20_031704, ASTEI20_043535	CQUJHB010235, CQUJHB006331, CQUJHB004612, CQUJHB006784, CQUJHB000853, CQUJHB011901
OG0000000	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497	CQUJHB008409, CQUJHB003477, CQUJHB009777
OG0000001	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000001	ASTEI20_046161	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126
OG0000001	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698, ASTEI20_041050, ASTEI20_039571	CQUJHB010237, CQUJHB007643
OG0000002	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499	CQUJHB017007
OG0000002	ASTEI20_043191	CQUJHB007871, CQUJHB001163
OG0000002	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828	CQUJHB002682
OG0000002	ASTEI20_034857, ASTEI20_036438	CQUJHB008354
OG0000002	ASTEI20_036203	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	ASTEI20_040919	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958
OG0000003	ASTEI20_037049	CQUJHB001577, CQUJHB000234
OG0000003	ASTEI20_032078, ASTEI20_031811	CQUJHB017073
OG0000004	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447
OG0000006	ASTEI20_037125	CQUJHB000743
OG0000007	ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387	CQUJHB016780
OG0000008	ASTEI20_031614	CQUJHB014582, CQUJHB016283
OG0000008	ASTEI20_045981, ASTEI20_045188	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038
OG0000008	ASTEI20_044670	CQUJHB017383
OG0000008	ASTEI20_031005	CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000009	ASTEI20_044827	CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165
OG0000010	ASTEI20_038744	CQUJHB008428, CQUJHB007624
