Orthogroup	AaegyptiLVP_AGWG	AdirusWRAIR2
OG0000001	AAEL008994	ADIR004308
OG0000001	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990	ADIR014366
OG0000001	AAEL025577	ADIR014365, ADIR014363
OG0000002	AAEL014891	ADIR003458
OG0000002	AAEL009127	ADIR016077, ADIR016078, ADIR016076, ADIR016098
OG0000002	AAEL009128, AAEL017297, AAEL009117, AAEL009125	ADIR016100, ADIR016102
OG0000002	AAEL010151, AAEL010158	ADIR016074
OG0000002	AAEL009137, AAEL009133, AAEL009122	ADIR016075
OG0000002	AAEL017539	ADIR002023
OG0000002	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126	ADIR006361
OG0000004	AAEL022865, AAEL024711, AAEL026969	ADIR001878
OG0000006	AAEL026752	ADIR004457
OG0000008	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603	ADIR000457
OG0000008	AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	ADIR000455
OG0000009	AAEL012499, AAEL003706, AAEL003687	ADIR002344
OG0000009	AAEL022584, AAEL020050	ADIR001877
OG0000010	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	ADIR016002, ADIR016004, ADIR016001, ADIR014645
OG0000011	AAEL021195	ADIR006803
