Orthogroup	AaegyptiLVP_AGWG	AminimusMINIMUS1
OG0000001	AAEL009009	AMIN007636
OG0000001	AAEL008994	AMIN007637
OG0000002	AAEL014891	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108
OG0000002	AAEL014893, AAEL014890	AMIN016111
OG0000002	AAEL009127	AMIN006066
OG0000002	AAEL010151, AAEL010158	AMIN006068
OG0000002	AAEL017539	AMIN004360
OG0000002	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126	AMIN006067
OG0000004	AAEL015682	AMIN006962
OG0000005	AAEL020343, AAEL026864	AMIN005016
OG0000006	AAEL019665	AMIN002115
OG0000006	AAEL026752	AMIN000978
OG0000008	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603	AMIN006880, AMIN006881
OG0000008	AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	AMIN006884
OG0000009	AAEL012499, AAEL003706, AAEL003687	AMIN008550
OG0000009	AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005	AMIN015675
OG0000010	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	AMIN016052, AMIN016057, AMIN016054, AMIN016053
OG0000011	AAEL021195	AMIN001662
OG0000011	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	AMIN009342
OG0000012	AAEL027861, AAEL009284, AAEL009296	AMIN000411
OG0000012	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754	AMIN004080
OG0000012	AAEL011424	AMIN015676
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	AMIN003474, AMIN003475, AMIN003476
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	AMIN003883
OG0000014	AAEL003156, AAEL007942, AAEL020192	AMIN009469
OG0000014	AAEL011007	AMIN011187, AMIN011445
OG0000015	AAEL010677	AMIN010186
OG0000015	AAEL010671	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826
OG0000016	AAEL007818, AAEL004996	AMIN006761
OG0000017	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	AMIN004079
OG0000017	AAEL020914	AMIN009236
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	AMIN004545, AMIN006661, AMIN009874
OG0000018	AAEL020762, AAEL026324	AMIN006478
OG0000020	AAEL008681	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393
OG0000021	AAEL004631	AMIN015466
OG0000021	AAEL001673	AMIN015467
OG0000021	AAEL011197	AMIN015464
OG0000021	AAEL004616	AMIN015465
OG0000021	AAEL001951	AMIN015484
OG0000021	AAEL005964	AMIN015482, AMIN015483
OG0000023	AAEL000351, AAEL029065	AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646
OG0000023	AAEL000323, AAEL024983	AMIN007806
OG0000024	AAEL010380, AAEL017311	AMIN007573
OG0000024	AAEL010367, AAEL024680	AMIN007572
OG0000024	AAEL010384	AMIN011339
OG0000026	AAEL013496, AAEL013501	AMIN015477, AMIN015478
OG0000026	AAEL013493	AMIN015473, AMIN015476
OG0000026	AAEL015116, AAEL015113	AMIN015474
OG0000026	AAEL013492	AMIN015475
OG0000026	AAEL011763, AAEL011764, AAEL020579	AMIN015479
OG0000026	AAEL014544	AMIN015731
OG0000027	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	AMIN006557, AMIN006558
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994
OG0000033	AAEL005064	AMIN015509
OG0000033	AAEL000038	AMIN000381
OG0000033	AAEL000037, AAEL000028, AAEL000099	AMIN014039
OG0000034	AAEL013562	AMIN004938
OG0000034	AAEL002279	AMIN010991
OG0000035	AAEL009610, AAEL025842, AAEL013024	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814, AMIN010135, AMIN007574
