Orthogroup	CquinquefasciatusJHB2020	LlongipalpisASM
OG0000000	CQUJHB016039	LOC129794284, LOC129791988
OG0000000	CQUJHB007171, CQUJHB010481	LOC129788552, LOC129785947, LOC129789206
OG0000000	CQUJHB004515, CQUJHB009739	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883
OG0000001	CQUJHB010167, CQUJHB001086	LOC129785915
OG0000001	CQUJHB010237, CQUJHB007643	LOC129791522
OG0000002	CQUJHB017007, CQUJHB007871, CQUJHB001163	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570
OG0000002	CQUJHB009563, CQUJHB004450, CQUJHB000426, CQUJHB002682, CQUJHB008354, CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269, CQUJHB003944, CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958	LOC129791036
OG0000003	CQUJHB009884, CQUJHB004784, CQUJHB017576, CQUJHB014196, CQUJHB010120	LOC129789093
OG0000003	CQUJHB007185	LOC129792880, LOC129786961, LOC129789185, LOC129791397
OG0000004	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447, CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490
OG0000005	CQUJHB015326, CQUJHB016505, CQUJHB001878, CQUJHB005849, CQUJHB005832	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898
