	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	0.0	1717.0	2129.0	2148.0	2018.0	2158.0	1894.0	2210.0	2086.0	2152.0
Aalbopictus_AalbF5	3218.0	0.0	2706.0	2993.0	2560.0	2894.0	2455.0	2787.0	3508.0	2745.0
AdirusWRAIR2	972.0	986.0	0.0	556.0	664.0	497.0	670.0	631.0	996.0	1243.0
AfunestusAfunGA1	631.0	635.0	632.0	0.0	323.0	661.0	533.0	402.0	640.0	889.0
AgambiaePEST	1247.0	1175.0	1286.0	1155.0	0.0	1362.0	1144.0	1222.0	1335.0	1503.0
AminimusMINIMUS1	934.0	886.0	420.0	382.0	533.0	0.0	600.0	550.0	932.0	1171.0
AsinensisChina	1457.0	1383.0	1200.0	1159.0	1222.0	1285.0	0.0	1272.0	1484.0	1708.0
AstephensiUCISS2018	1306.0	1285.0	1421.0	1199.0	1099.0	1392.0	1208.0	0.0	1286.0	1477.0
CquinquefasciatusJHB2020	1561.0	1547.0	1587.0	1582.0	1353.0	1641.0	1374.0	1454.0	0.0	1454.0
LlongipalpisASM	759.0	837.0	941.0	890.0	799.0	873.0	845.0	832.0	836.0	0.0
