Orthogroup	AgambiaePEST	AminimusMINIMUS1
OG0000001	AGAP006847, AGAP006843	AMIN007636
OG0000001	AGAP006848	AMIN007637
OG0000001	AGAP006860, AGAP006863	AMIN014601
OG0000002	AGAP002868	AMIN016107
OG0000002	AGAP002869	AMIN016112
OG0000002	AGAP002865	AMIN016106
OG0000002	AGAP002866	AMIN016109
OG0000002	AGAP002867	AMIN016110, AMIN016108
OG0000002	AGAP002870	AMIN016111
OG0000002	AGAP008212	AMIN006066
OG0000002	AGAP008206	AMIN006068
OG0000002	AGAP011028, AGAP011029	AMIN004360
OG0000003	AGAP010309	AMIN006496
OG0000004	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	AMIN006962
OG0000005	AGAP028034, AGAP028149	AMIN005016
OG0000006	AGAP002950	AMIN000978
OG0000006	AGAP012782, AGAP003624, AGAP007639, AGAP000408	AMIN009886
OG0000006	AGAP029795	AMIN005876
OG0000006	AGAP029344	AMIN004546, AMIN005875
OG0000007	AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027	AMIN016007
OG0000007	AGAP029745, AGAP029744	AMIN008968
OG0000007	AGAP000164	AMIN005434
OG0000007	AGAP028159, AGAP028040	AMIN008211
OG0000007	AGAP028667, AGAP028683, AGAP012753, AGAP029786	AMIN009331, AMIN009333, AMIN009332, AMIN009885
OG0000007	AGAP028670, AGAP011404, AGAP012546	AMIN009330
OG0000007	AGAP028668	AMIN008957
OG0000007	AGAP011403	AMIN016006
OG0000007	AGAP028625	AMIN008960
OG0000007	AGAP012832	AMIN008958
OG0000007	AGAP028675, AGAP028676, AGAP028677	AMIN008959
OG0000008	AGAP000818	AMIN005546
OG0000008	AGAP012296	AMIN006880, AMIN006881
OG0000008	AGAP012291, AGAP012292	AMIN006884
OG0000009	AGAP011845	AMIN008550
OG0000009	AGAP012711, AGAP003911, AGAP012895, AGAP003913	AMIN015675
OG0000010	AGAP007251	AMIN016052
OG0000010	AGAP006673	AMIN016057
OG0000010	AGAP006674	AMIN016054
OG0000010	AGAP006675	AMIN016053
OG0000011	AGAP028042	AMIN001659
OG0000011	AGAP013465	AMIN004643
OG0000011	AGAP008893	AMIN001662
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178	AMIN009342
