Orthogroup	AgambiaePEST	AsinensisChina
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843	ASIC013765, ASIC013764
OG0000001	AGAP006848	ASIC013762
OG0000001	AGAP006858, AGAP006859	ASIC013748, ASIC013742, ASIC013743
OG0000001	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761
OG0000001	AGAP006864, AGAP006597	ASIC013740
OG0000002	AGAP002868	ASIC003137
OG0000002	AGAP002869	ASIC003139
OG0000002	AGAP002865	ASIC003135
OG0000002	AGAP002867	ASIC003136
OG0000002	AGAP002870	ASIC003140
OG0000002	AGAP008212	ASIC004047
OG0000002	AGAP008214	ASIC004049
OG0000002	AGAP008213	ASIC004048
OG0000002	AGAP008209	ASIC004044
OG0000002	AGAP008206	ASIC006840
OG0000002	AGAP008205	ASIC006841
OG0000002	AGAP011028, AGAP011029	ASIC014765, ASIC014766
OG0000002	AGAP008207	ASIC006839
OG0000004	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	ASIC018314
OG0000006	AGAP029261	ASIC002536
OG0000006	AGAP002950	ASIC012877
OG0000006	AGAP012782, AGAP003624, AGAP007639, AGAP000408	ASIC022014
OG0000008	AGAP000818	ASIC020436
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294	ASIC017821, ASIC017823, ASIC017822
OG0000008	AGAP012296	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	AGAP012291	ASIC017825
OG0000008	AGAP012292	ASIC017824
OG0000010	AGAP007252	ASIC007845
OG0000010	AGAP002432, AGAP007262	ASIC007831, ASIC007832
OG0000010	AGAP007251	ASIC007846, ASIC015160
OG0000010	AGAP006673	ASIC015159
OG0000010	AGAP006674	ASIC015158, ASIC015157
OG0000010	AGAP006675	ASIC015156
OG0000010	AGAP005671, AGAP005670	ASIC012971, ASIC012972, ASIC012980, ASIC012979
OG0000010	AGAP005669	ASIC012975, ASIC012976, ASIC012973, ASIC012978
OG0000011	AGAP028042	ASIC010773
OG0000011	AGAP008893	ASIC010781
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469
OG0000011	AGAP028013	ASIC004928
OG0000012	AGAP007508	ASIC006970
OG0000012	AGAP005024, AGAP012573, AGAP005025, AGAP012559, AGAP012709, AGAP012572, AGAP003910, AGAP012197	ASIC017981, ASIC018092
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	AGAP003384	ASIC011345
OG0000013	AGAP003385, AGAP003379	ASIC011343
OG0000014	AGAP009728	ASIC022136
OG0000014	AGAP005848	ASIC016031, ASIC016164, ASIC016877, ASIC016850
OG0000014	AGAP028439, AGAP006743	ASIC016176, ASIC016175, ASIC016177
OG0000014	AGAP004917, AGAP004918, AGAP004916	ASIC016174, ASIC016178
OG0000015	AGAP005645	ASIC018932, ASIC018930, ASIC018931
OG0000015	AGAP005502, AGAP005501	ASIC012464, ASIC012462
OG0000015	AGAP005499	ASIC012461
OG0000016	AGAP008861	ASIC010724
OG0000016	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294	ASIC010602, ASIC010601, ASIC010600, ASIC010599
OG0000016	AGAP012842, AGAP008291, AGAP008290	ASIC003871
OG0000016	AGAP009966	ASIC002621
OG0000018	AGAP012484, AGAP028579, AGAP013250, AGAP029431	ASIC015096
OG0000020	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708	ASIC010160
OG0000021	AGAP005095	ASIC006150, ASIC012218
OG0000021	AGAP000651	ASIC007587
OG0000021	AGAP011514	ASIC006151, ASIC010309
OG0000021	AGAP001676	ASIC015692
OG0000021	AGAP011515	ASIC010311
OG0000023	AGAP006253	ASIC003003
OG0000023	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	ASIC013723
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	ASIC019569, ASIC002406
OG0000024	AGAP012569, AGAP005636, AGAP005638	ASIC018921
OG0000024	AGAP005637	ASIC018920
OG0000024	AGAP006226	ASIC018905
OG0000026	AGAP004981, AGAP012617	ASIC016558
OG0000026	AGAP012616	ASIC016557
OG0000026	AGAP004976, AGAP004980	ASIC016559
OG0000026	AGAP004975, AGAP004977	ASIC016561
OG0000026	AGAP004978	ASIC016560
OG0000026	AGAP006258	ASIC016118
OG0000026	AGAP002825	ASIC014095
OG0000030	AGAP010812	ASIC003381
OG0000030	AGAP010815	ASIC003417, ASIC003383
OG0000033	AGAP004148	ASIC021804
OG0000033	AGAP003252	ASIC009220
OG0000033	AGAP003250, AGAP003249, AGAP013487	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221
OG0000033	AGAP003248	ASIC009222
OG0000034	AGAP005481	ASIC012442
OG0000034	AGAP005480	ASIC012440
OG0000034	AGAP005483, AGAP005484	ASIC012445, ASIC012446
OG0000034	AGAP004575	ASIC021981
OG0000035	AGAP028576, AGAP010323	ASIC012439
OG0000037	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247	ASIC022219
OG0000037	AGAP013369, AGAP013264, AGAP013050, AGAP013448	ASIC014023
OG0000039	AGAP006420	ASIC002581
OG0000039	AGAP006421	ASIC000445
OG0000039	AGAP005497	ASIC012458
OG0000039	AGAP006417	ASIC010050
OG0000039	AGAP006443, AGAP006419, AGAP006418	ASIC010664
OG0000040	AGAP011468	ASIC015489
OG0000040	AGAP011469, AGAP012854	ASIC015488
OG0000040	AGAP011467	ASIC015490
OG0000040	AGAP009408, AGAP009409	ASIC007400
OG0000040	AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397	ASIC006427, ASIC006438
OG0000041	AGAP029305, AGAP029267	ASIC005058
OG0000041	AGAP028600	ASIC005063
OG0000041	AGAP029755	ASIC005062
OG0000041	AGAP029753	ASIC005064
OG0000041	AGAP001764	ASIC005684
OG0000041	AGAP029756	ASIC005059, ASIC005061
OG0000042	AGAP008403	ASIC017752, ASIC017751
OG0000042	AGAP009249	ASIC017733, ASIC001192
OG0000042	AGAP028179	ASIC001191
OG0000042	AGAP029929, AGAP029932	ASIC015606
OG0000042	AGAP010545, AGAP028728	ASIC015360
OG0000043	AGAP012091, AGAP012092	ASIC004837, ASIC002620, ASIC014455
OG0000043	AGAP029316	ASIC015430, ASIC004836, ASIC002619
OG0000043	AGAP028182, AGAP029285, AGAP012173, AGAP029334, AGAP029308, AGAP029333, AGAP029867	ASIC017851, ASIC017852
OG0000046	AGAP013221	ASIC009813, ASIC009814
OG0000048	AGAP006192	ASIC019015, ASIC019014
OG0000048	AGAP006193	ASIC019017, ASIC019018
OG0000049	AGAP011788	ASIC018403, ASIC018371, ASIC018370
OG0000049	AGAP011781	ASIC018401, ASIC018400
OG0000049	AGAP011792	ASIC017764
OG0000049	AGAP011789	ASIC018404
OG0000051	AGAP010117, AGAP010119, AGAP013749, AGAP012875	ASIC010148
OG0000052	AGAP011918	ASIC018088
OG0000052	AGAP011920	ASIC018082
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705
OG0000053	AGAP028118, AGAP028020, AGAP028195	ASIC020710
OG0000053	AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	ASIC020703
OG0000055	AGAP002076	ASIC000721
OG0000055	AGAP004944	ASIC016078
OG0000055	AGAP004583, AGAP004581	ASIC014234
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247	ASIC010134, ASIC010137
OG0000057	AGAP010106, AGAP010103, AGAP010121, AGAP010108	ASIC010133
OG0000057	AGAP029248	ASIC010138
OG0000058	AGAP009472	ASIC007323
OG0000058	AGAP009467	ASIC007325
OG0000058	AGAP009468	ASIC007324
OG0000058	AGAP008945	ASIC002529
OG0000059	AGAP005194, AGAP012778, AGAP005196, AGAP005195	ASIC019011, ASIC019000
OG0000059	AGAP006707, AGAP006709, AGAP006710, AGAP006711	ASIC019170
OG0000059	AGAP007142, AGAP007141	ASIC016660
OG0000060	AGAP010097	ASIC010127
OG0000060	AGAP010095	ASIC010126
OG0000060	AGAP010100, AGAP010099	ASIC010130, ASIC010129
OG0000060	AGAP010098	ASIC010128
OG0000060	AGAP010101	ASIC010131
OG0000061	AGAP012230	ASIC015402
OG0000061	AGAP006371	ASIC016621
OG0000061	AGAP002318	ASIC008790, ASIC008789
OG0000061	AGAP002317	ASIC008791
OG0000062	AGAP003960	ASIC004218
OG0000062	AGAP008558	ASIC009092
OG0000062	AGAP013252	ASIC004220
