HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N3.HOG0000000	OG0000000	n8	AAEL027377	LOC134290702, LOC134289888							CQUJHB014876, CQUJHB006110	
N3.HOG0000001	OG0000000	n17		LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052							CQUJHB012282	
N3.HOG0000002	OG0000000	n28		LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251								
N3.HOG0000003	OG0000000	n35		LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351							CQUJHB016039	
N3.HOG0000004	OG0000000	n56	AAEL028099	LOC134287243, LOC134288326, LOC134288903, LOC134289839							CQUJHB007707	
N3.HOG0000005	OG0000000	n61		LOC134286840							CQUJHB002677, CQUJHB018190, CQUJHB013695	
N3.HOG0000006	OG0000000	n83		LOC134284524, LOC115259209, LOC134287985, LOC134285168, LOC134284874, LOC134284353, LOC134285603, LOC134286070, LOC134285057, LOC134288518, LOC115255407, LOC134287374, LOC134287773, LOC134289500, LOC134284881, LOC134286476							CQUJHB010235, CQUJHB006331, CQUJHB004612	
N3.HOG0000007	OG0000000	n101		LOC134292199, LOC134290223, LOC134284282, LOC134289799, LOC134284961, LOC134287069, LOC134286496, LOC134289794							CQUJHB006784, CQUJHB000853	
N3.HOG0000008	OG0000000	n110		LOC134288183, LOC134285625, LOC134285738, LOC134291735, LOC134287906, LOC134291387, LOC134291193							CQUJHB011901	
N3.HOG0000009	OG0000000	n122		LOC134290208							CQUJHB008409, CQUJHB003477, CQUJHB009777	
N3.HOG0000010	OG0000000	n140		LOC134286913, LOC134288635, LOC134289602								
N3.HOG0000011	OG0000000	n145		LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357							CQUJHB007641, CQUJHB010283	
N3.HOG0000012	OG0000000	n154		LOC134290581							CQUJHB009412	
N3.HOG0000013	OG0000000	n157									CQUJHB014846, CQUJHB012837, CQUJHB001173, CQUJHB006705, CQUJHB015543, CQUJHB017213, CQUJHB017363	
N3.HOG0000014	OG0000000	n164		LOC134291857, LOC134286222, LOC134291820							CQUJHB007171, CQUJHB010481	
N3.HOG0000015	OG0000000	n171		LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869							CQUJHB004515, CQUJHB009739	
N3.HOG0000016	OG0000000	n204		LOC134291901							CQUJHB012441, CQUJHB000255	
