Orthogroup	CquinquefasciatusJHB2020	AstephensiUCISS2018
OG0000000	CQUJHB014876, CQUJHB006110	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586
OG0000000	CQUJHB012282	ASTEI20_043863, ASTEI20_036508
OG0000000	CQUJHB013622, CQUJHB016039, CQUJHB007707, CQUJHB002677, CQUJHB018190, CQUJHB013695	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783
OG0000000	CQUJHB010235, CQUJHB006331, CQUJHB004612, CQUJHB006784, CQUJHB000853, CQUJHB011901	ASTEI20_043567, ASTEI20_031704, ASTEI20_043535
OG0000000	CQUJHB008409, CQUJHB003477, CQUJHB009777	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497
OG0000001	CQUJHB008010, CQUJHB014772, CQUJHB013280	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127
OG0000001	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126	ASTEI20_046161
OG0000001	CQUJHB010237, CQUJHB007643	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698, ASTEI20_041050, ASTEI20_039571
OG0000002	CQUJHB017007	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499
OG0000002	CQUJHB007871, CQUJHB001163	ASTEI20_043191
OG0000002	CQUJHB009563, CQUJHB004450, CQUJHB000426	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459
OG0000002	CQUJHB002682	ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828
OG0000002	CQUJHB008354	ASTEI20_034857, ASTEI20_036438
OG0000002	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269	ASTEI20_036203
OG0000002	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958	ASTEI20_040919
OG0000003	CQUJHB001577, CQUJHB000234	ASTEI20_037049
OG0000003	CQUJHB017073	ASTEI20_032078, ASTEI20_031811
OG0000004	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097
OG0000006	CQUJHB000743	ASTEI20_037125
OG0000007	CQUJHB016780	ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387
OG0000008	CQUJHB014582, CQUJHB016283	ASTEI20_031614
OG0000008	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038	ASTEI20_045981, ASTEI20_045188
OG0000008	CQUJHB017383	ASTEI20_044670
OG0000008	CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337	ASTEI20_031005
OG0000009	CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165	ASTEI20_044827
OG0000010	CQUJHB008428, CQUJHB007624	ASTEI20_038744
OG0000010	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332
OG0000011	CQUJHB010034, CQUJHB012166	ASTEI20_036542
OG0000011	CQUJHB017782	ASTEI20_040335
OG0000011	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205, ASTEI20_032335, ASTEI20_044907
OG0000012	CQUJHB005776, CQUJHB000447	ASTEI20_035093
OG0000012	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	ASTEI20_044655
OG0000012	CQUJHB017365, CQUJHB001464, CQUJHB015627, CQUJHB008015	ASTEI20_038389
OG0000013	CQUJHB005557, CQUJHB003968	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401
OG0000013	CQUJHB001230	ASTEI20_042039
OG0000013	CQUJHB017291	ASTEI20_033404
OG0000013	CQUJHB016730, CQUJHB002448, CQUJHB016895	ASTEI20_042237, ASTEI20_043320
OG0000014	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125	ASTEI20_035937
OG0000014	CQUJHB005028	ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	CQUJHB014108, CQUJHB006827	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	CQUJHB017458	ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188
OG0000016	CQUJHB006645, CQUJHB016247	ASTEI20_044818
OG0000016	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351
OG0000016	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639	ASTEI20_033956
OG0000017	CQUJHB001516	ASTEI20_041579
OG0000017	CQUJHB006040, CQUJHB006644, CQUJHB017511	ASTEI20_039449
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201
OG0000021	CQUJHB005197	ASTEI20_031602
OG0000021	CQUJHB014638	ASTEI20_042507
OG0000021	CQUJHB010956	ASTEI20_033844
OG0000021	CQUJHB016733	ASTEI20_036164
OG0000021	CQUJHB012948	ASTEI20_042454
OG0000021	CQUJHB015628	ASTEI20_044345
OG0000022	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042, CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757, CQUJHB001711, CQUJHB013417, CQUJHB016403	ASTEI20_044612, ASTEI20_045722
OG0000023	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212	ASTEI20_034207, ASTEI20_038660
OG0000023	CQUJHB015434, CQUJHB012060	ASTEI20_035807
OG0000024	CQUJHB005662	ASTEI20_036317
