Orthogroup	Aalbopictus_AalbF5	AaegyptiLVP_AGWG
OG0000000	LOC134290702, LOC134289888	AAEL027377
OG0000000	LOC134287243, LOC134288326, LOC134288903, LOC134289839	AAEL028099
OG0000000	LOC134286913, LOC134288635, LOC134289602, LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357, LOC134290581, LOC134291857, LOC134286222, LOC134291820, LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869, LOC134291901, LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227	AAEL023571
OG0000001	LOC109404300	AAEL009009
OG0000001	LOC109399492	AAEL008994
OG0000001	LOC115265056	AAEL008982
OG0000001	LOC109404277	AAEL009013
OG0000001	LOC109404315	AAEL008969
OG0000001	LOC109403110	AAEL015424
OG0000001	LOC109404321	AAEL009004
OG0000001	LOC109403117	AAEL008989
OG0000001	LOC109404330	AAEL029076
OG0000001	LOC115270372	AAEL008993
OG0000001	LOC109403106, LOC109399495, LOC109399494	AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971
OG0000001	LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363	AAEL029080
OG0000001	LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245	AAEL029123, AAEL008975, AAEL015280
OG0000001	LOC109404353	AAEL009007, AAEL009000, AAEL027622, AAEL008984
OG0000001	LOC109425906	AAEL000665
OG0000001	LOC109433067	AAEL015503
OG0000001	LOC109403100	AAEL014977
OG0000001	LOC109403138	AAEL008990
OG0000001	LOC115270371	AAEL025577
OG0000002	LOC109623203	AAEL014891
OG0000002	LOC115269310, LOC109623208	AAEL014893
OG0000002	LOC115269311	AAEL014890
OG0000002	LOC109421559	AAEL009127
OG0000002	LOC109409168	AAEL009128
OG0000002	LOC109398259	AAEL010151
OG0000002	LOC109398237	AAEL010158
OG0000002	LOC109421551	AAEL009137
OG0000002	LOC109409211	AAEL009133
OG0000002	LOC109409210	AAEL009122
OG0000002	LOC109425972	AAEL017539
OG0000002	LOC109421555	AAEL017556
OG0000002	LOC109421477	AAEL009138
OG0000002	LOC109421549	AAEL009121
OG0000002	LOC109409164	AAEL009124
OG0000002	LOC109421553	AAEL009126
OG0000004	LOC109398605, LOC109398661	AAEL015682
OG0000004	LOC134290285, LOC134284595	AAEL022390
OG0000004	LOC109404521	AAEL021983
OG0000004	LOC115255202	AAEL021223
OG0000004	LOC134284571	AAEL021358, AAEL023016, AAEL023479, AAEL023589
OG0000004	LOC109397482	AAEL023305
OG0000004	LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417	AAEL023817, AAEL024024
OG0000004	LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256	AAEL021297, AAEL022550
OG0000004	LOC115255183	AAEL020030
OG0000004	LOC109397487	AAEL020426
OG0000005	LOC134284592	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599
