Orthogroup	AminimusMINIMUS1	AstephensiUCISS2018
OG0000001	AMIN007636	ASTEI20_045927
OG0000001	AMIN014601	ASTEI20_039515
OG0000002	AMIN016107	ASTEI20_040013
OG0000002	AMIN016112	ASTEI20_036300
OG0000002	AMIN016106	ASTEI20_038121
OG0000002	AMIN016109	ASTEI20_035875
OG0000002	AMIN016110, AMIN016108	ASTEI20_036499
OG0000002	AMIN016111	ASTEI20_043191
OG0000002	AMIN006066	ASTEI20_032133, ASTEI20_045226
OG0000002	AMIN006068	ASTEI20_034857, ASTEI20_036438
OG0000002	AMIN004360	ASTEI20_036203
OG0000002	AMIN006067	ASTEI20_040919
OG0000003	AMIN006496	ASTEI20_037049, ASTEI20_034440, ASTEI20_032078, ASTEI20_031811
OG0000004	AMIN006962	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387
OG0000005	AMIN005016	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103
OG0000006	AMIN006479	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144
OG0000006	AMIN000978	ASTEI20_037125
OG0000006	AMIN005876	ASTEI20_034128
OG0000006	AMIN005875	ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451
OG0000007	AMIN008968	ASTEI20_035663
OG0000007	AMIN005434	ASTEI20_036392
OG0000007	AMIN008211	ASTEI20_044422
OG0000007	AMIN009331, AMIN009333, AMIN009332, AMIN009885	ASTEI20_041560
OG0000007	AMIN009330	ASTEI20_045006, ASTEI20_033378
OG0000007	AMIN008957	ASTEI20_039161
OG0000007	AMIN016006	ASTEI20_043388
OG0000007	AMIN008959	ASTEI20_040387
OG0000008	AMIN005546	ASTEI20_031614
OG0000008	AMIN006880, AMIN006881	ASTEI20_045188
OG0000008	AMIN006884	ASTEI20_044670, ASTEI20_031005
OG0000009	AMIN008550	ASTEI20_040741
OG0000009	AMIN015675	ASTEI20_044827
OG0000010	AMIN016052	ASTEI20_038323
OG0000010	AMIN016057	ASTEI20_041896
OG0000010	AMIN016054	ASTEI20_032085
OG0000010	AMIN016053	ASTEI20_034511
OG0000011	AMIN001659	ASTEI20_036542
OG0000011	AMIN004643	ASTEI20_039975
OG0000011	AMIN001662	ASTEI20_040335
OG0000011	AMIN009342	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899
OG0000012	AMIN000411	ASTEI20_043553, ASTEI20_035093
OG0000012	AMIN004080	ASTEI20_044655
OG0000013	AMIN003474	ASTEI20_044393
OG0000013	AMIN003476	ASTEI20_036070, ASTEI20_034401
OG0000013	AMIN003883	ASTEI20_042237, ASTEI20_043320
OG0000014	AMIN009469	ASTEI20_035937
OG0000014	AMIN011187	ASTEI20_030803
OG0000014	AMIN011445	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	AMIN010186	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	AMIN015544	ASTEI20_044899
OG0000015	AMIN015543	ASTEI20_031600
OG0000015	AMIN015541	ASTEI20_037282
OG0000015	AMIN010826	ASTEI20_034188
OG0000016	AMIN006761	ASTEI20_033956
OG0000017	AMIN004079, AMIN009236, AMIN011507	ASTEI20_039449
OG0000018	AMIN004545	ASTEI20_045349
OG0000018	AMIN006661	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491
OG0000018	AMIN006478	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	AMIN008653, AMIN008654	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417
OG0000020	AMIN008394	ASTEI20_041247
OG0000020	AMIN000732	ASTEI20_044090, ASTEI20_042722
OG0000020	AMIN009924	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843
OG0000020	AMIN008393	ASTEI20_038201
OG0000021	AMIN015466	ASTEI20_031602
OG0000021	AMIN015467	ASTEI20_042507
OG0000021	AMIN015464	ASTEI20_033844
OG0000021	AMIN015465	ASTEI20_036164
OG0000021	AMIN015484	ASTEI20_044345
OG0000021	AMIN015482	ASTEI20_032692
OG0000022	AMIN001285, AMIN001286, AMIN008873, AMIN003189	ASTEI20_044612, ASTEI20_045722
OG0000023	AMIN008079	ASTEI20_036442
OG0000023	AMIN002713	ASTEI20_033419
OG0000023	AMIN007647	ASTEI20_034207
OG0000023	AMIN007646	ASTEI20_038660
OG0000023	AMIN007806	ASTEI20_035807
OG0000024	AMIN007573	ASTEI20_036317
OG0000024	AMIN007572	ASTEI20_030796
OG0000024	AMIN011339	ASTEI20_042294
OG0000026	AMIN015477	ASTEI20_034431
OG0000026	AMIN015478	ASTEI20_045957
OG0000026	AMIN015474	ASTEI20_037139
OG0000026	AMIN015475	ASTEI20_036805
OG0000026	AMIN015479	ASTEI20_033037
OG0000026	AMIN015731	ASTEI20_038151
OG0000027	AMIN006557	ASTEI20_038580
OG0000027	AMIN006558	ASTEI20_036720
OG0000028	AMIN001236	ASTEI20_031230
OG0000030	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994	ASTEI20_038223
OG0000031	AMIN005862, AMIN007507, AMIN006442, AMIN004950	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598
OG0000032	AMIN001332	ASTEI20_034628, ASTEI20_041396, ASTEI20_045092, ASTEI20_031606, ASTEI20_038431, ASTEI20_041238, ASTEI20_037767
OG0000033	AMIN000381	ASTEI20_045015
OG0000033	AMIN014039	ASTEI20_031788
OG0000034	AMIN015565	ASTEI20_043226
OG0000034	AMIN000196	ASTEI20_042786
OG0000034	AMIN010809	ASTEI20_045819
OG0000034	AMIN015563	ASTEI20_042959
OG0000034	AMIN015564, AMIN015562	ASTEI20_041011
OG0000034	AMIN015508	ASTEI20_037589
OG0000034	AMIN004938	ASTEI20_032776
OG0000034	AMIN010991	ASTEI20_040625
OG0000035	AMIN009877	ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781
OG0000035	AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814	ASTEI20_042171
OG0000035	AMIN010135	ASTEI20_041634
OG0000035	AMIN007574	ASTEI20_035874
OG0000037	AMIN002827	ASTEI20_038052, ASTEI20_032497
OG0000037	AMIN006508, AMIN006509	ASTEI20_031459
OG0000037	AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942	ASTEI20_042647
OG0000037	AMIN003923, AMIN003925, AMIN003924, AMIN000003	ASTEI20_041766, ASTEI20_039477
OG0000037	AMIN004541	ASTEI20_044399
