Orthogroup	AfunestusAfunGA1	AaegyptiLVP_AGWG
OG0000000	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807	AAEL027377, AAEL028099
OG0000000	AFUN2_012339	AAEL023571
OG0000001	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348	AAEL009009
OG0000001	AFUN2_012926	AAEL008994
OG0000001	AFUN2_010913	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990
OG0000001	AFUN2_006480	AAEL025577
OG0000002	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070	AAEL014891
OG0000002	AFUN2_009636	AAEL014893, AAEL014890
OG0000002	AFUN2_009035, AFUN2_002132, AFUN2_005303	AAEL009127
OG0000002	AFUN2_006796	AAEL009128, AAEL017297, AAEL009117, AAEL009125
OG0000002	AFUN2_005756	AAEL010151, AAEL010158
OG0000002	AFUN2_002248	AAEL009137, AAEL009133, AAEL009122
OG0000002	AFUN2_003508	AAEL017539
OG0000004	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657	AAEL015682
OG0000005	AFUN2_007230, AFUN2_004842	AAEL020343, AAEL026864
OG0000005	AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443	AAEL027063
OG0000006	AFUN2_004254	AAEL026752
OG0000008	AFUN2_011626, AFUN2_014353, AFUN2_012060	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	AFUN2_001736	AAEL006795
OG0000008	AFUN2_010492	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	AFUN2_002572	AAEL012499
OG0000009	AFUN2_007461	AAEL022062, AAEL021518, AAEL022584, AAEL020050
OG0000009	AFUN2_011932	AAEL022197
OG0000009	AFUN2_009447	AAEL021347, AAEL021778, AAEL021459
OG0000010	AFUN2_008829	AAEL008218
OG0000010	AFUN2_000320	AAEL008217
OG0000010	AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	AFUN2_000890	AAEL021195
OG0000011	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	AFUN2_005969	AAEL027861
OG0000012	AFUN2_008516	AAEL009284, AAEL009296
