	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	0.0	13500.0	10635.0	11313.0	11352.0	10680.0	10338.0	11391.0	12279.0	10046.0
Aalbopictus_AalbF5	14556.0	0.0	11088.0	12137.0	11690.0	11290.0	10753.0	12116.0	14082.0	10609.0
AdirusWRAIR2	9885.0	9995.0	0.0	10216.0	10527.0	10796.0	9822.0	10266.0	9638.0	8663.0
AfunestusAfunGA1	10403.0	10545.0	10308.0	0.0	11055.0	10424.0	9915.0	11255.0	10144.0	9041.0
AgambiaePEST	10938.0	10909.0	10980.0	11619.0	0.0	11071.0	10656.0	11719.0	10718.0	9408.0
AminimusMINIMUS1	9865.0	9917.0	10732.0	10185.0	10495.0	0.0	9701.0	10318.0	9592.0	8590.0
AsinensisChina	10011.0	10041.0	10158.0	10238.0	10580.0	10150.0	0.0	10361.0	9824.0	8689.0
AstephensiUCISS2018	10764.0	10955.0	10765.0	11688.0	11524.0	10830.0	10328.0	0.0	10552.0	9344.0
CquinquefasciatusJHB2020	12030.0	12657.0	10199.0	10918.0	10826.0	10249.0	9909.0	10895.0	0.0	9411.0
LlongipalpisASM	9233.0	9359.0	8616.0	9089.0	9056.0	8601.0	8325.0	9064.0	9028.0	0.0
