Orthogroup	AminimusMINIMUS1	CquinquefasciatusJHB2020
OG0000001	AMIN007636	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000002	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108	CQUJHB017007
OG0000002	AMIN016111	CQUJHB007871, CQUJHB001163
OG0000002	AMIN006066	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	AMIN006068	CQUJHB008354
OG0000002	AMIN004360	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	AMIN006067	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958
OG0000003	AMIN006496	CQUJHB016570, CQUJHB001475, CQUJHB001577, CQUJHB000234, CQUJHB015512, CQUJHB001017, CQUJHB008833, CQUJHB001275, CQUJHB013591, CQUJHB017073
OG0000004	AMIN006962	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447
OG0000006	AMIN002115	CQUJHB001727
OG0000006	AMIN000978	CQUJHB000743
OG0000007	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959	CQUJHB016780
OG0000008	AMIN005546	CQUJHB014582, CQUJHB016283
OG0000008	AMIN006880, AMIN006881	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038
OG0000008	AMIN006884	CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000009	AMIN015675	CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165
OG0000010	AMIN016052, AMIN016057, AMIN016054, AMIN016053	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000011	AMIN001659	CQUJHB010034, CQUJHB012166
OG0000011	AMIN001662	CQUJHB017782
OG0000011	AMIN009342	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	AMIN000411	CQUJHB005776, CQUJHB000447
OG0000012	AMIN004080	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000013	AMIN003474, AMIN003475, AMIN003476	CQUJHB005557, CQUJHB003968
OG0000013	AMIN003883	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	AMIN009469	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125
OG0000014	AMIN011187, AMIN011445	CQUJHB005028
OG0000015	AMIN010186	CQUJHB014108, CQUJHB006827
