Orthogroup	Aalbopictus_AalbF5	AsinensisChina
OG0000001	LOC109404300	ASIC013765, ASIC013764
OG0000001	LOC109399492	ASIC013762
OG0000001	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138	ASIC013748, ASIC013742, ASIC013743
OG0000001	LOC115270371	ASIC013740
OG0000002	LOC109623203	ASIC003137, ASIC003139, ASIC003135, ASIC003136
OG0000002	LOC115269310, LOC109623208, LOC115269311	ASIC003140
OG0000002	LOC109421559	ASIC004047, ASIC004049, ASIC004048, ASIC010653
OG0000002	LOC109409168	ASIC004044
OG0000002	LOC109398259, LOC109398237	ASIC006840
OG0000002	LOC109421551, LOC109409211, LOC109409210	ASIC006841
OG0000002	LOC109425972	ASIC014765, ASIC014766
OG0000002	LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553	ASIC004039, ASIC004046
OG0000004	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103	ASIC018314
OG0000006	LOC134285105	ASIC000906
OG0000006	LOC134288141, LOC134291130	ASIC015100
OG0000006	LOC134291131	ASIC012877
OG0000008	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	LOC109403786	ASIC017825
OG0000008	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	ASIC017824
OG0000009	LOC115270076, LOC109404534, LOC109431220	ASIC018203
OG0000010	LOC109432023	ASIC007845
OG0000010	LOC115265384, LOC109409744	ASIC007831, ASIC007832
OG0000010	LOC109432002, LOC109431992, LOC115265379, LOC109432055	ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978
OG0000011	LOC109411313	ASIC010781
OG0000011	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	ASIC004939, ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469, ASIC004928
OG0000012	LOC109409461, LOC109409491	ASIC006970
OG0000012	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054	ASIC017981, ASIC018092
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	LOC109409015	ASIC011345
OG0000013	LOC109409017, LOC109429134	ASIC011343, ASIC011344
OG0000014	LOC109621611, LOC109400072, LOC109426996, LOC109419319	ASIC022136
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	ASIC016031, ASIC016164, ASIC016877, ASIC016850, ASIC016176, ASIC016175, ASIC016177, ASIC016174, ASIC016178
OG0000015	LOC109401312	ASIC012465, ASIC012464, ASIC012462, ASIC012461
OG0000016	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871
OG0000016	LOC109411296, LOC109622023	ASIC002621
OG0000018	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637, LOC109621615, LOC109414562, LOC134287442, LOC115256715, LOC115260339	ASIC015096
OG0000020	LOC109406040	ASIC010160
OG0000021	LOC109404004	ASIC006150
OG0000021	LOC115267287	ASIC012218
OG0000021	LOC115253654	ASIC007587
OG0000021	LOC109432057	ASIC006151, ASIC010309
OG0000021	LOC109432714	ASIC015692
OG0000021	LOC109412625	ASIC010311
OG0000021	LOC109401551	ASIC010313
OG0000021	LOC109412623	ASIC010312
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	ASIC013723, ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721
OG0000023	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	ASIC019569, ASIC002406
OG0000024	LOC109408695, LOC109408675	ASIC018921
OG0000024	LOC109403004, LOC109408692	ASIC018920
OG0000024	LOC109408663	ASIC018905
OG0000026	LOC109423856	ASIC016559
OG0000026	LOC115270199	ASIC016561
OG0000026	LOC115269863	ASIC016560
OG0000026	LOC109431713, LOC115267476, LOC115260125	ASIC016118
OG0000026	LOC109622447	ASIC014095
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383
OG0000033	LOC109424827	ASIC021804
OG0000033	LOC134290105, LOC109416028	ASIC009220
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222
OG0000035	LOC109431735, LOC109419479, LOC115269187	ASIC012439
OG0000037	LOC115267800	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	ASIC002581, ASIC000445, ASIC012458, ASIC010050, ASIC010664
OG0000040	LOC109429616, LOC109424203	ASIC015489, ASIC015488, ASIC015490, ASIC007400, ASIC006427, ASIC006438
OG0000041	LOC109426885	ASIC005058
OG0000041	LOC109623326	ASIC005063
OG0000041	LOC109623385	ASIC005062
OG0000041	LOC109623384, LOC109623325	ASIC005064
OG0000041	LOC109426866	ASIC005684, ASIC005059, ASIC005061
OG0000042	LOC109402120	ASIC017752, ASIC017751, ASIC017733, ASIC001192, ASIC017724, ASIC001191
OG0000046	LOC109622330, LOC109621357, LOC109622339	ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	ASIC019015, ASIC019014, ASIC019017, ASIC019018
OG0000049	LOC115257883	ASIC018403, ASIC018371, ASIC018370
OG0000049	LOC115257642	ASIC018401, ASIC018400
OG0000049	LOC115253560	ASIC001190, ASIC017764
OG0000049	LOC109403394	ASIC018404
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	ASIC010146, ASIC010154, ASIC010151, ASIC010148
OG0000052	LOC109418812	ASIC018088
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	ASIC018082
OG0000053	LOC134290123	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705, ASIC020710, ASIC020703
OG0000055	LOC109425568	ASIC000721
OG0000055	LOC109430791	ASIC016078
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509	ASIC014234
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133, ASIC010138
OG0000058	LOC109429556, LOC109429973	ASIC007323
OG0000058	LOC109429562	ASIC007325
OG0000058	LOC109429976	ASIC007324
OG0000059	LOC115263209	ASIC019011, ASIC019000
OG0000059	LOC109397955	ASIC019170
OG0000059	LOC109398113	ASIC016660
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	ASIC010127
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	ASIC010130, ASIC010129
OG0000061	LOC115262216, LOC109407552	ASIC015402
OG0000061	LOC109426588	ASIC016621
OG0000061	LOC109412270, LOC109397255	ASIC008791
OG0000062	LOC115259541, LOC134285567	ASIC004218, ASIC009092, ASIC004219, ASIC004220, ASIC013583, ASIC013564, ASIC015598, ASIC015597
OG0000063	LOC109399308, LOC109399296	ASIC021538
OG0000063	LOC109405725, LOC109413826	ASIC010842
OG0000064	LOC109424200, LOC109424199	ASIC014147
