Orthogroup	LlongipalpisASM	AgambiaePEST
OG0000000	LOC129794284, LOC129791988	AGAP029842
OG0000001	LOC129791522	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867, AGAP002870
OG0000002	LOC129791036	AGAP008212, AGAP008214, AGAP008213, AGAP008209, AGAP008206, AGAP008205, AGAP011028, AGAP011029, AGAP008207
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AGAP012871, AGAP003912, AGAP012560, AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894, AGAP012555
OG0000005	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AGAP028034, AGAP028149, AGAP011193, AGAP005264, AGAP005266, AGAP005265
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AGAP029261, AGAP002950, AGAP012782, AGAP003624, AGAP007639, AGAP000408, AGAP000105, AGAP029348, AGAP029433, AGAP029795, AGAP029344
OG0000007	LOC129792965	AGAP012816, AGAP028684, AGAP012741, AGAP029788, AGAP029778, AGAP028587, AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027, AGAP029273, AGAP012918, AGAP012919, AGAP028671, AGAP029613, AGAP012767, AGAP029743, AGAP012768, AGAP012722, AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742, AGAP028673, AGAP028674, AGAP000164, AGAP028159, AGAP028040, AGAP029454, AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546, AGAP028672, AGAP012719, AGAP011409, AGAP028668, AGAP011403, AGAP011405, AGAP012742, AGAP029787, AGAP028625, AGAP028678, AGAP029296, AGAP012832, AGAP028675, AGAP028676, AGAP028677
OG0000008	LOC129796114, LOC129787731, LOC129786793	AGAP000818
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296, AGAP012291, AGAP012292
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	AGAP011845, AGAP012711, AGAP003911, AGAP012895, AGAP003913
OG0000010	LOC129793217, LOC129791616	AGAP007252, AGAP002432, AGAP007262, AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	LOC129797415	AGAP028042, AGAP013465, AGAP008893, AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676
OG0000012	LOC129789249	AGAP001813
OG0000012	LOC129796964	AGAP007508
OG0000012	LOC129788898	AGAP012573, AGAP005025, AGAP012559, AGAP012709
OG0000012	LOC129789147	AGAP012572
OG0000012	LOC129785913	AGAP003910
OG0000013	LOC129797413	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	LOC129797312	AGAP003378, AGAP003384, AGAP003385, AGAP003379, AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380
OG0000014	LOC129792111	AGAP009728, AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	AGAP005645, AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499
OG0000016	LOC129794929, LOC129788356	AGAP008861
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290, AGAP009966
OG0000017	LOC129788896	AGAP012558
OG0000017	LOC129785930, LOC129789495	AGAP012574
OG0000018	LOC129786868	AGAP012484, AGAP028579, AGAP013250, AGAP029431
OG0000021	LOC129797244	AGAP005095
OG0000021	LOC129788422	AGAP000651
OG0000021	LOC129795630, LOC129795629	AGAP011516, AGAP001676, AGAP011515
OG0000023	LOC129786633	AGAP006253, AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176, AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	AGAP012569, AGAP005636, AGAP005638, AGAP005637, AGAP006226, AGAP006224, AGAP006225, AGAP006221, AGAP006220
OG0000026	LOC129792737, LOC129792738	AGAP004981, AGAP012617, AGAP012616, AGAP004976, AGAP004980, AGAP004975, AGAP004977, AGAP004978, AGAP006258
OG0000026	LOC129794486, LOC129789610	AGAP002825
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	AGAP029283, AGAP010363, AGAP010364
OG0000030	LOC129790527	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815
OG0000033	LOC129794355, LOC129787784	AGAP004148, AGAP003252, AGAP003251, AGAP003246, AGAP003250, AGAP003249, AGAP013487, AGAP003245, AGAP003247, AGAP003248
OG0000034	LOC129791586	AGAP005485, AGAP005482, AGAP003594, AGAP005473, AGAP005479, AGAP005481, AGAP005480, AGAP005483, AGAP005484, AGAP004575, AGAP005938
OG0000037	LOC129794681, LOC129790942	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	AGAP029305, AGAP029267, AGAP028600, AGAP029755, AGAP029753, AGAP001764, AGAP029756
OG0000046	LOC129797654	AGAP003627, AGAP012946, AGAP013221
OG0000049	LOC129794518	AGAP011788, AGAP011787, AGAP011783, AGAP011781, AGAP029335, AGAP029286, AGAP011785, AGAP011786, AGAP011792, AGAP011794, AGAP011793, AGAP011789
OG0000051	LOC129786156	AGAP010109, AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	LOC129794482	AGAP011918
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	AGAP011920
OG0000055	LOC129797106	AGAP002076
OG0000055	LOC129792602	AGAP004944
OG0000055	LOC129793457, LOC129787314	AGAP004583, AGAP004581
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	AGAP028729, AGAP009471, AGAP009472
OG0000058	LOC129790199	AGAP009467, AGAP009468, AGAP008945
OG0000059	LOC129794147	AGAP005194, AGAP012778, AGAP005196, AGAP005195, AGAP006707, AGAP006709, AGAP006710, AGAP006711, AGAP007142, AGAP007141
OG0000061	LOC129795031	AGAP012230
OG0000061	LOC129795029, LOC129795028	AGAP006371
OG0000061	LOC129795034	AGAP002318, AGAP002317
OG0000064	LOC129790088, LOC129790085	AGAP002134
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	AGAP011939, AGAP012400, AGAP012399
OG0000067	LOC129796552	AGAP002102, AGAP012401
OG0000068	LOC129794030	AGAP005999, AGAP005998
OG0000068	LOC129794029, LOC129794026, LOC129794027	AGAP005996, AGAP006001
OG0000069	LOC129797773, LOC129786174, LOC129792812	AGAP002851, AGAP007197, AGAP007415, AGAP002849, AGAP002850, AGAP002804
OG0000071	LOC129797006	AGAP013490, AGAP000088, AGAP001861, AGAP028019, AGAP008358, AGAP008356
OG0000072	LOC129787850, LOC129787849	AGAP010971
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	AGAP007754, AGAP007753, AGAP007752, AGAP013770
OG0000077	LOC129789368, LOC129791094	AGAP006422, AGAP006424
OG0000077	LOC129793367	AGAP006425, AGAP006423, AGAP006426
OG0000078	LOC129795036	AGAP029351, AGAP028565
OG0000079	LOC129796831	AGAP001162, AGAP012985, AGAP012982, AGAP013149, AGAP001161
OG0000080	LOC129790108	AGAP006380, AGAP006379, AGAP007504, AGAP012155, AGAP012156
OG0000086	LOC129787729, LOC129787734	AGAP004809, AGAP013155, AGAP001881, AGAP012984, AGAP013150
OG0000088	LOC129795927, LOC129794489, LOC129796007	AGAP011575, AGAP011507, AGAP011509
OG0000090	LOC129787919, LOC129787933	AGAP007347, AGAP007343
OG0000090	LOC129793252	AGAP007385, AGAP007386
OG0000090	LOC129787938, LOC129787928	AGAP007346, AGAP007345, AGAP007344
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	AGAP003343, AGAP013511
OG0000093	LOC129786127	AGAP028431, AGAP011339, AGAP005077, AGAP005104, AGAP029262, AGAP029447, AGAP005308, AGAP029345
OG0000096	LOC129794915	AGAP010929
OG0000096	LOC129794914	AGAP008622, AGAP005293, AGAP010510
OG0000097	LOC129797700, LOC129797734	AGAP013318, AGAP013451, AGAP002592, AGAP002593, AGAP029385, AGAP013229
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	AGAP006187
OG0000109	LOC129796958	AGAP006427
OG0000109	LOC129787301	AGAP029457
OG0000109	LOC129787299, LOC129787302	AGAP004603
OG0000114	LOC129791409	AGAP028151, AGAP028057, AGAP008458, AGAP008459
