Orthogroup	AaegyptiLVP_AGWG	CquinquefasciatusJHB2020
OG0000000	AAEL027377	CQUJHB014876, CQUJHB006110
OG0000000	AAEL028099	CQUJHB007707
OG0000000	AAEL023571	CQUJHB000765, CQUJHB012120, CQUJHB007641, CQUJHB010283, CQUJHB009412, CQUJHB014846, CQUJHB012837, CQUJHB001173, CQUJHB006705, CQUJHB015543, CQUJHB017213, CQUJHB017363, CQUJHB007171, CQUJHB010481, CQUJHB004515, CQUJHB009739, CQUJHB012441, CQUJHB000255, CQUJHB015940, CQUJHB007839, CQUJHB015977, CQUJHB009580, CQUJHB007198, CQUJHB010208, CQUJHB004060
OG0000001	AAEL009009	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000001	AAEL008969	CQUJHB015924, CQUJHB001661
OG0000001	AAEL015424	CQUJHB010167, CQUJHB001086
OG0000001	AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993	CQUJHB018360, CQUJHB009369
OG0000001	AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971	CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242
OG0000001	AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984	CQUJHB005142
OG0000001	AAEL000665	CQUJHB015301
OG0000001	AAEL015503	CQUJHB001923
OG0000001	AAEL008990	CQUJHB017126
OG0000001	AAEL025577	CQUJHB011703
OG0000002	AAEL014891	CQUJHB017007
OG0000002	AAEL014893	CQUJHB007871
OG0000002	AAEL014890	CQUJHB001163
OG0000002	AAEL009127	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	AAEL009128	CQUJHB002682
OG0000002	AAEL010151, AAEL010158	CQUJHB008354
OG0000002	AAEL017539	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	AAEL017556, AAEL009138	CQUJHB016230, CQUJHB010731
OG0000002	AAEL009121	CQUJHB000319
OG0000002	AAEL009124, AAEL009126	CQUJHB014958
OG0000004	AAEL015682	CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412
OG0000004	AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426	CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992
OG0000005	AAEL023870	CQUJHB015326, CQUJHB016505
OG0000005	AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631	CQUJHB001878, CQUJHB005849, CQUJHB005832
OG0000006	AAEL019665	CQUJHB001727
OG0000006	AAEL026752	CQUJHB000743
OG0000008	AAEL014617, AAEL014613	CQUJHB001648
OG0000008	AAEL014615	CQUJHB013802
OG0000008	AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366	CQUJHB008227, CQUJHB003756
OG0000008	AAEL002638, AAEL002633	CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915
OG0000008	AAEL014619, AAEL019603	CQUJHB018038
OG0000008	AAEL006795	CQUJHB017383
OG0000008	AAEL014605, AAEL014614	CQUJHB016685, CQUJHB005146
OG0000008	AAEL006815, AAEL006784	CQUJHB012207
OG0000008	AAEL014618	CQUJHB014535, CQUJHB007135
