Orthogroup	AgambiaePEST	CquinquefasciatusJHB2020
OG0000000	AGAP029842	CQUJHB014876, CQUJHB006110, CQUJHB012282, CQUJHB013622, CQUJHB016039, CQUJHB007707, CQUJHB002677, CQUJHB018190, CQUJHB013695
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000001	AGAP006858, AGAP006859	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126
OG0000001	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851	CQUJHB010237, CQUJHB007643
OG0000001	AGAP006864, AGAP006597	CQUJHB011703
OG0000002	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867	CQUJHB017007
OG0000002	AGAP002870	CQUJHB007871, CQUJHB001163
OG0000002	AGAP008212, AGAP008214, AGAP008213	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	AGAP008209	CQUJHB002682
OG0000002	AGAP008206	CQUJHB008354
OG0000002	AGAP011028, AGAP011029	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	AGAP008207	CQUJHB003944
OG0000004	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447
OG0000006	AGAP002950	CQUJHB000743
OG0000007	AGAP012816, AGAP028684, AGAP012741, AGAP029788, AGAP029778, AGAP028587, AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027, AGAP029273, AGAP012918, AGAP012919, AGAP028671, AGAP029613, AGAP012767, AGAP029743, AGAP012768, AGAP012722, AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742, AGAP028673, AGAP028674, AGAP000164, AGAP028159, AGAP028040, AGAP029454, AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546, AGAP028672, AGAP012719, AGAP011409, AGAP028668, AGAP011403, AGAP011405, AGAP012742, AGAP029787, AGAP028625, AGAP028678, AGAP029296, AGAP012832, AGAP028675, AGAP028676, AGAP028677	CQUJHB016780
OG0000008	AGAP000818	CQUJHB014582, CQUJHB016283
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038
OG0000008	AGAP012291	CQUJHB017383
OG0000008	AGAP012292	CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000009	AGAP003913	CQUJHB010981
OG0000010	AGAP007252	CQUJHB010392
OG0000010	AGAP002432, AGAP007262	CQUJHB008428, CQUJHB007624
OG0000010	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000011	AGAP028042	CQUJHB010034, CQUJHB012166
OG0000011	AGAP008893	CQUJHB017782
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	AGAP007508	CQUJHB005776, CQUJHB000447
OG0000012	AGAP012559	CQUJHB015331
OG0000012	AGAP012709	CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000012	AGAP012197	CQUJHB006849
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	CQUJHB005557, CQUJHB003968
OG0000013	AGAP003378	CQUJHB001230
OG0000013	AGAP003384	CQUJHB017291
OG0000013	AGAP003385, AGAP003379	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	AGAP009728	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125
OG0000014	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916	CQUJHB005028
OG0000015	AGAP005645	CQUJHB014108, CQUJHB006827
OG0000015	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499	CQUJHB017458
