Orthogroup	CquinquefasciatusJHB2020	AaegyptiLVP_AGWG
OG0000000	CQUJHB014876, CQUJHB006110	AAEL027377
OG0000000	CQUJHB007707	AAEL028099
OG0000000	CQUJHB000765, CQUJHB012120, CQUJHB007641, CQUJHB010283, CQUJHB009412, CQUJHB014846, CQUJHB012837, CQUJHB001173, CQUJHB006705, CQUJHB015543, CQUJHB017213, CQUJHB017363, CQUJHB007171, CQUJHB010481, CQUJHB004515, CQUJHB009739, CQUJHB012441, CQUJHB000255, CQUJHB015940, CQUJHB007839, CQUJHB015977, CQUJHB009580, CQUJHB007198, CQUJHB010208, CQUJHB004060	AAEL023571
OG0000001	CQUJHB008010, CQUJHB014772, CQUJHB013280	AAEL009009
OG0000001	CQUJHB015924, CQUJHB001661	AAEL008969
OG0000001	CQUJHB010167, CQUJHB001086	AAEL015424
OG0000001	CQUJHB018360, CQUJHB009369	AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993
OG0000001	CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242	AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971
OG0000001	CQUJHB005142	AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984
OG0000001	CQUJHB015301	AAEL000665
OG0000001	CQUJHB001923	AAEL015503
OG0000001	CQUJHB017126	AAEL008990
OG0000001	CQUJHB011703	AAEL025577
OG0000002	CQUJHB017007	AAEL014891
OG0000002	CQUJHB007871	AAEL014893
OG0000002	CQUJHB001163	AAEL014890
OG0000002	CQUJHB009563, CQUJHB004450, CQUJHB000426	AAEL009127
OG0000002	CQUJHB002682	AAEL009128
OG0000002	CQUJHB008354	AAEL010151, AAEL010158
