Orthogroup	AsinensisChina	AminimusMINIMUS1
OG0000001	ASIC013765, ASIC013764	AMIN007636
OG0000001	ASIC013762	AMIN007637
OG0000002	ASIC003137	AMIN016107
OG0000002	ASIC003139	AMIN016112
OG0000002	ASIC003135	AMIN016106
OG0000002	ASIC003136	AMIN016110, AMIN016108
OG0000002	ASIC003140	AMIN016111
OG0000002	ASIC004047	AMIN006066
OG0000002	ASIC006840	AMIN006068
OG0000002	ASIC014765, ASIC014766	AMIN004360
OG0000002	ASIC004039, ASIC004046	AMIN006067
OG0000004	ASIC018314	AMIN006962
OG0000006	ASIC000906	AMIN006479
OG0000006	ASIC012877	AMIN000978
OG0000006	ASIC022014	AMIN009886
OG0000008	ASIC020436	AMIN005546
OG0000008	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	AMIN006880, AMIN006881
OG0000008	ASIC017825, ASIC017824	AMIN006884
OG0000009	ASIC018203	AMIN015675
OG0000010	ASIC007846, ASIC015160	AMIN016052
OG0000010	ASIC015159	AMIN016057
OG0000010	ASIC015158, ASIC015157	AMIN016054
OG0000010	ASIC015156	AMIN016053
OG0000011	ASIC010773	AMIN001659
OG0000011	ASIC010781	AMIN001662
OG0000011	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	AMIN009342
OG0000012	ASIC006970	AMIN000411
OG0000012	ASIC017981, ASIC018092	AMIN004080
OG0000013	ASIC015707	AMIN003474, AMIN003475
OG0000013	ASIC015704, ASIC015706, ASIC015705, ASIC015708	AMIN003476
OG0000013	ASIC011343	AMIN003883
OG0000014	ASIC022136	AMIN009469
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850	AMIN011187
OG0000014	ASIC016174, ASIC016178	AMIN011445
OG0000015	ASIC018932, ASIC018930, ASIC018931	AMIN010186
OG0000015	ASIC012464, ASIC012462	AMIN015543, AMIN015541
OG0000015	ASIC012461	AMIN010826
OG0000016	ASIC002621	AMIN006761
OG0000018	ASIC015096	AMIN004545, AMIN006661, AMIN009874, AMIN006478
OG0000020	ASIC010160	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393
OG0000021	ASIC006150	AMIN015466
OG0000021	ASIC012218	AMIN015467
OG0000021	ASIC007587	AMIN015464
OG0000021	ASIC006151	AMIN015465
OG0000021	ASIC010311	AMIN015484
OG0000021	ASIC010313	AMIN015482, AMIN015483
OG0000023	ASIC003003	AMIN008079
OG0000023	ASIC013723	AMIN002713, AMIN003921, AMIN002716, AMIN002718
OG0000023	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	AMIN007647, AMIN007646
OG0000023	ASIC019569, ASIC002406	AMIN007806
OG0000024	ASIC018921	AMIN007573
OG0000024	ASIC018920	AMIN007572
OG0000024	ASIC018905	AMIN011339
OG0000026	ASIC016558	AMIN015477
OG0000026	ASIC016557	AMIN015478
OG0000026	ASIC016559	AMIN015473, AMIN015476
OG0000026	ASIC016561	AMIN015474
OG0000026	ASIC016560	AMIN015475
OG0000026	ASIC016118	AMIN015479
OG0000026	ASIC014095	AMIN015731
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709	AMIN006996, AMIN006995
OG0000030	ASIC004705, ASIC004703, ASIC004701, ASIC003400	AMIN006765
OG0000030	ASIC003381	AMIN007001
OG0000030	ASIC003417, ASIC003383	AMIN006994
OG0000033	ASIC021804	AMIN015509
OG0000033	ASIC009220	AMIN000381
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221	AMIN014039
OG0000034	ASIC012442	AMIN015564
OG0000034	ASIC012440	AMIN015562
OG0000034	ASIC012445, ASIC012446	AMIN015508
OG0000034	ASIC021981	AMIN004938
OG0000035	ASIC012439	AMIN009877
OG0000037	ASIC013351, ASIC013352, ASIC013353	AMIN002827
OG0000037	ASIC022219	AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942
OG0000037	ASIC014023	AMIN004541, AMIN004540, AMIN004539
OG0000039	ASIC002581	AMIN015958
OG0000039	ASIC000445	AMIN015957
OG0000039	ASIC012458	AMIN010824
