Orthogroup	AsinensisChina	AfunestusAfunGA1
OG0000001	ASIC013765, ASIC013764	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348
OG0000001	ASIC013762	AFUN2_012926
OG0000001	ASIC013748, ASIC013742, ASIC013743	AFUN2_010913
OG0000001	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905
OG0000001	ASIC013744	AFUN2_009709
OG0000001	ASIC013740	AFUN2_006480
OG0000002	ASIC003137	AFUN2_014359
OG0000002	ASIC003139	AFUN2_014054
OG0000002	ASIC003135	AFUN2_008570
OG0000002	ASIC003136	AFUN2_013390, AFUN2_014070
OG0000002	ASIC003140	AFUN2_009636
OG0000002	ASIC004047	AFUN2_009035
OG0000002	ASIC004049	AFUN2_002132
OG0000002	ASIC004048	AFUN2_005303
OG0000002	ASIC004044	AFUN2_006796
OG0000002	ASIC006840	AFUN2_005756
OG0000002	ASIC006841	AFUN2_002248
OG0000002	ASIC014765, ASIC014766	AFUN2_003508
OG0000004	ASIC018314	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657
OG0000006	ASIC000906	AFUN2_007708, AFUN2_009331
OG0000006	ASIC015100	AFUN2_001908, AFUN2_009118, AFUN2_013138
OG0000006	ASIC012877, ASIC006098	AFUN2_004254
OG0000006	ASIC022014	AFUN2_010056
OG0000008	ASIC020436	AFUN2_005813
OG0000008	ASIC017821, ASIC017823, ASIC017822	AFUN2_011626
OG0000008	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	AFUN2_014353, AFUN2_012060
OG0000008	ASIC017825	AFUN2_001736
OG0000008	ASIC017824	AFUN2_010492
OG0000009	ASIC018203	AFUN2_007461
OG0000010	ASIC007845	AFUN2_008829
OG0000010	ASIC007831, ASIC007832	AFUN2_000320
OG0000010	ASIC007846, ASIC015160	AFUN2_014109
OG0000010	ASIC015159	AFUN2_009560
OG0000010	ASIC015156	AFUN2_009244
OG0000010	ASIC012971, ASIC012972, ASIC012980, ASIC012979	AFUN2_008846
OG0000010	ASIC012975, ASIC012976, ASIC012973, ASIC012978	AFUN2_008281
OG0000011	ASIC010773	AFUN2_011181
OG0000011	ASIC010781	AFUN2_000890
OG0000011	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821
OG0000011	ASIC004928	AFUN2_002952
OG0000012	ASIC006970	AFUN2_008516
OG0000012	ASIC017981, ASIC018092	AFUN2_006798, AFUN2_008107
OG0000013	ASIC015707	AFUN2_008231
OG0000013	ASIC015704, ASIC015706, ASIC015705, ASIC015708	AFUN2_000667
OG0000013	ASIC011345	AFUN2_011275
OG0000013	ASIC011343, ASIC011344	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000014	ASIC022136	AFUN2_006975
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850	AFUN2_010356
OG0000014	ASIC016176, ASIC016175, ASIC016177	AFUN2_013192, AFUN2_003737
OG0000014	ASIC016174, ASIC016178	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	ASIC018932, ASIC018930, ASIC018931	AFUN2_012161
OG0000015	ASIC012464, ASIC012462	AFUN2_004072, AFUN2_012163
OG0000015	ASIC012461	AFUN2_004396
OG0000016	ASIC010724	AFUN2_008470
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263
OG0000016	ASIC010595, ASIC010598	AFUN2_014351
OG0000016	ASIC003871	AFUN2_010177
OG0000016	ASIC002621	AFUN2_004982
OG0000018	ASIC015096	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911, AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851
OG0000020	ASIC010160	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	ASIC006150	AFUN2_013453
OG0000021	ASIC012218	AFUN2_010217
OG0000021	ASIC007587	AFUN2_001683
OG0000021	ASIC006151	AFUN2_001836
OG0000021	ASIC015692	AFUN2_002771
OG0000021	ASIC010311	AFUN2_007302
OG0000021	ASIC010313	AFUN2_014571
OG0000021	ASIC010312	AFUN2_010167
OG0000023	ASIC003003	AFUN2_002757
OG0000023	ASIC013723	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616
OG0000024	ASIC018921	AFUN2_008754
OG0000024	ASIC018920	AFUN2_004514
OG0000024	ASIC018905	AFUN2_001856
OG0000026	ASIC016558	AFUN2_007391
OG0000026	ASIC016560	AFUN2_003253, AFUN2_004905
OG0000026	ASIC016118	AFUN2_006722
OG0000026	ASIC014095	AFUN2_005978
OG0000030	ASIC003381	AFUN2_012733
OG0000033	ASIC009220	AFUN2_014039
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221	AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104
OG0000034	ASIC012442, ASIC012440	AFUN2_005553
OG0000034	ASIC012445, ASIC012446	AFUN2_004371
OG0000034	ASIC021981	AFUN2_010024
OG0000037	ASIC013351, ASIC013352, ASIC013353	AFUN2_013181
OG0000039	ASIC002581	AFUN2_009923
OG0000039	ASIC000445	AFUN2_010939
OG0000039	ASIC012458	AFUN2_002356
OG0000039	ASIC010050	AFUN2_001872
OG0000039	ASIC010664	AFUN2_008523, AFUN2_002845
OG0000040	ASIC015489	AFUN2_012970
OG0000040	ASIC015488	AFUN2_011961
OG0000040	ASIC015490	AFUN2_013533
OG0000040	ASIC006427, ASIC006438	AFUN2_004686
OG0000041	ASIC005058	AFUN2_000732
OG0000041	ASIC005063	AFUN2_014438
OG0000041	ASIC005062	AFUN2_001049
OG0000041	ASIC005064	AFUN2_010115
OG0000041	ASIC005684	AFUN2_014544
OG0000042	ASIC017752, ASIC017751	AFUN2_004081
OG0000042	ASIC017733, ASIC001192, ASIC017724, ASIC001191	AFUN2_014693
OG0000042	ASIC015360	AFUN2_009173, AFUN2_004521
OG0000043	ASIC017851, ASIC017852	AFUN2_001254, AFUN2_009245, AFUN2_013789, AFUN2_000632, AFUN2_002010, AFUN2_009895, AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359, AFUN2_005903, AFUN2_014695, AFUN2_008709, AFUN2_002764, AFUN2_009048, AFUN2_005543, AFUN2_009900, AFUN2_010698
OG0000046	ASIC009812	AFUN2_006305
OG0000046	ASIC009813, ASIC009814	AFUN2_013805
OG0000048	ASIC019015, ASIC019014	AFUN2_007180
OG0000048	ASIC019017, ASIC019018	AFUN2_001025
OG0000049	ASIC018403, ASIC018371, ASIC018370	AFUN2_008624
OG0000049	ASIC018401, ASIC018400	AFUN2_012748
OG0000049	ASIC017764	AFUN2_002192, AFUN2_013459
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	ASIC018082	AFUN2_013880
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705	AFUN2_014363, AFUN2_010396, AFUN2_010923
OG0000053	ASIC020710	AFUN2_007355
OG0000053	ASIC020703	AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	ASIC000721	AFUN2_003795
OG0000055	ASIC016078	AFUN2_007989
OG0000055	ASIC014234	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	ASIC010134, ASIC010137	AFUN2_008318, AFUN2_006014
OG0000057	ASIC010138	AFUN2_000600
OG0000058	ASIC007323	AFUN2_008788
OG0000058	ASIC007325	AFUN2_002438
OG0000058	ASIC007324	AFUN2_002842
OG0000058	ASIC002529	AFUN2_001688
OG0000059	ASIC019011, ASIC019000	AFUN2_006267
OG0000059	ASIC019170	AFUN2_010578, AFUN2_006502, AFUN2_012387
OG0000059	ASIC016660	AFUN2_014242, AFUN2_009466
OG0000060	ASIC010127	AFUN2_014460
OG0000060	ASIC010130, ASIC010129	AFUN2_011607
OG0000060	ASIC010128	AFUN2_000444
OG0000060	ASIC010131	AFUN2_013952
OG0000061	ASIC015402	AFUN2_000988
OG0000061	ASIC016621	AFUN2_001934
OG0000061	ASIC008790, ASIC008789	AFUN2_011828
OG0000061	ASIC008791	AFUN2_001889
OG0000062	ASIC004218	AFUN2_010062, AFUN2_011070
OG0000062	ASIC009092	AFUN2_009059
OG0000062	ASIC004220	AFUN2_003714
OG0000062	ASIC013583, ASIC013564, ASIC015598, ASIC015597	AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711
OG0000063	ASIC021538	AFUN2_005096
OG0000063	ASIC010842	AFUN2_009682
OG0000064	ASIC002653	AFUN2_002334
OG0000064	ASIC002651	AFUN2_013676
OG0000064	ASIC001146	AFUN2_011232
OG0000064	ASIC002656	AFUN2_012759
OG0000064	ASIC002652	AFUN2_002312
OG0000067	ASIC018220	AFUN2_012011
OG0000067	ASIC018219	AFUN2_003045
OG0000068	ASIC011681	AFUN2_012196
OG0000068	ASIC011682	AFUN2_006617
OG0000068	ASIC011687	AFUN2_013302
OG0000068	ASIC011679	AFUN2_009586
OG0000069	ASIC005652	AFUN2_014241
OG0000069	ASIC002404	AFUN2_004523
OG0000069	ASIC005650	AFUN2_006118
OG0000069	ASIC005651	AFUN2_010311
OG0000069	ASIC000407	AFUN2_012252
OG0000071	ASIC008283	AFUN2_014078
OG0000071	ASIC013586	AFUN2_008604, AFUN2_008424, AFUN2_006008
OG0000072	ASIC019961	AFUN2_010362
OG0000072	ASIC012496	AFUN2_008401
OG0000073	ASIC014115	AFUN2_012208
OG0000074	ASIC016739, ASIC016738	AFUN2_001362
OG0000074	ASIC016740	AFUN2_008795
OG0000074	ASIC016736	AFUN2_001014
OG0000074	ASIC016735	AFUN2_003460, AFUN2_012551
OG0000074	ASIC002864	AFUN2_006428
OG0000075	ASIC021154, ASIC021157	AFUN2_009178, AFUN2_014263
OG0000075	ASIC021159	AFUN2_005741, AFUN2_007975
OG0000076	ASIC018187	AFUN2_000390, AFUN2_002799, AFUN2_012586
OG0000077	ASIC002587	AFUN2_001755
OG0000077	ASIC002588, ASIC002586	AFUN2_000688, AFUN2_006649
OG0000078	ASIC022286	AFUN2_000476
OG0000079	ASIC011457	AFUN2_004202
OG0000079	ASIC011456, ASIC011455	AFUN2_012158, AFUN2_003268, AFUN2_001951
OG0000079	ASIC011459	AFUN2_003859
OG0000080	ASIC016601	AFUN2_011331
OG0000080	ASIC016602	AFUN2_001435
OG0000080	ASIC019812	AFUN2_013190
OG0000080	ASIC019334	AFUN2_009609
OG0000080	ASIC019335	AFUN2_005626
OG0000081	ASIC007880	AFUN2_011577
OG0000081	ASIC007878, ASIC007850, ASIC007872	AFUN2_004811
OG0000081	ASIC007881	AFUN2_012341
OG0000082	ASIC012727, ASIC012728, ASIC012714	AFUN2_012054
OG0000085	ASIC009268	AFUN2_010241
OG0000085	ASIC004322	AFUN2_007525
OG0000085	ASIC009271, ASIC009270, ASIC009269	AFUN2_013450
OG0000085	ASIC009272	AFUN2_004039
OG0000086	ASIC009153	AFUN2_011858
OG0000086	ASIC008317	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000088	ASIC008371, ASIC008372	AFUN2_006389
OG0000088	ASIC008376	AFUN2_012429
OG0000089	ASIC019476	AFUN2_006698
OG0000089	ASIC019432	AFUN2_004303
OG0000089	ASIC019443	AFUN2_011302
OG0000089	ASIC019421	AFUN2_007001
OG0000089	ASIC019454	AFUN2_005638, AFUN2_010754, AFUN2_005237
OG0000089	ASIC019465	AFUN2_004286
OG0000090	ASIC019694	AFUN2_011067
OG0000090	ASIC019695	AFUN2_004646
OG0000091	ASIC002279	AFUN2_004400
OG0000093	ASIC022154, ASIC014826	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981
OG0000093	ASIC001437	AFUN2_005338
OG0000096	ASIC015638	AFUN2_007046
OG0000096	ASIC010647, ASIC010609	AFUN2_000740
OG0000096	ASIC010449	AFUN2_004816
OG0000096	ASIC015635	AFUN2_002084
OG0000097	ASIC021951	AFUN2_004895
OG0000097	ASIC021949	AFUN2_005456
OG0000101	ASIC004494	AFUN2_010533
OG0000103	ASIC008406	AFUN2_002101
OG0000103	ASIC014017	AFUN2_007321, AFUN2_005247, AFUN2_010691, AFUN2_005907, AFUN2_010388, AFUN2_001634, AFUN2_005493
OG0000104	ASIC017885, ASIC009066	AFUN2_011196
OG0000104	ASIC009065	AFUN2_006302
OG0000105	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503	AFUN2_006891, AFUN2_009384
OG0000107	ASIC005645	AFUN2_001412
OG0000107	ASIC005655	AFUN2_012650
OG0000108	ASIC013421, ASIC013593	AFUN2_013458
OG0000109	ASIC002584	AFUN2_009795
OG0000109	ASIC014258	AFUN2_004467
OG0000109	ASIC014256	AFUN2_002263
OG0000111	ASIC012092	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833
OG0000111	ASIC012080, ASIC006082	AFUN2_007611
OG0000114	ASIC012081	AFUN2_001369, AFUN2_010132, AFUN2_006701, AFUN2_007376
OG0000115	ASIC017431	AFUN2_007755
OG0000115	ASIC017432	AFUN2_008885
OG0000116	ASIC006403	AFUN2_012892
OG0000116	ASIC006402	AFUN2_001632, AFUN2_011292
OG0000116	ASIC014540	AFUN2_005701
OG0000119	ASIC016830	AFUN2_008133
OG0000119	ASIC016832, ASIC016833	AFUN2_003288
OG0000120	ASIC011544	AFUN2_014360
OG0000120	ASIC011541	AFUN2_014310, AFUN2_007600
OG0000120	ASIC013726	AFUN2_000895
OG0000123	ASIC014656, ASIC014634	AFUN2_003694
OG0000123	ASIC020219, ASIC020215	AFUN2_007557
OG0000123	ASIC000783	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236, AFUN2_007905
OG0000124	ASIC019753	AFUN2_012265
OG0000124	ASIC019769, ASIC019770, ASIC019771	AFUN2_012679, AFUN2_002887, AFUN2_011110
OG0000127	ASIC008877	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	ASIC015309	AFUN2_013941
OG0000128	ASIC015248	AFUN2_007884
OG0000129	ASIC008763	AFUN2_004369
OG0000129	ASIC008762	AFUN2_004902, AFUN2_001390
OG0000130	ASIC008146	AFUN2_011184
OG0000130	ASIC012064	AFUN2_008453
OG0000130	ASIC012065	AFUN2_009668
OG0000131	ASIC012145	AFUN2_005171
OG0000131	ASIC012146	AFUN2_011906
OG0000131	ASIC012148	AFUN2_003726
OG0000131	ASIC012034	AFUN2_006692
OG0000132	ASIC014945	AFUN2_007055
OG0000132	ASIC014943	AFUN2_004597
OG0000132	ASIC014946	AFUN2_005157
OG0000132	ASIC002822	AFUN2_003612
OG0000133	ASIC017840, ASIC017841	AFUN2_010213
OG0000133	ASIC017521	AFUN2_005015
OG0000133	ASIC017520	AFUN2_001924, AFUN2_013209
OG0000134	ASIC019150	AFUN2_012800
OG0000134	ASIC019145	AFUN2_008047
OG0000134	ASIC019147	AFUN2_001568
OG0000135	ASIC007191	AFUN2_011084
OG0000136	ASIC007232	AFUN2_000794
OG0000141	ASIC018449	AFUN2_004272
OG0000141	ASIC018448	AFUN2_006156
OG0000142	ASIC011129	AFUN2_002023
OG0000142	ASIC010497	AFUN2_002866
OG0000142	ASIC004901	AFUN2_007901
OG0000142	ASIC014682	AFUN2_008099
OG0000143	ASIC008424	AFUN2_001347
OG0000143	ASIC008426	AFUN2_004552
OG0000144	ASIC021886	AFUN2_007342
OG0000146	ASIC008229	AFUN2_008600, AFUN2_001333
OG0000147	ASIC002222	AFUN2_001243
OG0000147	ASIC002220	AFUN2_006652
OG0000148	ASIC012007	AFUN2_006078
OG0000149	ASIC018439	AFUN2_007018
OG0000149	ASIC018437	AFUN2_007305
OG0000149	ASIC018438	AFUN2_003087
OG0000150	ASIC011027	AFUN2_013472
OG0000151	ASIC009913, ASIC009914	AFUN2_008586
OG0000152	ASIC004877	AFUN2_004036
OG0000154	ASIC004043, ASIC013097	AFUN2_012942
OG0000154	ASIC013108, ASIC004042, ASIC013051, ASIC004041	AFUN2_007474
OG0000155	ASIC020577, ASIC020578	AFUN2_011178, AFUN2_006679
OG0000157	ASIC010788	AFUN2_002461
OG0000160	ASIC016821	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497, AFUN2_007254
OG0000161	ASIC019631	AFUN2_013883
OG0000162	ASIC018387	AFUN2_001603
OG0000162	ASIC018375	AFUN2_008191
OG0000162	ASIC018379	AFUN2_004390
OG0000163	ASIC007358	AFUN2_009739
OG0000163	ASIC007362	AFUN2_005717
OG0000163	ASIC007363, ASIC007359	AFUN2_004668
OG0000164	ASIC021805	AFUN2_007065
OG0000164	ASIC021916	AFUN2_014641
OG0000164	ASIC021828	AFUN2_008297
OG0000165	ASIC020384	AFUN2_004493
OG0000165	ASIC020380	AFUN2_008088
OG0000165	ASIC020379	AFUN2_007300
OG0000165	ASIC020381	AFUN2_012709
OG0000166	ASIC012924	AFUN2_013647
OG0000166	ASIC012921	AFUN2_001188
OG0000171	ASIC004812, ASIC004811	AFUN2_006837
OG0000171	ASIC004810	AFUN2_013379
OG0000172	ASIC017527	AFUN2_004764
OG0000172	ASIC017517, ASIC017518	AFUN2_014173
OG0000172	ASIC017547	AFUN2_011072
OG0000173	ASIC022306	AFUN2_006638
OG0000173	ASIC022304	AFUN2_006309, AFUN2_013274, AFUN2_004451
OG0000174	ASIC009499	AFUN2_000386
OG0000174	ASIC007084	AFUN2_011578
OG0000181	ASIC019035	AFUN2_012634
OG0000181	ASIC019034	AFUN2_005105, AFUN2_007521
OG0000182	ASIC020912	AFUN2_004625
OG0000182	ASIC020913	AFUN2_001977
OG0000183	ASIC011096	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926
OG0000184	ASIC007210	AFUN2_012600
OG0000184	ASIC007209	AFUN2_009129, AFUN2_006403
OG0000185	ASIC018463, ASIC018459	AFUN2_004964, AFUN2_008198
OG0000187	ASIC003343	AFUN2_008775
OG0000188	ASIC009167, ASIC009163	AFUN2_002434
OG0000189	ASIC020927	AFUN2_010394
OG0000189	ASIC004914	AFUN2_002979
OG0000190	ASIC009037	AFUN2_013220
