Orthogroup	AsinensisChina	CquinquefasciatusJHB2020
OG0000001	ASIC013765, ASIC013764	CQUJHB008010, CQUJHB014772, CQUJHB013280
OG0000001	ASIC013748, ASIC013742, ASIC013743	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126
OG0000001	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761, ASIC013744	CQUJHB010237, CQUJHB007643
OG0000001	ASIC013740	CQUJHB011703
OG0000002	ASIC003137, ASIC003139, ASIC003135, ASIC003136	CQUJHB017007
OG0000002	ASIC003140	CQUJHB007871, CQUJHB001163
OG0000002	ASIC004047, ASIC004049, ASIC004048, ASIC010653	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	ASIC004044	CQUJHB002682
OG0000002	ASIC006840	CQUJHB008354
OG0000002	ASIC014765, ASIC014766	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	ASIC006839	CQUJHB003944
OG0000002	ASIC004039, ASIC004046	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958
OG0000004	ASIC018314	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447
OG0000006	ASIC012877	CQUJHB000743
OG0000008	ASIC020436	CQUJHB014582, CQUJHB016283
OG0000008	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038
OG0000008	ASIC017825	CQUJHB017383
OG0000008	ASIC017824	CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000010	ASIC007845	CQUJHB010392
OG0000010	ASIC007831, ASIC007832	CQUJHB008428, CQUJHB007624
OG0000010	ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000011	ASIC010773	CQUJHB010034, CQUJHB012166
OG0000011	ASIC010781	CQUJHB017782
OG0000011	ASIC004939, ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469, ASIC004928	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	ASIC006970	CQUJHB005776, CQUJHB000447
