Orthogroup	AsinensisChina	Aalbopictus_AalbF5
OG0000001	ASIC013765, ASIC013764	LOC109404300
OG0000001	ASIC013762	LOC109399492
OG0000001	ASIC013748, ASIC013742, ASIC013743	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138
OG0000001	ASIC013740	LOC115270371
OG0000002	ASIC003137, ASIC003139, ASIC003135, ASIC003136	LOC109623203
OG0000002	ASIC003140	LOC115269310, LOC109623208, LOC115269311
OG0000002	ASIC004047, ASIC004049, ASIC004048, ASIC010653	LOC109421559
OG0000002	ASIC004044	LOC109409168
OG0000002	ASIC006840	LOC109398259, LOC109398237
OG0000002	ASIC006841	LOC109421551, LOC109409211, LOC109409210
OG0000002	ASIC014765, ASIC014766	LOC109425972
OG0000002	ASIC004039, ASIC004046	LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553
OG0000004	ASIC018314	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103
OG0000006	ASIC000906	LOC134285105
OG0000006	ASIC015100	LOC134288141, LOC134291130
OG0000006	ASIC012877	LOC134291131
OG0000008	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419
OG0000008	ASIC017825	LOC109403786
OG0000008	ASIC017824	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000009	ASIC018203	LOC115270076, LOC109404534, LOC109431220
OG0000010	ASIC007845	LOC109432023
OG0000010	ASIC007831, ASIC007832	LOC115265384, LOC109409744
OG0000010	ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978	LOC109432002, LOC109431992, LOC115265379, LOC109432055
OG0000011	ASIC010781	LOC109411313
OG0000011	ASIC004939, ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469, ASIC004928	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	ASIC006970	LOC109409461, LOC109409491
OG0000012	ASIC017981, ASIC018092	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054
OG0000013	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044
OG0000013	ASIC011345	LOC109409015
OG0000013	ASIC011343, ASIC011344	LOC109409017, LOC109429134
OG0000014	ASIC022136	LOC109621611, LOC109400072, LOC109426996, LOC109419319
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850, ASIC016176, ASIC016175, ASIC016177, ASIC016174, ASIC016178	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	ASIC012465, ASIC012464, ASIC012462, ASIC012461	LOC109401312
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316
OG0000016	ASIC002621	LOC109411296, LOC109622023
OG0000018	ASIC015096	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637, LOC109621615, LOC109414562, LOC134287442, LOC115256715, LOC115260339
OG0000020	ASIC010160	LOC109406040
OG0000021	ASIC006150	LOC109404004
OG0000021	ASIC012218	LOC115267287
OG0000021	ASIC007587	LOC115253654
OG0000021	ASIC006151, ASIC010309	LOC109432057
OG0000021	ASIC015692	LOC109432714
OG0000021	ASIC010311	LOC109412625
OG0000021	ASIC010313	LOC109401551
OG0000021	ASIC010312	LOC109412623
OG0000023	ASIC013723, ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	LOC109400700, LOC109399437, LOC115266810, LOC115266791
OG0000023	ASIC019569, ASIC002406	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768
OG0000024	ASIC018921	LOC109408695, LOC109408675
OG0000024	ASIC018920	LOC109403004, LOC109408692
OG0000024	ASIC018905	LOC109408663
OG0000026	ASIC016559	LOC109423856
OG0000026	ASIC016561	LOC115270199
OG0000026	ASIC016560	LOC115269863
OG0000026	ASIC016118	LOC109431713, LOC115267476, LOC115260125
OG0000026	ASIC014095	LOC109622447
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023
OG0000033	ASIC021804	LOC109424827
OG0000033	ASIC009220	LOC134290105, LOC109416028
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222	LOC109416027, LOC109414897, LOC109416024, LOC109416023
OG0000035	ASIC012439	LOC109431735, LOC109419479, LOC115269187
OG0000037	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023	LOC115267800
OG0000039	ASIC002581, ASIC000445, ASIC012458, ASIC010050, ASIC010664	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826
OG0000040	ASIC015489, ASIC015488, ASIC015490, ASIC007400, ASIC006427, ASIC006438	LOC109429616, LOC109424203
OG0000041	ASIC005058	LOC109426885
OG0000041	ASIC005063	LOC109623326
OG0000041	ASIC005062	LOC109623385
OG0000041	ASIC005064	LOC109623384, LOC109623325
OG0000041	ASIC005684, ASIC005059, ASIC005061	LOC109426866
OG0000042	ASIC017752, ASIC017751, ASIC017733, ASIC001192, ASIC017724, ASIC001191	LOC109402120
OG0000046	ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814	LOC109622330, LOC109621357, LOC109622339
OG0000048	ASIC019015, ASIC019014, ASIC019017, ASIC019018	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261
OG0000049	ASIC018403, ASIC018371, ASIC018370	LOC115257883
OG0000049	ASIC018401, ASIC018400	LOC115257642
OG0000049	ASIC001190, ASIC017764	LOC115253560
OG0000049	ASIC018404	LOC109403394
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000052	ASIC018088	LOC109418812
OG0000052	ASIC018082	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705, ASIC020710, ASIC020703	LOC134290123
OG0000055	ASIC000721	LOC109425568
OG0000055	ASIC016078	LOC109430791
OG0000055	ASIC014234	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509
OG0000057	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133, ASIC010138	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074
OG0000058	ASIC007323	LOC109429556, LOC109429973
OG0000058	ASIC007325	LOC109429562
OG0000058	ASIC007324	LOC109429976
OG0000059	ASIC019011, ASIC019000	LOC115263209
OG0000059	ASIC019170	LOC109397955
OG0000059	ASIC016660	LOC109398113
OG0000060	ASIC010127	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112
OG0000060	ASIC010130, ASIC010129	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107
OG0000061	ASIC015402	LOC115262216, LOC109407552
OG0000061	ASIC016621	LOC109426588
