Orthogroup	AstephensiUCISS2018	AgambiaePEST
OG0000000	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586, ASTEI20_043863, ASTEI20_036508, ASTEI20_036954, ASTEI20_045336, ASTEI20_039783, ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053	AGAP029842
OG0000001	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845
OG0000001	ASTEI20_045927, ASTEI20_033127	AGAP006847, AGAP006843
OG0000001	ASTEI20_039515	AGAP006860, AGAP006863
OG0000001	ASTEI20_046161	AGAP006858, AGAP006859
OG0000001	ASTEI20_035195	AGAP006856, AGAP006857, AGAP006862
OG0000001	ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698	AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851
OG0000002	ASTEI20_040013	AGAP002868
OG0000002	ASTEI20_036300	AGAP002869
OG0000002	ASTEI20_038121	AGAP002865
OG0000002	ASTEI20_035875	AGAP002866
OG0000002	ASTEI20_036499	AGAP002867
OG0000002	ASTEI20_043191	AGAP002870
OG0000002	ASTEI20_032133, ASTEI20_045226	AGAP008212
OG0000002	ASTEI20_045592, ASTEI20_043030	AGAP008214
OG0000002	ASTEI20_031161, ASTEI20_041459	AGAP008213
OG0000002	ASTEI20_036351, ASTEI20_044520	AGAP008209
OG0000002	ASTEI20_034857, ASTEI20_036438	AGAP008206
OG0000002	ASTEI20_036203	AGAP011028, AGAP011029
OG0000004	ASTEI20_032191	AGAP012710
OG0000004	ASTEI20_042075	AGAP012199
OG0000005	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103	AGAP028034, AGAP028149
OG0000005	ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804	AGAP011193, AGAP005264, AGAP005266, AGAP005265
OG0000006	ASTEI20_037125	AGAP002950
OG0000006	ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782	AGAP000105
OG0000006	ASTEI20_034128	AGAP029795
OG0000006	ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451	AGAP029344
OG0000007	ASTEI20_031643	AGAP012767, AGAP029743, AGAP012768, AGAP012722
OG0000007	ASTEI20_035663	AGAP029745, AGAP029744
OG0000007	ASTEI20_033805	AGAP029741, AGAP029746, AGAP012835, AGAP029742
OG0000007	ASTEI20_036392	AGAP000164
OG0000007	ASTEI20_044422	AGAP028159, AGAP028040
OG0000007	ASTEI20_038493	AGAP029454
OG0000007	ASTEI20_041560	AGAP028667, AGAP028683, AGAP012753, AGAP029786
OG0000007	ASTEI20_045006	AGAP028670
OG0000007	ASTEI20_033378	AGAP011404, AGAP012546
OG0000007	ASTEI20_036188, ASTEI20_034296	AGAP028672
OG0000007	ASTEI20_039161	AGAP028668
OG0000007	ASTEI20_043388	AGAP011403
OG0000007	ASTEI20_040387	AGAP028675, AGAP028676, AGAP028677
OG0000008	ASTEI20_031614	AGAP000818
OG0000008	ASTEI20_045981	AGAP012850, AGAP012295, AGAP012293, AGAP012294
OG0000008	ASTEI20_045188	AGAP012296
OG0000008	ASTEI20_044670	AGAP012291
OG0000008	ASTEI20_031005	AGAP012292
OG0000009	ASTEI20_040741	AGAP011845
OG0000009	ASTEI20_044827	AGAP012711, AGAP003911, AGAP012895, AGAP003913
OG0000010	ASTEI20_038744	AGAP002432, AGAP007262
OG0000010	ASTEI20_038323	AGAP007251
OG0000010	ASTEI20_041896	AGAP006673
OG0000010	ASTEI20_032085	AGAP006674
OG0000010	ASTEI20_034511	AGAP006675
OG0000010	ASTEI20_045103, ASTEI20_045045	AGAP005671, AGAP005670
OG0000010	ASTEI20_037148, ASTEI20_039539	AGAP005669
OG0000010	ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362	AGAP005663, AGAP005665, AGAP005664
OG0000010	ASTEI20_037332	AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	ASTEI20_036542	AGAP028042
OG0000011	ASTEI20_039975	AGAP013465
OG0000011	ASTEI20_040335	AGAP008893
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899	AGAP028137, AGAP028160, AGAP028156, AGAP028178
OG0000011	ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205	AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991
OG0000011	ASTEI20_032335	AGAP028013
OG0000011	ASTEI20_044907	AGAP028067, AGAP012676
OG0000012	ASTEI20_035093	AGAP007508
OG0000012	ASTEI20_044655	AGAP012573, AGAP005025, AGAP012559, AGAP012709
OG0000013	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	ASTEI20_042039	AGAP003378
OG0000013	ASTEI20_033404	AGAP003384
OG0000013	ASTEI20_042237, ASTEI20_043320	AGAP003385, AGAP003379
OG0000013	ASTEI20_034998, ASTEI20_034168	AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380
OG0000014	ASTEI20_035937	AGAP009728
OG0000014	ASTEI20_030803	AGAP005848
OG0000014	ASTEI20_045732, ASTEI20_043799	AGAP028439
OG0000014	ASTEI20_033207	AGAP006743
OG0000014	ASTEI20_037522, ASTEI20_042376	AGAP004917
OG0000014	ASTEI20_038148, ASTEI20_041712	AGAP004918, AGAP004916
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	AGAP005645
OG0000015	ASTEI20_044899	AGAP005503
OG0000015	ASTEI20_031600	AGAP005502
OG0000015	ASTEI20_037282	AGAP005501
OG0000015	ASTEI20_034188	AGAP005499
OG0000016	ASTEI20_044818	AGAP008861
OG0000016	ASTEI20_031052	AGAP008292, AGAP008293
OG0000016	ASTEI20_044106	AGAP008296
OG0000016	ASTEI20_042351	AGAP012842, AGAP008291, AGAP008290
OG0000016	ASTEI20_033956	AGAP009966
OG0000017	ASTEI20_041579	AGAP012558
OG0000017	ASTEI20_039449	AGAP005023, AGAP012885, AGAP012574, AGAP003909, AGAP005026, AGAP012586
OG0000018	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491	AGAP028579
OG0000018	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	AGAP029431
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417	AGAP010707, AGAP010709
OG0000020	ASTEI20_030966, ASTEI20_044090, ASTEI20_042722	AGAP002910, AGAP002912, AGAP002911
OG0000020	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843	AGAP010708
OG0000021	ASTEI20_031602, ASTEI20_042507	AGAP005095
OG0000021	ASTEI20_033844	AGAP000651
OG0000021	ASTEI20_036164	AGAP011514
OG0000021	ASTEI20_042388	AGAP011516
OG0000021	ASTEI20_042454	AGAP001676
OG0000021	ASTEI20_044345	AGAP011515
OG0000023	ASTEI20_036442	AGAP006253
OG0000023	ASTEI20_033419	AGAP002445
OG0000023	ASTEI20_039293, ASTEI20_044320, ASTEI20_035887	AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581
OG0000023	ASTEI20_035807	AGAP029824, AGAP006586, AGAP006584, AGAP029797
