Orthogroup	CquinquefasciatusJHB2020	AminimusMINIMUS1
OG0000001	CQUJHB008010, CQUJHB014772, CQUJHB013280	AMIN007636
OG0000002	CQUJHB017007	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108
OG0000002	CQUJHB007871, CQUJHB001163	AMIN016111
OG0000002	CQUJHB009563, CQUJHB004450, CQUJHB000426	AMIN006066
OG0000002	CQUJHB008354	AMIN006068
OG0000002	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269	AMIN004360
OG0000002	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958	AMIN006067
OG0000003	CQUJHB016570, CQUJHB001475, CQUJHB001577, CQUJHB000234, CQUJHB015512, CQUJHB001017, CQUJHB008833, CQUJHB001275, CQUJHB013591, CQUJHB017073	AMIN006496
OG0000004	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447	AMIN006962
OG0000006	CQUJHB001727	AMIN002115
OG0000006	CQUJHB000743	AMIN000978
OG0000007	CQUJHB016780	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959
OG0000008	CQUJHB014582, CQUJHB016283	AMIN005546
OG0000008	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038	AMIN006880, AMIN006881
OG0000008	CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337	AMIN006884
OG0000009	CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165	AMIN015675
OG0000010	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	AMIN016052, AMIN016057, AMIN016054, AMIN016053
OG0000011	CQUJHB010034, CQUJHB012166	AMIN001659
OG0000011	CQUJHB017782	AMIN001662
OG0000011	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	AMIN009342
OG0000012	CQUJHB005776, CQUJHB000447	AMIN000411
OG0000012	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	AMIN004080
OG0000013	CQUJHB005557, CQUJHB003968	AMIN003474, AMIN003475, AMIN003476
OG0000013	CQUJHB016730, CQUJHB002448, CQUJHB016895	AMIN003883
OG0000014	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125	AMIN009469
OG0000014	CQUJHB005028	AMIN011187, AMIN011445
OG0000015	CQUJHB014108, CQUJHB006827	AMIN010186
OG0000015	CQUJHB017458	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826
OG0000016	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639	AMIN006761
OG0000017	CQUJHB006644	AMIN004079
OG0000017	CQUJHB017511	AMIN011507
