Orthogroup	AminimusMINIMUS1	AfunestusAfunGA1
OG0000001	AMIN007636	AFUN2_002447
OG0000001	AMIN007637	AFUN2_012926
OG0000001	AMIN014601	AFUN2_004608
OG0000002	AMIN016107	AFUN2_014359
OG0000002	AMIN016112	AFUN2_014054
OG0000002	AMIN016106	AFUN2_008570
OG0000002	AMIN016109	AFUN2_013651
OG0000002	AMIN016110, AMIN016108	AFUN2_013390, AFUN2_014070
OG0000002	AMIN016111	AFUN2_009636
OG0000002	AMIN006066	AFUN2_009035
OG0000002	AMIN006068	AFUN2_005756
OG0000002	AMIN004360	AFUN2_003508
OG0000003	AMIN006496	AFUN2_013652, AFUN2_002660, AFUN2_012891, AFUN2_004364, AFUN2_004469, AFUN2_009844
OG0000004	AMIN006962	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887
OG0000005	AMIN005016	AFUN2_007230, AFUN2_004842
OG0000006	AMIN006479	AFUN2_007708, AFUN2_009331
OG0000006	AMIN000978	AFUN2_004254
OG0000006	AMIN009886	AFUN2_010056
OG0000006	AMIN005876	AFUN2_013718, AFUN2_006489
OG0000006	AMIN004546	AFUN2_011427
OG0000006	AMIN005875	AFUN2_014532
OG0000007	AMIN008968	AFUN2_001709
OG0000007	AMIN005434	AFUN2_009778
OG0000007	AMIN008211	AFUN2_001920
OG0000007	AMIN009331, AMIN009333, AMIN009332, AMIN009885	AFUN2_011937
OG0000007	AMIN009330	AFUN2_005862, AFUN2_011780
OG0000007	AMIN008957	AFUN2_007690, AFUN2_003406
OG0000007	AMIN016006	AFUN2_006859
OG0000007	AMIN008959	AFUN2_003170
OG0000008	AMIN005546	AFUN2_005813
OG0000008	AMIN006880, AMIN006881	AFUN2_014353, AFUN2_012060
OG0000008	AMIN006884	AFUN2_001736, AFUN2_010492
OG0000009	AMIN008550	AFUN2_002572
OG0000009	AMIN015675	AFUN2_012897, AFUN2_008888, AFUN2_001196, AFUN2_004806, AFUN2_007216, AFUN2_007461, AFUN2_001821, AFUN2_009063, AFUN2_011932, AFUN2_009447, AFUN2_014561
OG0000010	AMIN016052	AFUN2_014109
OG0000010	AMIN016057	AFUN2_009560
OG0000010	AMIN016053	AFUN2_009244
OG0000011	AMIN001659	AFUN2_011181
OG0000011	AMIN004643	AFUN2_008927
OG0000011	AMIN001662	AFUN2_000890
OG0000011	AMIN009342	AFUN2_006226, AFUN2_002927
OG0000012	AMIN000411	AFUN2_005969, AFUN2_008516
OG0000012	AMIN004080	AFUN2_006798
OG0000013	AMIN003474, AMIN003475	AFUN2_008231
OG0000013	AMIN003476	AFUN2_000667
OG0000013	AMIN003883	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000014	AMIN009469	AFUN2_006975
OG0000014	AMIN011187	AFUN2_010356
OG0000014	AMIN011445	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	AMIN010186	AFUN2_012161
OG0000015	AMIN015544	AFUN2_000980
OG0000015	AMIN015543	AFUN2_004072
OG0000015	AMIN015541	AFUN2_012163
OG0000015	AMIN015542	AFUN2_005101
OG0000015	AMIN010826	AFUN2_004396
OG0000016	AMIN008109	AFUN2_009580
OG0000016	AMIN006761	AFUN2_004982
OG0000017	AMIN004079	AFUN2_008822
OG0000017	AMIN009236	AFUN2_002118
OG0000017	AMIN011507	AFUN2_000914
OG0000018	AMIN006661	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843
OG0000018	AMIN009874	AFUN2_001911
OG0000018	AMIN006478	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851
OG0000019	AMIN009371	AFUN2_003589, AFUN2_002117, AFUN2_003893
OG0000020	AMIN008653, AMIN008654	AFUN2_010799, AFUN2_008522, AFUN2_009055
OG0000020	AMIN000732	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335
OG0000020	AMIN009924	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	AMIN015466	AFUN2_013453
OG0000021	AMIN015467	AFUN2_010217
OG0000021	AMIN015464	AFUN2_001683
OG0000021	AMIN015465	AFUN2_001836
OG0000021	AMIN015484	AFUN2_007302
OG0000021	AMIN015482	AFUN2_014571
OG0000022	AMIN001285	AFUN2_003020
OG0000022	AMIN001286	AFUN2_006596
OG0000023	AMIN008079	AFUN2_002757
