Orthogroup	AgambiaePEST	Aalbopictus_AalbF5
OG0000000	AGAP029842	LOC134290702, LOC134289888, LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052, LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251, LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351, LOC134287243, LOC134288326, LOC134288903, LOC134289839, LOC134284630, LOC134286840
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843	LOC109404300
OG0000001	AGAP006848	LOC109399492
OG0000001	AGAP006858, AGAP006859	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138
OG0000001	AGAP006864, AGAP006597	LOC115270371
OG0000002	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867	LOC109623203
OG0000002	AGAP002870	LOC115269310, LOC109623208, LOC115269311
OG0000002	AGAP008212, AGAP008214, AGAP008213	LOC109421559
OG0000002	AGAP008209	LOC109409168
OG0000002	AGAP008206	LOC109398259, LOC109398237
OG0000002	AGAP008205	LOC109421551, LOC109409211, LOC109409210
OG0000002	AGAP011028, AGAP011029	LOC109425972
OG0000003	AGAP010309	LOC134284661
OG0000004	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103
OG0000006	AGAP002950	LOC134291131
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419
OG0000008	AGAP012291	LOC109403786
OG0000008	AGAP012292	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000009	AGAP003911	LOC115253798
OG0000009	AGAP012895	LOC134284429
OG0000009	AGAP003913	LOC134284416, LOC115254131, LOC115255182
OG0000010	AGAP007252	LOC109432023
OG0000010	AGAP002432, AGAP007262	LOC115265384, LOC109409744
OG0000010	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	LOC109432002, LOC109431992, LOC115265379, LOC109432055
OG0000011	AGAP008893	LOC109411313
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	AGAP001813	LOC109413799
OG0000012	AGAP007508	LOC109409461, LOC109409491
OG0000012	AGAP012559	LOC134292035, LOC134288780
OG0000012	AGAP012709	LOC134284526
OG0000012	AGAP012196	LOC134289521
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044
OG0000013	AGAP003378	LOC109429135
OG0000013	AGAP003384	LOC109409015
OG0000013	AGAP003385, AGAP003379	LOC109409017, LOC109429134
OG0000014	AGAP009728	LOC109621611, LOC109400072, LOC109426996, LOC109419319
OG0000014	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499	LOC109401312
OG0000016	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316
OG0000016	AGAP009966	LOC109411296, LOC109622023
OG0000017	AGAP012558	LOC115255220, LOC115261269, LOC115254888, LOC115270071
OG0000017	AGAP010724	LOC109420140
OG0000017	AGAP012574	LOC109431229, LOC109404554
OG0000017	AGAP005026	LOC109420100
OG0000018	AGAP028579, AGAP013250	LOC115256715
OG0000018	AGAP029431	LOC115260339
OG0000020	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708	LOC109406040
OG0000021	AGAP005095	LOC109404004, LOC115267287
OG0000021	AGAP000651	LOC115253654
OG0000021	AGAP011514	LOC109432057
OG0000021	AGAP001676	LOC109432714
OG0000021	AGAP011515	LOC109412625
OG0000023	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	LOC109400700, LOC109399437, LOC115266810, LOC115266791
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768
OG0000024	AGAP012569, AGAP005636, AGAP005638	LOC109408695, LOC109408675
OG0000024	AGAP005637	LOC109403004, LOC109408692
OG0000024	AGAP006226	LOC109408663
OG0000024	AGAP006224, AGAP006225	LOC134284686, LOC109408662
OG0000024	AGAP006221, AGAP006220	LOC109408659
OG0000025	AGAP013330	LOC134286324, LOC134286331
OG0000026	AGAP004976, AGAP004980	LOC109423856
OG0000026	AGAP004975, AGAP004977	LOC115270199
OG0000026	AGAP004978	LOC115269863
OG0000026	AGAP006258	LOC109431713, LOC115267476, LOC115260125
OG0000026	AGAP002825	LOC109622447
OG0000027	AGAP029283	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555
OG0000027	AGAP010363, AGAP010364	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616
OG0000030	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023
OG0000033	AGAP004148	LOC109424827
OG0000033	AGAP003252	LOC134290105, LOC109416028
OG0000033	AGAP003251	LOC109414923
OG0000033	AGAP003246, AGAP003250, AGAP003249, AGAP013487, AGAP003245, AGAP003247, AGAP003248	LOC109416027, LOC109414897, LOC109416024, LOC109416023
OG0000034	AGAP005938	LOC109623111
OG0000035	AGAP012715, AGAP012588, AGAP012450, AGAP001067, AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475, AGAP006696, AGAP005307	LOC109431735, LOC109419479, LOC115269187
OG0000037	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113	LOC115267800
OG0000039	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826
OG0000040	AGAP006666, AGAP006667	LOC109426099, LOC109429627, LOC109623406, LOC109623405
OG0000040	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397	LOC109429616, LOC109424203
