Orthogroup	AdirusWRAIR2	CquinquefasciatusJHB2020
OG0000000	ADIR014747	CQUJHB016039
OG0000000	ADIR009835	CQUJHB008409, CQUJHB003477, CQUJHB009777
OG0000001	ADIR014366	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126
OG0000001	ADIR014365, ADIR014363	CQUJHB011703
OG0000002	ADIR003458	CQUJHB017007
OG0000002	ADIR016077, ADIR016078, ADIR016076, ADIR016098	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	ADIR016100, ADIR016102	CQUJHB002682
OG0000002	ADIR016074	CQUJHB008354
OG0000002	ADIR002023	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	ADIR016072	CQUJHB003944
OG0000002	ADIR006361	CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958
OG0000003	ADIR014450	CQUJHB009884, CQUJHB004784
OG0000003	ADIR011510	CQUJHB016570, CQUJHB001475, CQUJHB001577, CQUJHB000234, CQUJHB015512, CQUJHB001017, CQUJHB008833, CQUJHB001275, CQUJHB013591, CQUJHB017073
OG0000006	ADIR004457	CQUJHB000743
OG0000007	ADIR014622	CQUJHB002742
OG0000007	ADIR009668, ADIR009667, ADIR009607, ADIR009608, ADIR014842, ADIR000815, ADIR009669, ADIR009588, ADIR009595, ADIR009594, ADIR009596, ADIR015954, ADIR015955, ADIR009593, ADIR009598, ADIR009597	CQUJHB016780
OG0000008	ADIR003918	CQUJHB014582, CQUJHB016283
OG0000008	ADIR000457	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038
OG0000008	ADIR000455	CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000009	ADIR005579	CQUJHB008990
OG0000010	ADIR016002, ADIR016004, ADIR016001, ADIR014645	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000011	ADIR006800	CQUJHB010034, CQUJHB012166
OG0000011	ADIR006803	CQUJHB017782
OG0000011	ADIR000515, ADIR000517	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	ADIR001583	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000012	ADIR015597	CQUJHB017365, CQUJHB001464, CQUJHB015627, CQUJHB008015
OG0000013	ADIR010434, ADIR010435	CQUJHB005557, CQUJHB003968
OG0000013	ADIR003492	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	ADIR005075	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125
OG0000014	ADIR007771, ADIR003639, ADIR001674, ADIR001675	CQUJHB005028
OG0000015	ADIR006886	CQUJHB014108, CQUJHB006827
OG0000015	ADIR014733, ADIR008681, ADIR014730, ADIR008680	CQUJHB017458
OG0000016	ADIR009722	CQUJHB006645, CQUJHB016247
OG0000016	ADIR009355	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000017	ADIR001584	CQUJHB001516
OG0000019	ADIR011725	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035, CQUJHB010353, CQUJHB017625, CQUJHB011151, CQUJHB009551, CQUJHB000379, CQUJHB015659, CQUJHB012970, CQUJHB000572, CQUJHB005444, CQUJHB010983
