Orthogroup	AminimusMINIMUS1	AgambiaePEST
OG0000001	AMIN007636	AGAP006847, AGAP006843
OG0000001	AMIN007637	AGAP006848
OG0000001	AMIN014601	AGAP006860, AGAP006863
OG0000002	AMIN016107	AGAP002868
OG0000002	AMIN016112	AGAP002869
OG0000002	AMIN016106	AGAP002865
OG0000002	AMIN016109	AGAP002866
OG0000002	AMIN016110, AMIN016108	AGAP002867
OG0000002	AMIN016111	AGAP002870
OG0000002	AMIN006066	AGAP008212
OG0000002	AMIN006068	AGAP008206
OG0000002	AMIN004360	AGAP011028, AGAP011029
OG0000003	AMIN006496	AGAP010309
OG0000004	AMIN006962	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894
OG0000005	AMIN005016	AGAP028034, AGAP028149
OG0000006	AMIN000978	AGAP002950
OG0000006	AMIN009886	AGAP012782, AGAP003624, AGAP007639, AGAP000408
OG0000006	AMIN005876	AGAP029795
OG0000006	AMIN004546, AMIN005875	AGAP029344
OG0000007	AMIN016007	AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027
OG0000007	AMIN008968	AGAP029745, AGAP029744
OG0000007	AMIN005434	AGAP000164
OG0000007	AMIN008211	AGAP028159, AGAP028040
OG0000007	AMIN009331, AMIN009333, AMIN009332, AMIN009885	AGAP028667, AGAP028683, AGAP012753, AGAP029786
OG0000007	AMIN009330	AGAP028670, AGAP011404, AGAP012546
OG0000007	AMIN008957	AGAP028668
OG0000007	AMIN016006	AGAP011403
OG0000007	AMIN008960	AGAP028625
OG0000007	AMIN008958	AGAP012832
OG0000007	AMIN008959	AGAP028675, AGAP028676, AGAP028677
OG0000008	AMIN005546	AGAP000818
OG0000008	AMIN006880, AMIN006881	AGAP012296
OG0000008	AMIN006884	AGAP012291, AGAP012292
OG0000009	AMIN008550	AGAP011845
OG0000009	AMIN015675	AGAP012711, AGAP003911, AGAP012895, AGAP003913
OG0000010	AMIN016052	AGAP007251
OG0000010	AMIN016057	AGAP006673
OG0000010	AMIN016054	AGAP006674
OG0000010	AMIN016053	AGAP006675
OG0000011	AMIN001659	AGAP028042
OG0000011	AMIN004643	AGAP013465
OG0000011	AMIN001662	AGAP008893
OG0000011	AMIN009342	AGAP028137, AGAP028160, AGAP028156, AGAP028178
OG0000012	AMIN000411	AGAP001813, AGAP007508
OG0000012	AMIN004080	AGAP005025, AGAP012559, AGAP012709
OG0000012	AMIN015676	AGAP012196
OG0000013	AMIN003474, AMIN003475, AMIN003476	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	AMIN003883	AGAP003385, AGAP003379
OG0000014	AMIN009469	AGAP009728
OG0000014	AMIN011187	AGAP005848
OG0000014	AMIN011445	AGAP004917, AGAP004918, AGAP004916
OG0000015	AMIN010186	AGAP005645
OG0000015	AMIN015544	AGAP005503
OG0000015	AMIN015543	AGAP005502
OG0000015	AMIN015541	AGAP005501
OG0000015	AMIN015542	AGAP005500
OG0000015	AMIN010826	AGAP005499
OG0000016	AMIN008109	AGAP004770
OG0000016	AMIN006761	AGAP009966
OG0000017	AMIN004079	AGAP012574
OG0000017	AMIN011507	AGAP005026
OG0000018	AMIN006661	AGAP028579
OG0000018	AMIN006478	AGAP029431
OG0000020	AMIN008653, AMIN008654	AGAP010707, AGAP010709
OG0000020	AMIN000732	AGAP002910, AGAP002912, AGAP002911
OG0000020	AMIN009924	AGAP010708
OG0000021	AMIN015466, AMIN015467	AGAP005095
OG0000021	AMIN015464	AGAP000651
OG0000021	AMIN015465	AGAP011514
OG0000021	AMIN015484	AGAP011515
OG0000023	AMIN008079	AGAP006253
OG0000023	AMIN002713	AGAP002445
OG0000023	AMIN003921	AGAP002641
OG0000023	AMIN002718	AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176
OG0000023	AMIN007806	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	AMIN007573	AGAP012569, AGAP005636, AGAP005638
OG0000024	AMIN007572	AGAP005637
OG0000024	AMIN011339	AGAP006226
OG0000026	AMIN015477	AGAP004981, AGAP012617
OG0000026	AMIN015478	AGAP012616
OG0000026	AMIN015473	AGAP004976
OG0000026	AMIN015476	AGAP004980
OG0000026	AMIN015474	AGAP004977
OG0000026	AMIN015475	AGAP004978
OG0000026	AMIN015479	AGAP006258
OG0000026	AMIN015731	AGAP002825
OG0000027	AMIN006557	AGAP010363
OG0000027	AMIN006558	AGAP010364
OG0000030	AMIN007001	AGAP010812
OG0000030	AMIN006992	AGAP010816
OG0000030	AMIN006994	AGAP010815
OG0000033	AMIN015509	AGAP004148
OG0000033	AMIN000381	AGAP003252
OG0000033	AMIN014039	AGAP003250
OG0000034	AMIN015565	AGAP005485, AGAP005482
OG0000034	AMIN000196	AGAP003594
OG0000034	AMIN010809	AGAP005473
OG0000034	AMIN015563	AGAP005479
OG0000034	AMIN015564	AGAP005481
OG0000034	AMIN015562	AGAP005480
OG0000034	AMIN015508	AGAP005483, AGAP005484
OG0000034	AMIN004938	AGAP004575
OG0000034	AMIN010991	AGAP005938
OG0000035	AMIN007272	AGAP005106
OG0000035	AMIN009877	AGAP028576, AGAP010323, AGAP029940, AGAP000782
OG0000035	AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475
OG0000035	AMIN010135	AGAP006696
OG0000035	AMIN007574	AGAP005307
OG0000037	AMIN006508, AMIN006509	AGAP012562, AGAP010741
OG0000037	AMIN003922	AGAP013316
OG0000037	AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942	AGAP013484, AGAP013247
OG0000037	AMIN003923, AMIN003925, AMIN003924, AMIN000003	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110
OG0000037	AMIN004541	AGAP013264
OG0000037	AMIN004540	AGAP013050
OG0000039	AMIN015958	AGAP006420
OG0000039	AMIN015957	AGAP006421
OG0000039	AMIN010824	AGAP005497
OG0000039	AMIN007947	AGAP006417
OG0000039	AMIN007946, AMIN015959	AGAP006443, AGAP006419, AGAP006418
OG0000040	AMIN015663	AGAP006666
OG0000040	AMIN015662	AGAP006667
OG0000040	AMIN015574	AGAP011469, AGAP012854
OG0000040	AMIN015575	AGAP011467
OG0000040	AMIN001806	AGAP009408, AGAP009409
OG0000040	AMIN015590	AGAP009394
OG0000040	AMIN015591	AGAP009395, AGAP009396, AGAP009398
OG0000041	AMIN008776	AGAP028600
OG0000041	AMIN008777	AGAP029755
OG0000041	AMIN003187	AGAP001764
OG0000042	AMIN005907	AGAP008403
OG0000042	AMIN001699	AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000042	AMIN015669	AGAP010545
OG0000042	AMIN015668	AGAP028728
OG0000043	AMIN014336	AGAP012091, AGAP012092
OG0000043	AMIN006978	AGAP029285
OG0000048	AMIN011325	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193
OG0000049	AMIN015888	AGAP011788
OG0000049	AMIN015889	AGAP011781
OG0000049	AMIN015891	AGAP011792
OG0000049	AMIN015890	AGAP011789
OG0000051	AMIN006620	AGAP010120, AGAP010112
OG0000051	AMIN014521	AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	AMIN015582	AGAP011918
OG0000052	AMIN015585	AGAP011920
OG0000053	AMIN009403	AGAP028063, AGAP028150
OG0000053	AMIN009402	AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	AMIN002458	AGAP002076
OG0000057	AMIN006625	AGAP010105, AGAP010107, AGAP010104, AGAP029247
OG0000057	AMIN006626	AGAP010106, AGAP010103, AGAP010121, AGAP010108
OG0000057	AMIN014522	AGAP029248
OG0000058	AMIN001846	AGAP009472
OG0000058	AMIN009389	AGAP008945
OG0000059	AMIN016229	AGAP005194
OG0000059	AMIN016293	AGAP005196, AGAP005195
OG0000059	AMIN010123	AGAP006707
OG0000060	AMIN006628	AGAP010097
OG0000060	AMIN006629	AGAP010095
OG0000060	AMIN014523	AGAP010100, AGAP010099
OG0000060	AMIN006627	AGAP010101
OG0000061	AMIN006938	AGAP012230
OG0000061	AMIN007997	AGAP006371
OG0000061	AMIN004599	AGAP002318, AGAP002317
OG0000062	AMIN001001	AGAP008558
OG0000062	AMIN000304	AGAP013252
OG0000063	AMIN002564	AGAP002555
OG0000063	AMIN003060	AGAP002202
OG0000064	AMIN003132	AGAP002134
OG0000067	AMIN015537	AGAP011939
OG0000067	AMIN015982	AGAP012400
OG0000067	AMIN008926	AGAP012399
OG0000067	AMIN000636	AGAP002102
OG0000067	AMIN015981	AGAP012401
OG0000068	AMIN010935	AGAP005996
OG0000069	AMIN003229	AGAP002851
OG0000069	AMIN010636	AGAP007197
OG0000069	AMIN016115	AGAP002849
OG0000069	AMIN016114	AGAP002850
OG0000069	AMIN003907	AGAP002804
OG0000071	AMIN005052	AGAP000088
OG0000071	AMIN000434	AGAP001861
OG0000071	AMIN005942	AGAP028019
OG0000071	AMIN005941	AGAP008358
OG0000071	AMIN005945	AGAP008356
OG0000072	AMIN008641	AGAP010971
OG0000072	AMIN000778	AGAP002770
OG0000072	AMIN011262	AGAP007122
OG0000073	AMIN006338	AGAP007754
OG0000073	AMIN006336	AGAP007752
OG0000074	AMIN007418	AGAP005384
OG0000074	AMIN007419	AGAP005386
OG0000074	AMIN010517	AGAP007354
OG0000075	AMIN009972	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979
OG0000075	AMIN009971	AGAP006978
OG0000075	AMIN009973	AGAP006985, AGAP006982
OG0000076	AMIN007057	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736
OG0000076	AMIN006792, AMIN006791, AMIN008359	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234
OG0000076	AMIN004343	AGAP011835
OG0000077	AMIN015956	AGAP006422
OG0000077	AMIN015954	AGAP006424
OG0000077	AMIN015955	AGAP006425
OG0000077	AMIN015952	AGAP006423
OG0000077	AMIN015953	AGAP006426
OG0000078	AMIN007270	AGAP028565
OG0000079	AMIN015620	AGAP001162
OG0000079	AMIN015621, AMIN016252	AGAP012985, AGAP012982, AGAP013149
OG0000079	AMIN015622	AGAP001161
OG0000080	AMIN007961, AMIN007987	AGAP006379
OG0000080	AMIN010419	AGAP007504
OG0000080	AMIN008322	AGAP012155, AGAP012156
OG0000081	AMIN010657	AGAP007161
OG0000081	AMIN010659	AGAP007159, AGAP007158
OG0000081	AMIN010656	AGAP007162
OG0000083	AMIN000069	AGAP029438
OG0000085	AMIN015862	AGAP003763
OG0000085	AMIN015860	AGAP003764
OG0000085	AMIN015861	AGAP013346
OG0000085	AMIN015859, AMIN015863	AGAP003760, AGAP003759, AGAP003762
OG0000085	AMIN015858	AGAP003758
OG0000086	AMIN008148	AGAP004809
OG0000086	AMIN000451	AGAP013155, AGAP001881, AGAP012984
OG0000086	AMIN002615	AGAP013150
OG0000088	AMIN008863	AGAP011575
OG0000088	AMIN009049	AGAP011507
OG0000088	AMIN009053	AGAP011509
OG0000089	AMIN006914	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708, AGAP029765
OG0000090	AMIN010523	AGAP007347
OG0000090	AMIN010488	AGAP007386
OG0000091	AMIN002875	AGAP013511
OG0000093	AMIN007523	AGAP005077
OG0000093	AMIN007575	AGAP005308
OG0000093	AMIN001012	AGAP029345
OG0000096	AMIN009310	AGAP010929
OG0000096	AMIN014712	AGAP008622
OG0000096	AMIN010757	AGAP005293
OG0000096	AMIN001255	AGAP010510
OG0000097	AMIN003984	AGAP013451
OG0000097	AMIN003985	AGAP029385
OG0000098	AMIN009752	AGAP009220
OG0000103	AMIN014130, AMIN010202	AGAP005105
OG0000103	AMIN006800	AGAP029484, AGAP029942
OG0000104	AMIN001011	AGAP008545, AGAP028059
OG0000105	AMIN004525, AMIN004526, AMIN004527, AMIN004524	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615
OG0000105	AMIN004517, AMIN004457	AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470
OG0000107	AMIN003226	AGAP002854
OG0000108	AMIN001146	AGAP006187
OG0000109	AMIN007943	AGAP006427
OG0000109	AMIN000020	AGAP029457
OG0000111	AMIN005870	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460
OG0000114	AMIN005869	AGAP008459
OG0000115	AMIN007799	AGAP006594
OG0000115	AMIN007798	AGAP006595
OG0000116	AMIN009560	AGAP009835
OG0000119	AMIN011174	AGAP005834
OG0000119	AMIN011175	AGAP005835, AGAP005836, AGAP005837
OG0000120	AMIN015839	AGAP001249
OG0000120	AMIN015843	AGAP001245
OG0000120	AMIN007643	AGAP006869
OG0000123	AMIN001061	AGAP029183
OG0000123	AMIN001063	AGAP029220
OG0000123	AMIN007117	AGAP013242, AGAP013436, AGAP029216
OG0000123	AMIN006431	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225
OG0000124	AMIN010446	AGAP007461
OG0000124	AMIN010457	AGAP007443
OG0000124	AMIN010445	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000125	AMIN008362	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224
OG0000127	AMIN000423	AGAP001825
OG0000128	AMIN016003	AGAP028426
OG0000128	AMIN009297	AGAP010917
OG0000128	AMIN016286	AGAP011366
OG0000128	AMIN016287	AGAP011365
OG0000129	AMIN002441	AGAP013450
OG0000130	AMIN000464	AGAP001899
OG0000130	AMIN009807	AGAP028049
OG0000131	AMIN009597	AGAP009876, AGAP009875
OG0000131	AMIN009593	AGAP009871
OG0000132	AMIN008147	AGAP013132, AGAP004807
OG0000132	AMIN008145	AGAP004806
OG0000132	AMIN009203	AGAP011287
OG0000133	AMIN006896	AGAP012279
OG0000133	AMIN008836	AGAP011611
OG0000133	AMIN008837	AGAP011610
OG0000134	AMIN010110	AGAP006726
OG0000134	AMIN010108	AGAP006728
OG0000134	AMIN010109	AGAP006727
OG0000135	AMIN001757	AGAP009328
OG0000135	AMIN009411	AGAP008968
OG0000135	AMIN007092	AGAP029163, AGAP029157, AGAP007907
OG0000135	AMIN009027	AGAP011482
OG0000135	AMIN007093	AGAP007906
OG0000136	AMIN008377	AGAP011204
OG0000136	AMIN001881	AGAP009509
OG0000141	AMIN011058	AGAP005757
OG0000142	AMIN003855	AGAP003422, AGAP003423
OG0000142	AMIN000952	AGAP003432
OG0000142	AMIN003784	AGAP003078
OG0000143	AMIN002682	AGAP012957, AGAP002418, AGAP013241, AGAP002419
OG0000144	AMIN014512	AGAP006157
OG0000146	AMIN000516	AGAP001956
OG0000147	AMIN016141	AGAP008019
OG0000147	AMIN016134	AGAP008020, AGAP012800
