Orthogroup	AsinensisChina	AaegyptiLVP_AGWG
OG0000001	ASIC013765, ASIC013764	AAEL009009
OG0000001	ASIC013762	AAEL008994
OG0000001	ASIC013748, ASIC013742, ASIC013743	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990
OG0000001	ASIC013740	AAEL025577
OG0000002	ASIC003137, ASIC003139, ASIC003135, ASIC003136	AAEL014891
OG0000002	ASIC003140	AAEL014893, AAEL014890
OG0000002	ASIC004047, ASIC004049, ASIC004048, ASIC010653	AAEL009127
OG0000002	ASIC004044	AAEL009128, AAEL017297, AAEL009117, AAEL009125
OG0000002	ASIC006840	AAEL010151, AAEL010158
OG0000002	ASIC006841	AAEL009137, AAEL009133, AAEL009122
OG0000002	ASIC014765, ASIC014766	AAEL017539
OG0000002	ASIC004039, ASIC004046	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126
OG0000004	ASIC018314	AAEL015682
OG0000006	ASIC012877, ASIC006098	AAEL026752
OG0000008	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	ASIC017825	AAEL006795
OG0000008	ASIC017824	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	ASIC018178	AAEL020601
OG0000009	ASIC018203	AAEL022062, AAEL021518, AAEL022584, AAEL020050
OG0000010	ASIC007845	AAEL008218
OG0000010	ASIC007831, ASIC007832	AAEL008217
OG0000010	ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	ASIC010781	AAEL021195
OG0000011	ASIC004939, ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469, ASIC004928	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	ASIC006970	AAEL009284, AAEL009296
OG0000012	ASIC017981, ASIC018092	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754
OG0000013	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	ASIC011345	AAEL002099
OG0000013	ASIC011343, ASIC011344	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	ASIC022136	AAEL003156, AAEL007942, AAEL020192
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850, ASIC016176, ASIC016175, ASIC016177, ASIC016174, ASIC016178	AAEL011007
OG0000015	ASIC018932, ASIC018930, ASIC018931	AAEL010677
OG0000015	ASIC012465, ASIC012464, ASIC012462, ASIC012461	AAEL010671
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425
OG0000016	ASIC002621	AAEL007818, AAEL004996
OG0000018	ASIC015096	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664, AAEL023871, AAEL018047, AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374, AAEL020762, AAEL026324
