Orthogroup	AsinensisChina	AgambiaePEST
OG0000001	ASIC013765, ASIC013764	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843
OG0000001	ASIC013762	AGAP006848
OG0000001	ASIC013748, ASIC013742, ASIC013743	AGAP006858, AGAP006859
OG0000001	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851
OG0000001	ASIC013740	AGAP006864, AGAP006597
OG0000002	ASIC003137	AGAP002868
OG0000002	ASIC003139	AGAP002869
OG0000002	ASIC003135	AGAP002865
OG0000002	ASIC003136	AGAP002867
OG0000002	ASIC003140	AGAP002870
OG0000002	ASIC004047	AGAP008212
OG0000002	ASIC004049	AGAP008214
OG0000002	ASIC004048	AGAP008213
OG0000002	ASIC004044	AGAP008209
OG0000002	ASIC006840	AGAP008206
OG0000002	ASIC006841	AGAP008205
OG0000002	ASIC014765, ASIC014766	AGAP011028, AGAP011029
OG0000002	ASIC006839	AGAP008207
OG0000004	ASIC018314	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894
OG0000006	ASIC002536	AGAP029261
OG0000006	ASIC012877	AGAP002950
OG0000006	ASIC022014	AGAP012782, AGAP003624, AGAP007639, AGAP000408
OG0000008	ASIC020436	AGAP000818
OG0000008	ASIC017821, ASIC017823, ASIC017822	AGAP012850, AGAP012295, AGAP012293, AGAP012294
OG0000008	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	AGAP012296
OG0000008	ASIC017825	AGAP012291
OG0000008	ASIC017824	AGAP012292
OG0000010	ASIC007845	AGAP007252
OG0000010	ASIC007831, ASIC007832	AGAP002432, AGAP007262
OG0000010	ASIC007846, ASIC015160	AGAP007251
OG0000010	ASIC015159	AGAP006673
OG0000010	ASIC015158, ASIC015157	AGAP006674
OG0000010	ASIC015156	AGAP006675
OG0000010	ASIC012971, ASIC012972, ASIC012980, ASIC012979	AGAP005671, AGAP005670
OG0000010	ASIC012975, ASIC012976, ASIC012973, ASIC012978	AGAP005669
OG0000011	ASIC010773	AGAP028042
OG0000011	ASIC010781	AGAP008893
OG0000011	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991
OG0000011	ASIC004928	AGAP028013
OG0000012	ASIC006970	AGAP007508
OG0000012	ASIC017981, ASIC018092	AGAP005024, AGAP012573, AGAP005025, AGAP012559, AGAP012709, AGAP012572, AGAP003910, AGAP012197
OG0000013	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	ASIC011345	AGAP003384
OG0000013	ASIC011343	AGAP003385, AGAP003379
OG0000014	ASIC022136	AGAP009728
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850	AGAP005848
OG0000014	ASIC016176, ASIC016175, ASIC016177	AGAP028439, AGAP006743
OG0000014	ASIC016174, ASIC016178	AGAP004917, AGAP004918, AGAP004916
OG0000015	ASIC018932, ASIC018930, ASIC018931	AGAP005645
OG0000015	ASIC012464, ASIC012462	AGAP005502, AGAP005501
OG0000015	ASIC012461	AGAP005499
OG0000016	ASIC010724	AGAP008861
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294
OG0000016	ASIC003871	AGAP012842, AGAP008291, AGAP008290
OG0000016	ASIC002621	AGAP009966
OG0000018	ASIC015096	AGAP012484, AGAP028579, AGAP013250, AGAP029431
OG0000020	ASIC010160	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708
OG0000021	ASIC006150, ASIC012218	AGAP005095
OG0000021	ASIC007587	AGAP000651
OG0000021	ASIC006151, ASIC010309	AGAP011514
OG0000021	ASIC015692	AGAP001676
OG0000021	ASIC010311	AGAP011515
OG0000023	ASIC003003	AGAP006253
OG0000023	ASIC013723	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176
OG0000023	ASIC019569, ASIC002406	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	ASIC018921	AGAP012569, AGAP005636, AGAP005638
OG0000024	ASIC018920	AGAP005637
OG0000024	ASIC018905	AGAP006226
OG0000026	ASIC016558	AGAP004981, AGAP012617
OG0000026	ASIC016557	AGAP012616
OG0000026	ASIC016559	AGAP004976, AGAP004980
OG0000026	ASIC016561	AGAP004975, AGAP004977
OG0000026	ASIC016560	AGAP004978
OG0000026	ASIC016118	AGAP006258
OG0000026	ASIC014095	AGAP002825
OG0000030	ASIC003381	AGAP010812
OG0000030	ASIC003417, ASIC003383	AGAP010815
OG0000033	ASIC021804	AGAP004148
OG0000033	ASIC009220	AGAP003252
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221	AGAP003250, AGAP003249, AGAP013487
OG0000033	ASIC009222	AGAP003248
OG0000034	ASIC012442	AGAP005481
OG0000034	ASIC012440	AGAP005480
OG0000034	ASIC012445, ASIC012446	AGAP005483, AGAP005484
OG0000034	ASIC021981	AGAP004575
OG0000035	ASIC012439	AGAP028576, AGAP010323
OG0000037	ASIC022219	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247
OG0000037	ASIC014023	AGAP013369, AGAP013264, AGAP013050, AGAP013448
OG0000039	ASIC002581	AGAP006420
OG0000039	ASIC000445	AGAP006421
OG0000039	ASIC012458	AGAP005497
OG0000039	ASIC010050	AGAP006417
OG0000039	ASIC010664	AGAP006443, AGAP006419, AGAP006418
OG0000040	ASIC015489	AGAP011468
OG0000040	ASIC015488	AGAP011469, AGAP012854
OG0000040	ASIC015490	AGAP011467
OG0000040	ASIC007400	AGAP009408, AGAP009409
OG0000040	ASIC006427, ASIC006438	AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397
OG0000041	ASIC005058	AGAP029305, AGAP029267
OG0000041	ASIC005063	AGAP028600
OG0000041	ASIC005062	AGAP029755
OG0000041	ASIC005064	AGAP029753
OG0000041	ASIC005684	AGAP001764
OG0000041	ASIC005059, ASIC005061	AGAP029756
OG0000042	ASIC017752, ASIC017751	AGAP008403
OG0000042	ASIC017733, ASIC001192	AGAP009249
OG0000042	ASIC001191	AGAP028179
OG0000042	ASIC015606	AGAP029929, AGAP029932
OG0000042	ASIC015360	AGAP010545, AGAP028728
OG0000043	ASIC004837, ASIC002620, ASIC014455	AGAP012091, AGAP012092
OG0000043	ASIC015430, ASIC004836, ASIC002619	AGAP029316
OG0000043	ASIC017851, ASIC017852	AGAP028182, AGAP029285, AGAP012173, AGAP029334, AGAP029308, AGAP029333, AGAP029867
OG0000046	ASIC009813, ASIC009814	AGAP013221
OG0000048	ASIC019015, ASIC019014	AGAP006192
OG0000048	ASIC019017, ASIC019018	AGAP006193
OG0000049	ASIC018403, ASIC018371, ASIC018370	AGAP011788
OG0000049	ASIC018401, ASIC018400	AGAP011781
OG0000049	ASIC017764	AGAP011792
OG0000049	ASIC018404	AGAP011789
OG0000051	ASIC010148	AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	ASIC018088	AGAP011918
OG0000052	ASIC018082	AGAP011920
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150
