Orthogroup	AaegyptiLVP_AGWG	AgambiaePEST
OG0000000	AAEL027377, AAEL028099	AGAP029842
OG0000001	AAEL009009	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843
OG0000001	AAEL008994	AGAP006848
OG0000001	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990	AGAP006858, AGAP006859
OG0000001	AAEL025577	AGAP006864, AGAP006597
OG0000002	AAEL014891	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867
OG0000002	AAEL014893, AAEL014890	AGAP002870
OG0000002	AAEL009127	AGAP008212, AGAP008214, AGAP008213
OG0000002	AAEL009128, AAEL017297, AAEL009117, AAEL009125	AGAP008209
OG0000002	AAEL010151, AAEL010158	AGAP008206
OG0000002	AAEL009137, AAEL009133, AAEL009122	AGAP008205
OG0000002	AAEL017539	AGAP011028, AGAP011029
OG0000004	AAEL015682	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894
OG0000004	AAEL022865, AAEL024711, AAEL026969	AGAP012555
OG0000005	AAEL020343, AAEL026864	AGAP028034, AGAP028149
OG0000005	AAEL027063	AGAP011193, AGAP005264, AGAP005266, AGAP005265
OG0000006	AAEL026752	AGAP002950
OG0000008	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296
OG0000008	AAEL006795	AGAP012291
OG0000008	AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	AGAP012292
OG0000009	AAEL003706, AAEL003687	AGAP011845
OG0000009	AAEL020348	AGAP012895
OG0000009	AAEL021347, AAEL021778, AAEL021459	AGAP003913
OG0000010	AAEL008218	AGAP007252
OG0000010	AAEL008217	AGAP002432, AGAP007262
OG0000010	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	AAEL021195	AGAP008893
OG0000011	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676
OG0000012	AAEL027861	AGAP001813
OG0000012	AAEL009284, AAEL009296	AGAP007508
OG0000012	AAEL020629, AAEL020985, AAEL020370, AAEL021821	AGAP012559
OG0000012	AAEL022066, AAEL021946, AAEL021903	AGAP012709
OG0000012	AAEL011424	AGAP012196
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	AAEL023763, AAEL002110	AGAP003378
OG0000013	AAEL002099	AGAP003384
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	AGAP003385, AGAP003379
OG0000014	AAEL003156, AAEL007942, AAEL020192	AGAP009728
OG0000014	AAEL011007	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916
OG0000015	AAEL010677	AGAP005645
OG0000015	AAEL010671	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499
OG0000016	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290
OG0000016	AAEL007818, AAEL004996	AGAP009966
OG0000017	AAEL003846	AGAP012558
OG0000017	AAEL021540	AGAP010724
OG0000017	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	AGAP012574
OG0000017	AAEL000517	AGAP003909
OG0000017	AAEL021350	AGAP012586
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	AGAP028579, AGAP013250
OG0000018	AAEL020762, AAEL026324	AGAP029431
OG0000020	AAEL008681	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708
OG0000021	AAEL004631, AAEL001673	AGAP005095
OG0000021	AAEL011197	AGAP000651
OG0000021	AAEL004616	AGAP011514
OG0000021	AAEL009451	AGAP001676
OG0000021	AAEL001951	AGAP011515
OG0000023	AAEL000351, AAEL029065	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176
OG0000023	AAEL000323, AAEL024983	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	AAEL010380, AAEL017311	AGAP012569, AGAP005636, AGAP005638
OG0000024	AAEL010367, AAEL024680	AGAP005637
OG0000024	AAEL010384	AGAP006226
OG0000024	AAEL010370, AAEL010382	AGAP006224, AGAP006225
OG0000024	AAEL026787	AGAP006221, AGAP006220
OG0000026	AAEL013496, AAEL013501	AGAP004981, AGAP012617, AGAP012616
OG0000026	AAEL013493	AGAP004976, AGAP004980
OG0000026	AAEL015116, AAEL015113	AGAP004975, AGAP004977
OG0000026	AAEL013492	AGAP004978
OG0000026	AAEL011763, AAEL011764, AAEL020579	AGAP006258
OG0000026	AAEL014544	AGAP002825
OG0000027	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252	AGAP029283
OG0000027	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	AGAP010363, AGAP010364
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815
OG0000033	AAEL005064	AGAP004148
OG0000033	AAEL000038	AGAP003252
OG0000033	AAEL000074	AGAP003251
OG0000033	AAEL000037, AAEL000028, AAEL000099	AGAP003246, AGAP003250, AGAP003249, AGAP013487, AGAP003245, AGAP003247, AGAP003248
OG0000034	AAEL013562	AGAP004575
OG0000034	AAEL002279	AGAP005938
OG0000035	AAEL009610, AAEL025842, AAEL013024	AGAP012715, AGAP012588, AGAP012450, AGAP001067, AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475, AGAP006696, AGAP005307
OG0000037	AAEL008895	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418
OG0000040	AAEL008368, AAEL022663	AGAP006666, AGAP006667
OG0000040	AAEL020825, AAEL008448	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397
OG0000041	AAEL007044	AGAP029305, AGAP029267
OG0000041	AAEL007060	AGAP028600
OG0000041	AAEL007063	AGAP029755
OG0000041	AAEL007051, AAEL007070	AGAP029753
OG0000041	AAEL023132	AGAP001764, AGAP029756
OG0000042	AAEL018347	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000046	AAEL005753	AGAP013221
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193
OG0000049	AAEL002595	AGAP011788
OG0000049	AAEL002590	AGAP011781
OG0000049	AAEL002600	AGAP011792, AGAP011794, AGAP011793
OG0000049	AAEL002629	AGAP011789
OG0000051	AAEL004769	AGAP010109
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	AAEL017475	AGAP011918
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	AGAP011920
OG0000053	AAEL010055	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	AAEL019403	AGAP002076
OG0000055	AAEL026446	AGAP004944
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330	AGAP004583, AGAP004581
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248
OG0000058	AAEL008632	AGAP028729
OG0000058	AAEL026976, AAEL008624	AGAP009471, AGAP009472
OG0000058	AAEL008625	AGAP009467
OG0000058	AAEL008628	AGAP009468
OG0000059	AAEL022646	AGAP005194, AGAP012778, AGAP005196, AGAP005195
OG0000059	AAEL002360	AGAP006707, AGAP006709, AGAP006710, AGAP006711
OG0000059	AAEL002347, AAEL024934	AGAP007142, AGAP007141
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	AGAP010097
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	AGAP010100, AGAP010099
OG0000061	AAEL026011, AAEL007673	AGAP012230
OG0000061	AAEL006719	AGAP006371
OG0000061	AAEL013421, AAEL008451	AGAP002317
OG0000062	AAEL015533	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067
OG0000063	AAEL005771, AAEL005788	AGAP002555
