Orthogroup	AdirusWRAIR2	AstephensiUCISS2018
OG0000000	ADIR014747	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783
OG0000000	ADIR009835	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497
OG0000001	ADIR014366	ASTEI20_046161
OG0000002	ADIR003458	ASTEI20_038121
OG0000002	ADIR016077	ASTEI20_032133, ASTEI20_045226
OG0000002	ADIR016078	ASTEI20_045592, ASTEI20_043030
OG0000002	ADIR016076	ASTEI20_031161, ASTEI20_041459
OG0000002	ADIR016100, ADIR016102	ASTEI20_036351, ASTEI20_044520
OG0000002	ADIR016074	ASTEI20_034857, ASTEI20_036438
OG0000002	ADIR002023	ASTEI20_036203
OG0000002	ADIR006361	ASTEI20_040919
OG0000003	ADIR011510	ASTEI20_037049, ASTEI20_034440, ASTEI20_032078, ASTEI20_031811
OG0000006	ADIR004457	ASTEI20_037125
OG0000007	ADIR009607	ASTEI20_031643
OG0000007	ADIR009608	ASTEI20_035663, ASTEI20_033805
OG0000007	ADIR000815	ASTEI20_036392
OG0000007	ADIR009669	ASTEI20_044422
OG0000007	ADIR009588	ASTEI20_038493
OG0000007	ADIR009595, ADIR009594	ASTEI20_041560, ASTEI20_045006, ASTEI20_033378
OG0000007	ADIR015954	ASTEI20_043388
OG0000007	ADIR009597	ASTEI20_040387
OG0000008	ADIR003918	ASTEI20_031614
OG0000008	ADIR000457	ASTEI20_045188
OG0000008	ADIR000455	ASTEI20_044670, ASTEI20_031005
OG0000009	ADIR002344	ASTEI20_040741
OG0000009	ADIR001877	ASTEI20_044827
OG0000010	ADIR016002	ASTEI20_038323
OG0000010	ADIR016004	ASTEI20_041896
OG0000010	ADIR016001	ASTEI20_032085
OG0000010	ADIR014645	ASTEI20_034511
OG0000011	ADIR006800	ASTEI20_036542
OG0000011	ADIR010578	ASTEI20_039975
OG0000011	ADIR006803	ASTEI20_040335
OG0000011	ADIR000515	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899
OG0000011	ADIR000517	ASTEI20_032335, ASTEI20_044907
