Orthogroup	AgambiaePEST	AfunestusAfunGA1
OG0000000	AGAP029842	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000001	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845	AFUN2_004122, AFUN2_008007, AFUN2_014393
OG0000001	AGAP006847, AGAP006843	AFUN2_002447, AFUN2_003797, AFUN2_007348
OG0000001	AGAP006848	AFUN2_012926
OG0000001	AGAP006860, AGAP006863	AFUN2_004608
OG0000001	AGAP006859	AFUN2_010913
OG0000001	AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905
OG0000001	AGAP006864, AGAP006597	AFUN2_006480
OG0000002	AGAP002868	AFUN2_014359
OG0000002	AGAP002869	AFUN2_014054
OG0000002	AGAP002865	AFUN2_008570
OG0000002	AGAP002866	AFUN2_013651
OG0000002	AGAP002867	AFUN2_013390, AFUN2_014070
OG0000002	AGAP002870	AFUN2_009636
OG0000002	AGAP008212	AFUN2_009035
OG0000002	AGAP008214	AFUN2_002132
OG0000002	AGAP008213	AFUN2_005303
OG0000002	AGAP008209	AFUN2_006796
OG0000002	AGAP008206	AFUN2_005756
OG0000002	AGAP008205	AFUN2_002248
OG0000002	AGAP011028, AGAP011029	AFUN2_003508
OG0000004	AGAP012710	AFUN2_013636
OG0000004	AGAP012199	AFUN2_005179
OG0000004	AGAP012894	AFUN2_012616
OG0000005	AGAP028034, AGAP028149	AFUN2_007230, AFUN2_004842
OG0000005	AGAP011193, AGAP005264, AGAP005266, AGAP005265	AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443
OG0000006	AGAP002950	AFUN2_004254
OG0000006	AGAP012782, AGAP003624, AGAP007639, AGAP000408	AFUN2_010056
