Orthogroup	AgambiaePEST	AdirusWRAIR2
OG0000000	AGAP029842	ADIR014747
OG0000001	AGAP006848	ADIR004308
OG0000001	AGAP006859	ADIR014366
OG0000001	AGAP006864, AGAP006597	ADIR014365, ADIR014363
OG0000002	AGAP002865	ADIR003458
OG0000002	AGAP008212	ADIR016077
OG0000002	AGAP008214	ADIR016078
OG0000002	AGAP008213	ADIR016076
OG0000002	AGAP008209	ADIR016100, ADIR016102
OG0000002	AGAP008206	ADIR016074
OG0000002	AGAP008205	ADIR016075
OG0000002	AGAP011028, AGAP011029	ADIR002023
OG0000002	AGAP008207	ADIR016072
OG0000003	AGAP010309	ADIR011510
OG0000004	AGAP012555	ADIR001878
OG0000006	AGAP002950	ADIR004457
OG0000006	AGAP029348, AGAP029433	ADIR002576
OG0000007	AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027	ADIR009667
OG0000007	AGAP012767, AGAP029743, AGAP012768, AGAP012722	ADIR009607
OG0000007	AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742	ADIR009608
OG0000007	AGAP000164	ADIR000815
OG0000007	AGAP028159, AGAP028040	ADIR009669
OG0000007	AGAP029454	ADIR009588
OG0000007	AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546	ADIR009595, ADIR009594
OG0000007	AGAP012719, AGAP011409	ADIR009596
OG0000007	AGAP011403	ADIR015954
OG0000007	AGAP011405	ADIR015955, ADIR009593
OG0000007	AGAP028625	ADIR009598
OG0000007	AGAP028675, AGAP028676, AGAP028677	ADIR009597
OG0000008	AGAP000818	ADIR003918
OG0000008	AGAP012296	ADIR000457
OG0000008	AGAP012291, AGAP012292	ADIR000455
OG0000009	AGAP011845	ADIR002344
OG0000010	AGAP007251	ADIR016002
OG0000010	AGAP006673	ADIR016004
OG0000010	AGAP006674	ADIR016001
OG0000010	AGAP006675	ADIR014645
OG0000011	AGAP028042	ADIR006800
OG0000011	AGAP013465	ADIR010578
OG0000011	AGAP008893	ADIR006803
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178	ADIR000515
OG0000011	AGAP028013, AGAP028067, AGAP012676	ADIR000517
OG0000012	AGAP012573, AGAP005025, AGAP012559, AGAP012709	ADIR001583
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	ADIR010434, ADIR010435
OG0000013	AGAP003385, AGAP003379	ADIR003492
OG0000014	AGAP009728	ADIR005075
OG0000014	AGAP005848	ADIR007771
OG0000014	AGAP028439, AGAP006743	ADIR003639
OG0000014	AGAP004917, AGAP004918, AGAP004916	ADIR001674, ADIR001675
OG0000015	AGAP005645	ADIR006886
OG0000015	AGAP005503	ADIR014733
OG0000015	AGAP005500	ADIR014730
OG0000015	AGAP005499	ADIR008680
OG0000016	AGAP008861	ADIR009722
OG0000016	AGAP009966	ADIR009355
OG0000017	AGAP012558	ADIR001584
OG0000018	AGAP028579	ADIR011745, ADIR010868
OG0000018	AGAP013250	ADIR009844
OG0000018	AGAP029431	ADIR006748
OG0000020	AGAP010707, AGAP010709	ADIR001887
OG0000020	AGAP002910, AGAP002912, AGAP002911	ADIR001888
OG0000020	AGAP010708	ADIR009510, ADIR009512
OG0000021	AGAP005095	ADIR003865
OG0000021	AGAP000651	ADIR001186
OG0000021	AGAP011514	ADIR002970
OG0000021	AGAP011516	ADIR000303
OG0000021	AGAP001676	ADIR010427
OG0000021	AGAP011515	ADIR015616
OG0000023	AGAP006253	ADIR006953
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	ADIR007551, ADIR007550
OG0000024	AGAP012569, AGAP005636, AGAP005638	ADIR006878
OG0000024	AGAP005637	ADIR006877
OG0000024	AGAP006226	ADIR015850
OG0000024	AGAP006224	ADIR015848
OG0000024	AGAP006225	ADIR015847
OG0000024	AGAP006221	ADIR015846
OG0000024	AGAP006220	ADIR015845
OG0000026	AGAP004981, AGAP012617	ADIR015755
OG0000026	AGAP012616	ADIR015752
OG0000026	AGAP004976	ADIR015756
OG0000026	AGAP004980	ADIR015753
OG0000026	AGAP004975	ADIR015757, ADIR015758
OG0000026	AGAP004977	ADIR015759
OG0000026	AGAP004978	ADIR015754
OG0000026	AGAP006258	ADIR006960
OG0000026	AGAP002825	ADIR003488
OG0000027	AGAP010363, AGAP010364	ADIR009739
OG0000033	AGAP003252	ADIR016018
OG0000033	AGAP003251	ADIR016019, ADIR002300
OG0000033	AGAP003246	ADIR016025
OG0000033	AGAP003250	ADIR016020
OG0000033	AGAP003249, AGAP013487	ADIR002841, ADIR016023
OG0000033	AGAP003245, AGAP003247	ADIR016021
OG0000033	AGAP003248	ADIR016024, ADIR016022
OG0000034	AGAP005473	ADIR008769
OG0000034	AGAP005479	ADIR008768
OG0000034	AGAP005481, AGAP005480	ADIR008767
OG0000034	AGAP004575	ADIR004404
OG0000034	AGAP005938	ADIR007516
OG0000035	AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475	ADIR014329
OG0000035	AGAP006696	ADIR014313
OG0000035	AGAP005307	ADIR003862
OG0000037	AGAP013316	ADIR010210
OG0000037	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110	ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211
OG0000039	AGAP006420	ADIR015925
OG0000039	AGAP006421	ADIR015923
OG0000039	AGAP005497	ADIR008758
OG0000039	AGAP006417	ADIR007693
OG0000039	AGAP006443, AGAP006419, AGAP006418	ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926
OG0000040	AGAP006666	ADIR015602
OG0000040	AGAP006667	ADIR015601
OG0000040	AGAP011468	ADIR015539
OG0000040	AGAP011469, AGAP012854	ADIR015541
OG0000040	AGAP011467	ADIR015540
OG0000040	AGAP009410	ADIR015544
OG0000040	AGAP009394	ADIR006103, ADIR015562
OG0000040	AGAP009395, AGAP009396, AGAP009398	ADIR006102
OG0000041	AGAP028600	ADIR001834
OG0000041	AGAP029755	ADIR001833
OG0000041	AGAP029753	ADIR001835
OG0000041	AGAP001764	ADIR003420
OG0000042	AGAP008403	ADIR000587, ADIR011155
OG0000042	AGAP009249	ADIR000580
OG0000042	AGAP029929, AGAP029932	ADIR004510
OG0000042	AGAP029930, AGAP028229, AGAP028069, AGAP028183, AGAP029100, AGAP029093, AGAP029865	ADIR004365
OG0000042	AGAP029264, AGAP012502, AGAP011719	ADIR004157
