Orthogroup	Aalbopictus_AalbF5	LlongipalpisASM
OG0000000	LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351	LOC129794284, LOC129791988
OG0000000	LOC134291857, LOC134286222, LOC134291820	LOC129788552, LOC129785947, LOC129789206
OG0000000	LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883
OG0000001	LOC109403110	LOC129785915
OG0000002	LOC109623203, LOC115269310, LOC109623208, LOC115269311	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570
OG0000002	LOC109421559, LOC109409168, LOC109398259, LOC109398237, LOC109421551, LOC109409211, LOC109409210, LOC109425972, LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553	LOC129791036
OG0000003	LOC134283927, LOC134285071, LOC134291347, LOC134291564, LOC134287398, LOC109420339	LOC129791047
OG0000003	LOC134288869, LOC134290846, LOC134288099, LOC134288468	LOC129789093
OG0000003	LOC134291714, LOC115258749, LOC134287556, LOC115256440	LOC129794319
OG0000003	LOC115260714, LOC134284100	LOC129792880, LOC129786961, LOC129789185, LOC129791397
OG0000004	LOC134284773, LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103, LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490
OG0000005	LOC134284592	LOC129793054
OG0000005	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898
OG0000006	LOC134287667, LOC134284060, LOC134287526, LOC134285602, LOC134287214, LOC134285105, LOC134288141, LOC134291130, LOC134291131	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384
OG0000008	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419, LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727
OG0000009	LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330, LOC109404502, LOC109405821, LOC115264628, LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899
OG0000010	LOC109432023, LOC115265384, LOC109409744, LOC109432002, LOC109431992, LOC115265379, LOC109432055, LOC109432112, LOC109432077	LOC129793217, LOC129791616
OG0000011	LOC109411313, LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	LOC129797415
OG0000012	LOC109413799	LOC129789249
OG0000012	LOC109409461, LOC109409491	LOC129796964
OG0000012	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054	LOC129788898
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	LOC129797413
OG0000013	LOC109429135, LOC109409015, LOC109409017, LOC109429134	LOC129797312
OG0000014	LOC109621611, LOC109400072, LOC109426996, LOC109419319, LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	LOC129792111
OG0000015	LOC109428787, LOC109401312, LOC109399647, LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782, LOC109399572, LOC109400780, LOC109400781, LOC109399573, LOC115265241, LOC109403546, LOC109422912, LOC109399576, LOC115267834	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048
OG0000016	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316, LOC109411296, LOC109622023	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701
OG0000017	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071	LOC129788896
OG0000017	LOC109431229, LOC109404554	LOC129789495
OG0000017	LOC115264629	LOC129786736
OG0000018	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637, LOC109621615, LOC109414562, LOC134287442, LOC115256715, LOC115260339	LOC129786868
OG0000021	LOC109404004, LOC115267287	LOC129797244
OG0000021	LOC115253654	LOC129788422
OG0000021	LOC109412626, LOC109432714, LOC109412625, LOC109401551, LOC109412623	LOC129795630, LOC129795629
OG0000022	LOC134286901, LOC134286797	LOC129786910, LOC129791792
